
Intensity Mean Ch=23 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
25.6216,,Surface,23,Image 1,1,26608,
62.4978,,Surface,23,Image 1,1,26609,
51.341,,Surface,23,Image 1,1,26610,
50.8536,,Surface,23,Image 1,1,26611,
122.128,,Surface,23,Image 1,1,26612,
65.3233,,Surface,23,Image 1,1,26614,
65.1061,,Surface,23,Image 1,1,26616,
71.8682,,Surface,23,Image 1,1,26617,
82.6684,,Surface,23,Image 1,1,26621,
94.0841,,Surface,23,Image 1,1,26622,
61.5427,,Surface,23,Image 1,1,26624,
32.5726,,Surface,23,Image 1,1,26626,
322.578,,Surface,23,Image 1,1,26627,
68.2958,,Surface,23,Image 1,1,26628,
41.2771,,Surface,23,Image 1,1,26630,
673.219,,Surface,23,Image 1,1,26632,
38.4534,,Surface,23,Image 1,1,26633,
1676.2,,Surface,23,Image 1,1,26635,
83.4632,,Surface,23,Image 1,1,26636,
208.673,,Surface,23,Image 1,1,26637,
110.074,,Surface,23,Image 1,1,26638,
64.1429,,Surface,23,Image 1,1,26639,
32.8251,,Surface,23,Image 1,1,26640,
34.2527,,Surface,23,Image 1,1,26641,
156.176,,Surface,23,Image 1,1,26642,
20.8864,,Surface,23,Image 1,1,26643,
87.5479,,Surface,23,Image 1,1,26644,
282.899,,Surface,23,Image 1,1,26645,
95.827,,Surface,23,Image 1,1,26646,
93.2052,,Surface,23,Image 1,1,26647,
40.9213,,Surface,23,Image 1,1,26649,
24.0352,,Surface,23,Image 1,1,26652,
179.989,,Surface,23,Image 1,1,26654,
67.2926,,Surface,23,Image 1,1,26655,
32.8845,,Surface,23,Image 1,1,26658,
71.2098,,Surface,23,Image 1,1,26659,
893.171,,Surface,23,Image 1,1,26660,
138.863,,Surface,23,Image 1,1,26661,
1045.75,,Surface,23,Image 1,1,26662,
150.32,,Surface,23,Image 1,1,26663,
97.5126,,Surface,23,Image 1,1,26664,
77.0296,,Surface,23,Image 1,1,26665,
144.658,,Surface,23,Image 1,1,26666,
187.3,,Surface,23,Image 1,1,26667,
149.261,,Surface,23,Image 1,1,26668,
322.318,,Surface,23,Image 1,1,26669,
106.417,,Surface,23,Image 1,1,26670,
113.245,,Surface,23,Image 1,1,26671,
99.837,,Surface,23,Image 1,1,26672,
70.1497,,Surface,23,Image 1,1,26673,
17.2768,,Surface,23,Image 1,1,26674,
172.422,,Surface,23,Image 1,1,26675,
17.5691,,Surface,23,Image 1,1,26676,
603.776,,Surface,23,Image 1,1,26677,
22.4394,,Surface,23,Image 1,1,26678,
108.512,,Surface,23,Image 1,1,26679,
14.1245,,Surface,23,Image 1,1,26681,
92.3558,,Surface,23,Image 1,1,26682,
111.175,,Surface,23,Image 1,1,26683,
64.2166,,Surface,23,Image 1,1,26686,
20.6977,,Surface,23,Image 1,1,26688,
54.7652,,Surface,23,Image 1,1,26689,
134.647,,Surface,23,Image 1,1,26690,
62.0025,,Surface,23,Image 1,1,26691,
42.2392,,Surface,23,Image 1,1,26692,
67.1303,,Surface,23,Image 1,1,26694,
263.014,,Surface,23,Image 1,1,26695,
197.079,,Surface,23,Image 1,1,26696,
84.8917,,Surface,23,Image 1,1,26697,
83.7392,,Surface,23,Image 1,1,26699,
133.512,,Surface,23,Image 1,1,26700,
28.9516,,Surface,23,Image 1,1,26701,
278.612,,Surface,23,Image 1,1,26702,
65.0452,,Surface,23,Image 1,1,26703,
139.685,,Surface,23,Image 1,1,26704,
136.664,,Surface,23,Image 1,1,26705,
80.124,,Surface,23,Image 1,1,26706,
15.5208,,Surface,23,Image 1,1,26707,
59.1679,,Surface,23,Image 1,1,26708,
133.364,,Surface,23,Image 1,1,26709,
824.422,,Surface,23,Image 1,1,26710,
442.441,,Surface,23,Image 1,1,26711,
291.896,,Surface,23,Image 1,1,26712,
922.196,,Surface,23,Image 1,1,26713,
70.7368,,Surface,23,Image 1,1,26714,
47.069,,Surface,23,Image 1,1,26716,
166.229,,Surface,23,Image 1,1,26717,
35.4035,,Surface,23,Image 1,1,26718,
744.338,,Surface,23,Image 1,1,26719,
119.984,,Surface,23,Image 1,1,26720,
90.7404,,Surface,23,Image 1,1,26722,
26.9058,,Surface,23,Image 1,1,26723,
44.2505,,Surface,23,Image 1,1,26724,
117.624,,Surface,23,Image 1,1,26725,
151.788,,Surface,23,Image 1,1,26726,
69.1007,,Surface,23,Image 1,1,26727,
119.307,,Surface,23,Image 1,1,26728,
63.1415,,Surface,23,Image 1,1,26729,
304.894,,Surface,23,Image 1,1,26730,
1135.03,,Surface,23,Image 1,1,26731,
158.381,,Surface,23,Image 1,1,26732,
95.5356,,Surface,23,Image 1,1,26733,
47.4562,,Surface,23,Image 1,1,26734,
50.9389,,Surface,23,Image 1,1,26735,
143.01,,Surface,23,Image 1,1,26736,
