
Intensity Median Ch=25 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
1732,,Surface,25,Image 1,1,26464,
1300,,Surface,25,Image 1,1,26465,
2300,,Surface,25,Image 1,1,26466,
1868,,Surface,25,Image 1,1,26467,
1740,,Surface,25,Image 1,1,26468,
452,,Surface,25,Image 1,1,26469,
2084,,Surface,25,Image 1,1,26471,
1252,,Surface,25,Image 1,1,26472,
1772,,Surface,25,Image 1,1,26473,
1420,,Surface,25,Image 1,1,26474,
914,,Surface,25,Image 1,1,26475,
614,,Surface,25,Image 1,1,26476,
1612,,Surface,25,Image 1,1,26477,
1484,,Surface,25,Image 1,1,26478,
1068,,Surface,25,Image 1,1,26480,
1724,,Surface,25,Image 1,1,26481,
890,,Surface,25,Image 1,1,26482,
1332,,Surface,25,Image 1,1,26483,
2212,,Surface,25,Image 1,1,26484,
924,,Surface,25,Image 1,1,26485,
1434,,Surface,25,Image 1,1,26486,
1348,,Surface,25,Image 1,1,26487,
1268,,Surface,25,Image 1,1,26488,
1508,,Surface,25,Image 1,1,26489,
1268,,Surface,25,Image 1,1,26490,
1540,,Surface,25,Image 1,1,26491,
1428,,Surface,25,Image 1,1,26492,
798,,Surface,25,Image 1,1,26493,
1292,,Surface,25,Image 1,1,26494,
1348,,Surface,25,Image 1,1,26495,
778,,Surface,25,Image 1,1,26497,
1428,,Surface,25,Image 1,1,26498,
1050,,Surface,25,Image 1,1,26499,
1062,,Surface,25,Image 1,1,26502,
266,,Surface,25,Image 1,1,26503,
2300,,Surface,25,Image 1,1,26504,
1540,,Surface,25,Image 1,1,26506,
1252,,Surface,25,Image 1,1,26507,
1650,,Surface,25,Image 1,1,26509,
1428,,Surface,25,Image 1,1,26510,
2044,,Surface,25,Image 1,1,26512,
1916,,Surface,25,Image 1,1,26513,
1132,,Surface,25,Image 1,1,26514,
1356,,Surface,25,Image 1,1,26515,
1508,,Surface,25,Image 1,1,26516,
1204,,Surface,25,Image 1,1,26517,
1348,,Surface,25,Image 1,1,26518,
1340,,Surface,25,Image 1,1,26521,
2220,,Surface,25,Image 1,1,26522,
1068,,Surface,25,Image 1,1,26523,
1452,,Surface,25,Image 1,1,26524,
950,,Surface,25,Image 1,1,26525,
918,,Surface,25,Image 1,1,26526,
2520,,Surface,25,Image 1,1,26527,
1564,,Surface,25,Image 1,1,26528,
1412,,Surface,25,Image 1,1,26529,
1460,,Surface,25,Image 1,1,26530,
1912,,Surface,25,Image 1,1,26531,
898,,Surface,25,Image 1,1,26532,
2172,,Surface,25,Image 1,1,26533,
862,,Surface,25,Image 1,1,26534,
1256,,Surface,25,Image 1,1,26535,
1516,,Surface,25,Image 1,1,26536,
1252,,Surface,25,Image 1,1,26537,
1388,,Surface,25,Image 1,1,26538,
1146,,Surface,25,Image 1,1,26539,
934,,Surface,25,Image 1,1,26541,
1604,,Surface,25,Image 1,1,26542,
1692,,Surface,25,Image 1,1,26543,
