
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
904.939,µm,Surface,Distance from Origin,1,26498,
904.015,µm,Surface,Distance from Origin,1,26499,
899.372,µm,Surface,Distance from Origin,1,26502,
895.51,µm,Surface,Distance from Origin,1,26503,
899.945,µm,Surface,Distance from Origin,1,26504,
902.445,µm,Surface,Distance from Origin,1,26506,
894.522,µm,Surface,Distance from Origin,1,26507,
895.359,µm,Surface,Distance from Origin,1,26509,
904.341,µm,Surface,Distance from Origin,1,26510,
915.362,µm,Surface,Distance from Origin,1,26512,
908.858,µm,Surface,Distance from Origin,1,26513,
906.707,µm,Surface,Distance from Origin,1,26514,
840.433,µm,Surface,Distance from Origin,1,26515,
853.154,µm,Surface,Distance from Origin,1,26516,
857.101,µm,Surface,Distance from Origin,1,26517,
861.671,µm,Surface,Distance from Origin,1,26518,
858.847,µm,Surface,Distance from Origin,1,26521,
849.172,µm,Surface,Distance from Origin,1,26522,
865.027,µm,Surface,Distance from Origin,1,26523,
860.32,µm,Surface,Distance from Origin,1,26524,
853.218,µm,Surface,Distance from Origin,1,26525,
849.16,µm,Surface,Distance from Origin,1,26526,
851.732,µm,Surface,Distance from Origin,1,26527,
861.456,µm,Surface,Distance from Origin,1,26528,
848.419,µm,Surface,Distance from Origin,1,26529,
838.752,µm,Surface,Distance from Origin,1,26530,
851.497,µm,Surface,Distance from Origin,1,26531,
848.726,µm,Surface,Distance from Origin,1,26532,
852.428,µm,Surface,Distance from Origin,1,26533,
846.856,µm,Surface,Distance from Origin,1,26534,
854.932,µm,Surface,Distance from Origin,1,26535,
853.646,µm,Surface,Distance from Origin,1,26536,
841.618,µm,Surface,Distance from Origin,1,26537,
858.546,µm,Surface,Distance from Origin,1,26538,
838.489,µm,Surface,Distance from Origin,1,26539,
851.514,µm,Surface,Distance from Origin,1,26541,
850.86,µm,Surface,Distance from Origin,1,26542,
857.404,µm,Surface,Distance from Origin,1,26543,
857.486,µm,Surface,Distance from Origin,1,26544,
859.366,µm,Surface,Distance from Origin,1,26545,
854.879,µm,Surface,Distance from Origin,1,26546,
854.895,µm,Surface,Distance from Origin,1,26547,
862.943,µm,Surface,Distance from Origin,1,26548,
858.085,µm,Surface,Distance from Origin,1,26549,
845.215,µm,Surface,Distance from Origin,1,26550,
857.947,µm,Surface,Distance from Origin,1,26551,
868.736,µm,Surface,Distance from Origin,1,26552,
855.042,µm,Surface,Distance from Origin,1,26553,
861.903,µm,Surface,Distance from Origin,1,26554,
858.722,µm,Surface,Distance from Origin,1,26555,
844.703,µm,Surface,Distance from Origin,1,26556,
858.762,µm,Surface,Distance from Origin,1,26557,
848.24,µm,Surface,Distance from Origin,1,26558,
858.337,µm,Surface,Distance from Origin,1,26559,
849.228,µm,Surface,Distance from Origin,1,26560,
857.883,µm,Surface,Distance from Origin,1,26561,
852.927,µm,Surface,Distance from Origin,1,26562,
848.016,µm,Surface,Distance from Origin,1,26563,
855.386,µm,Surface,Distance from Origin,1,26564,
858.707,µm,Surface,Distance from Origin,1,26565,
855.828,µm,Surface,Distance from Origin,1,26567,
861.237,µm,Surface,Distance from Origin,1,26568,
864.847,µm,Surface,Distance from Origin,1,26569,
864.088,µm,Surface,Distance from Origin,1,26570,
865.795,µm,Surface,Distance from Origin,1,26571,
861.059,µm,Surface,Distance from Origin,1,26572,
862.498,µm,Surface,Distance from Origin,1,26573,
857.81,µm,Surface,Distance from Origin,1,26574,
852.045,µm,Surface,Distance from Origin,1,26575,
872.454,µm,Surface,Distance from Origin,1,26576,
862.245,µm,Surface,Distance from Origin,1,26577,
865.496,µm,Surface,Distance from Origin,1,26578,
866.057,µm,Surface,Distance from Origin,1,26580,
847.68,µm,Surface,Distance from Origin,1,26581,
855.692,µm,Surface,Distance from Origin,1,26582,
866.172,µm,Surface,Distance from Origin,1,26583,
864.412,µm,Surface,Distance from Origin,1,26584,
869.773,µm,Surface,Distance from Origin,1,26585,
852.891,µm,Surface,Distance from Origin,1,26586,
860.388,µm,Surface,Distance from Origin,1,26587,
858.08,µm,Surface,Distance from Origin,1,26589,
850.889,µm,Surface,Distance from Origin,1,26591,
863.344,µm,Surface,Distance from Origin,1,26592,
867.494,µm,Surface,Distance from Origin,1,26593,
866.502,µm,Surface,Distance from Origin,1,26594,
862.894,µm,Surface,Distance from Origin,1,26595,
861.892,µm,Surface,Distance from Origin,1,26597,
866.929,µm,Surface,Distance from Origin,1,26598,
862.771,µm,Surface,Distance from Origin,1,26599,
861.777,µm,Surface,Distance from Origin,1,26600,
875.298,µm,Surface,Distance from Origin,1,26601,
856.678,µm,Surface,Distance from Origin,1,26602,
871.332,µm,Surface,Distance from Origin,1,26603,
868.075,µm,Surface,Distance from Origin,1,26604,
851.675,µm,Surface,Distance from Origin,1,26606,
858.542,µm,Surface,Distance from Origin,1,26607,
860.484,µm,Surface,Distance from Origin,1,26608,
862.162,µm,Surface,Distance from Origin,1,26609,
867.346,µm,Surface,Distance from Origin,1,26610,
862.293,µm,Surface,Distance from Origin,1,26611,
870.611,µm,Surface,Distance from Origin,1,26612,
875.811,µm,Surface,Distance from Origin,1,26614,
862.756,µm,Surface,Distance from Origin,1,26616,
867.056,µm,Surface,Distance from Origin,1,26617,
872.917,µm,Surface,Distance from Origin,1,26621,
867.831,µm,Surface,Distance from Origin,1,26622,
869.569,µm,Surface,Distance from Origin,1,26624,
858.044,µm,Surface,Distance from Origin,1,26626,
876.52,µm,Surface,Distance from Origin,1,26627,
878.511,µm,Surface,Distance from Origin,1,26628,
872.645,µm,Surface,Distance from Origin,1,26630,
856.761,µm,Surface,Distance from Origin,1,26632,
861.952,µm,Surface,Distance from Origin,1,26633,
870.073,µm,Surface,Distance from Origin,1,26635,
870.27,µm,Surface,Distance from Origin,1,26636,
877.258,µm,Surface,Distance from Origin,1,26637,
884.331,µm,Surface,Distance from Origin,1,26638,
869.551,µm,Surface,Distance from Origin,1,26639,
868.932,µm,Surface,Distance from Origin,1,26640,
873.526,µm,Surface,Distance from Origin,1,26641,
863.951,µm,Surface,Distance from Origin,1,26642,
858.208,µm,Surface,Distance from Origin,1,26643,
876.055,µm,Surface,Distance from Origin,1,26644,
880.244,µm,Surface,Distance from Origin,1,26645,
869.149,µm,Surface,Distance from Origin,1,26646,
877.392,µm,Surface,Distance from Origin,1,26647,
868.239,µm,Surface,Distance from Origin,1,26649,
869.154,µm,Surface,Distance from Origin,1,26652,
866.398,µm,Surface,Distance from Origin,1,26654,
874.188,µm,Surface,Distance from Origin,1,26655,
874.18,µm,Surface,Distance from Origin,1,26658,
883.749,µm,Surface,Distance from Origin,1,26659,
873.888,µm,Surface,Distance from Origin,1,26660,
810.119,µm,Surface,Distance from Origin,1,26661,
836.271,µm,Surface,Distance from Origin,1,26662,
822.806,µm,Surface,Distance from Origin,1,26663,
834.696,µm,Surface,Distance from Origin,1,26664,
833.269,µm,Surface,Distance from Origin,1,26665,
825.275,µm,Surface,Distance from Origin,1,26666,
834.017,µm,Surface,Distance from Origin,1,26667,
835.192,µm,Surface,Distance from Origin,1,26668,
835.475,µm,Surface,Distance from Origin,1,26669,
824.072,µm,Surface,Distance from Origin,1,26670,
828.867,µm,Surface,Distance from Origin,1,26671,
830.362,µm,Surface,Distance from Origin,1,26672,
811.866,µm,Surface,Distance from Origin,1,26673,
828.593,µm,Surface,Distance from Origin,1,26674,
830.669,µm,Surface,Distance from Origin,1,26675,
827.22,µm,Surface,Distance from Origin,1,26676,
831.059,µm,Surface,Distance from Origin,1,26677,
821.942,µm,Surface,Distance from Origin,1,26678,
831.069,µm,Surface,Distance from Origin,1,26679,
815.844,µm,Surface,Distance from Origin,1,26681,
820.232,µm,Surface,Distance from Origin,1,26682,
836.933,µm,Surface,Distance from Origin,1,26683,
824.956,µm,Surface,Distance from Origin,1,26686,
821.211,µm,Surface,Distance from Origin,1,26688,
844.056,µm,Surface,Distance from Origin,1,26689,
829.48,µm,Surface,Distance from Origin,1,26690,
838.696,µm,Surface,Distance from Origin,1,26691,
838.655,µm,Surface,Distance from Origin,1,26692,
827.715,µm,Surface,Distance from Origin,1,26694,
837.343,µm,Surface,Distance from Origin,1,26695,
823.488,µm,Surface,Distance from Origin,1,26696,
835.713,µm,Surface,Distance from Origin,1,26697,
833.885,µm,Surface,Distance from Origin,1,26699,
831.918,µm,Surface,Distance from Origin,1,26700,
836.702,µm,Surface,Distance from Origin,1,26701,
834.372,µm,Surface,Distance from Origin,1,26702,
845.46,µm,Surface,Distance from Origin,1,26703,
837.603,µm,Surface,Distance from Origin,1,26704,
835.749,µm,Surface,Distance from Origin,1,26705,
831.114,µm,Surface,Distance from Origin,1,26706,
832.966,µm,Surface,Distance from Origin,1,26707,
835.104,µm,Surface,Distance from Origin,1,26708,
829.961,µm,Surface,Distance from Origin,1,26709,
847.157,µm,Surface,Distance from Origin,1,26710,
828.433,µm,Surface,Distance from Origin,1,26711,
840.549,µm,Surface,Distance from Origin,1,26712,
847.605,µm,Surface,Distance from Origin,1,26713,
825.748,µm,Surface,Distance from Origin,1,26714,
835.892,µm,Surface,Distance from Origin,1,26716,
829.775,µm,Surface,Distance from Origin,1,26717,
824.513,µm,Surface,Distance from Origin,1,26718,
850.665,µm,Surface,Distance from Origin,1,26719,
824.646,µm,Surface,Distance from Origin,1,26720,
833.201,µm,Surface,Distance from Origin,1,26722,
823.247,µm,Surface,Distance from Origin,1,26723,
832.625,µm,Surface,Distance from Origin,1,26724,
826.52,µm,Surface,Distance from Origin,1,26725,
832.093,µm,Surface,Distance from Origin,1,26726,
838.245,µm,Surface,Distance from Origin,1,26727,
822.314,µm,Surface,Distance from Origin,1,26728,
839.901,µm,Surface,Distance from Origin,1,26729,
835.662,µm,Surface,Distance from Origin,1,26730,
842.821,µm,Surface,Distance from Origin,1,26731,
833.231,µm,Surface,Distance from Origin,1,26732,
836.704,µm,Surface,Distance from Origin,1,26733,
831.67,µm,Surface,Distance from Origin,1,26734,
827.757,µm,Surface,Distance from Origin,1,26735,
840.998,µm,Surface,Distance from Origin,1,26736,
827.025,µm,Surface,Distance from Origin,1,26737,
836.092,µm,Surface,Distance from Origin,1,26739,
845.723,µm,Surface,Distance from Origin,1,26740,
833.06,µm,Surface,Distance from Origin,1,26741,
835.724,µm,Surface,Distance from Origin,1,26742,
839.464,µm,Surface,Distance from Origin,1,26743,
845.922,µm,Surface,Distance from Origin,1,26745,
844.219,µm,Surface,Distance from Origin,1,26746,
842.539,µm,Surface,Distance from Origin,1,26747,
837.071,µm,Surface,Distance from Origin,1,26748,
832.051,µm,Surface,Distance from Origin,1,26749,
837.432,µm,Surface,Distance from Origin,1,26750,
837.166,µm,Surface,Distance from Origin,1,26751,
846.358,µm,Surface,Distance from Origin,1,26752,
843.231,µm,Surface,Distance from Origin,1,26753,
839.157,µm,Surface,Distance from Origin,1,26754,
845.654,µm,Surface,Distance from Origin,1,26755,
830.642,µm,Surface,Distance from Origin,1,26756,
832.881,µm,Surface,Distance from Origin,1,26758,
840.119,µm,Surface,Distance from Origin,1,26759,
847.445,µm,Surface,Distance from Origin,1,26760,
840.153,µm,Surface,Distance from Origin,1,26761,
841.819,µm,Surface,Distance from Origin,1,26762,
842.815,µm,Surface,Distance from Origin,1,26763,
839.171,µm,Surface,Distance from Origin,1,26764,
840.049,µm,Surface,Distance from Origin,1,26765,
841.68,µm,Surface,Distance from Origin,1,26766,
828.361,µm,Surface,Distance from Origin,1,26767,
836.712,µm,Surface,Distance from Origin,1,26768,
842.847,µm,Surface,Distance from Origin,1,26771,
850.008,µm,Surface,Distance from Origin,1,26772,
842.875,µm,Surface,Distance from Origin,1,26773,
831.629,µm,Surface,Distance from Origin,1,26774,
831.075,µm,Surface,Distance from Origin,1,26776,
845.666,µm,Surface,Distance from Origin,1,26777,
856.724,µm,Surface,Distance from Origin,1,26778,
839.181,µm,Surface,Distance from Origin,1,26779,
850.001,µm,Surface,Distance from Origin,1,26780,
842.784,µm,Surface,Distance from Origin,1,26781,
839.915,µm,Surface,Distance from Origin,1,26783,
851.366,µm,Surface,Distance from Origin,1,26784,
846.006,µm,Surface,Distance from Origin,1,26785,
851.127,µm,Surface,Distance from Origin,1,26786,
843.631,µm,Surface,Distance from Origin,1,26787,
847.385,µm,Surface,Distance from Origin,1,26788,
840.774,µm,Surface,Distance from Origin,1,26789,
835.673,µm,Surface,Distance from Origin,1,26790,
845.038,µm,Surface,Distance from Origin,1,26791,
840.639,µm,Surface,Distance from Origin,1,26792,
849.83,µm,Surface,Distance from Origin,1,26793,
829.748,µm,Surface,Distance from Origin,1,26794,
841.489,µm,Surface,Distance from Origin,1,26795,
845.472,µm,Surface,Distance from Origin,1,26796,
841.926,µm,Surface,Distance from Origin,1,26797,
841.993,µm,Surface,Distance from Origin,1,26798,
842.734,µm,Surface,Distance from Origin,1,26799,
848.529,µm,Surface,Distance from Origin,1,26800,
839.917,µm,Surface,Distance from Origin,1,26801,
845.816,µm,Surface,Distance from Origin,1,26802,
836.984,µm,Surface,Distance from Origin,1,26803,
845.189,µm,Surface,Distance from Origin,1,26804,
856.216,µm,Surface,Distance from Origin,1,26805,
851.752,µm,Surface,Distance from Origin,1,26806,
855.824,µm,Surface,Distance from Origin,1,26807,
848.945,µm,Surface,Distance from Origin,1,26808,
852.109,µm,Surface,Distance from Origin,1,26809,
833.854,µm,Surface,Distance from Origin,1,26810,
851.054,µm,Surface,Distance from Origin,1,26811,
849.219,µm,Surface,Distance from Origin,1,26812,
842.077,µm,Surface,Distance from Origin,1,26813,
843.791,µm,Surface,Distance from Origin,1,26814,
842.119,µm,Surface,Distance from Origin,1,26815,
833.982,µm,Surface,Distance from Origin,1,26816,
845.766,µm,Surface,Distance from Origin,1,26817,
851.514,µm,Surface,Distance from Origin,1,26818,
805.016,µm,Surface,Distance from Origin,1,26819,
809.767,µm,Surface,Distance from Origin,1,26820,
830.127,µm,Surface,Distance from Origin,1,26821,
819.965,µm,Surface,Distance from Origin,1,26822,
828.976,µm,Surface,Distance from Origin,1,26823,
807.351,µm,Surface,Distance from Origin,1,26824,
804.545,µm,Surface,Distance from Origin,1,26825,
812.32,µm,Surface,Distance from Origin,1,26826,
825.336,µm,Surface,Distance from Origin,1,26827,
822.41,µm,Surface,Distance from Origin,1,26828,
813.741,µm,Surface,Distance from Origin,1,26829,
821.625,µm,Surface,Distance from Origin,1,26830,
807.581,µm,Surface,Distance from Origin,1,26831,
816.418,µm,Surface,Distance from Origin,1,26833,
814.822,µm,Surface,Distance from Origin,1,26834,
824.188,µm,Surface,Distance from Origin,1,26835,
820.11,µm,Surface,Distance from Origin,1,26836,
811.992,µm,Surface,Distance from Origin,1,26837,
829.944,µm,Surface,Distance from Origin,1,26838,
823.539,µm,Surface,Distance from Origin,1,26839,
