
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
618.913,µm,Surface,Position,1,26465,
652.831,µm,Surface,Position,1,26466,
609.697,µm,Surface,Position,1,26467,
642.978,µm,Surface,Position,1,26468,
692.203,µm,Surface,Position,1,26469,
661.735,µm,Surface,Position,1,26471,
677.128,µm,Surface,Position,1,26472,
668.57,µm,Surface,Position,1,26473,
565.139,µm,Surface,Position,1,26474,
581.155,µm,Surface,Position,1,26475,
540.364,µm,Surface,Position,1,26476,
575.026,µm,Surface,Position,1,26477,
657.56,µm,Surface,Position,1,26478,
714.001,µm,Surface,Position,1,26480,
695.891,µm,Surface,Position,1,26481,
551.714,µm,Surface,Position,1,26482,
590.087,µm,Surface,Position,1,26483,
598.938,µm,Surface,Position,1,26484,
553.52,µm,Surface,Position,1,26485,
569.617,µm,Surface,Position,1,26486,
589.289,µm,Surface,Position,1,26487,
671.923,µm,Surface,Position,1,26488,
698.429,µm,Surface,Position,1,26489,
600.328,µm,Surface,Position,1,26490,
584.053,µm,Surface,Position,1,26491,
582.836,µm,Surface,Position,1,26492,
628.863,µm,Surface,Position,1,26493,
665.784,µm,Surface,Position,1,26494,
660.091,µm,Surface,Position,1,26495,
611.46,µm,Surface,Position,1,26497,
620.548,µm,Surface,Position,1,26498,
699.684,µm,Surface,Position,1,26499,
596.452,µm,Surface,Position,1,26502,
606.63,µm,Surface,Position,1,26503,
643.234,µm,Surface,Position,1,26504,
636.397,µm,Surface,Position,1,26506,
671.583,µm,Surface,Position,1,26507,
651.492,µm,Surface,Position,1,26509,
622.882,µm,Surface,Position,1,26510,
700.409,µm,Surface,Position,1,26512,
647.783,µm,Surface,Position,1,26513,
633.502,µm,Surface,Position,1,26514,
552.231,µm,Surface,Position,1,26515,
674.645,µm,Surface,Position,1,26516,
480.253,µm,Surface,Position,1,26517,
496.984,µm,Surface,Position,1,26518,
689.998,µm,Surface,Position,1,26521,
647.169,µm,Surface,Position,1,26522,
705.534,µm,Surface,Position,1,26523,
516.24,µm,Surface,Position,1,26524,
672.897,µm,Surface,Position,1,26525,
678.796,µm,Surface,Position,1,26526,
575.197,µm,Surface,Position,1,26527,
711.458,µm,Surface,Position,1,26528,
528.157,µm,Surface,Position,1,26529,
565.86,µm,Surface,Position,1,26530,
605.847,µm,Surface,Position,1,26531,
499.373,µm,Surface,Position,1,26532,
557.267,µm,Surface,Position,1,26533,
666.461,µm,Surface,Position,1,26534,
655.62,µm,Surface,Position,1,26535,
648.572,µm,Surface,Position,1,26536,
612.133,µm,Surface,Position,1,26537,
505.908,µm,Surface,Position,1,26538,
559.631,µm,Surface,Position,1,26539,
683.683,µm,Surface,Position,1,26541,
642.631,µm,Surface,Position,1,26542,
629.126,µm,Surface,Position,1,26543,
694.925,µm,Surface,Position,1,26544,
501.926,µm,Surface,Position,1,26545,
568.777,µm,Surface,Position,1,26546,
486.327,µm,Surface,Position,1,26547,
