
Intensity Sum Ch=9 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.73837e+09,,Surface,9,Image 1,1,26423,
1.28702e+08,,Surface,9,Image 1,1,26425,
1.31731e+09,,Surface,9,Image 1,1,26426,
1.49898e+09,,Surface,9,Image 1,1,26427,
1.53855e+09,,Surface,9,Image 1,1,26428,
7.7712e+08,,Surface,9,Image 1,1,26429,
4.65064e+08,,Surface,9,Image 1,1,26430,
9.12253e+08,,Surface,9,Image 1,1,26431,
6.18759e+08,,Surface,9,Image 1,1,26432,
5.48608e+08,,Surface,9,Image 1,1,26433,
1.35302e+09,,Surface,9,Image 1,1,26434,
3.31652e+09,,Surface,9,Image 1,1,26435,
1.08952e+09,,Surface,9,Image 1,1,26436,
5.7032e+08,,Surface,9,Image 1,1,26437,
3.75152e+09,,Surface,9,Image 1,1,26438,
5.08748e+08,,Surface,9,Image 1,1,26439,
2.40068e+09,,Surface,9,Image 1,1,26440,
4.2736e+09,,Surface,9,Image 1,1,26441,
9.9654e+08,,Surface,9,Image 1,1,26442,
1.40223e+09,,Surface,9,Image 1,1,26443,
7.74939e+08,,Surface,9,Image 1,1,26444,
7.82315e+08,,Surface,9,Image 1,1,26446,
1.30724e+09,,Surface,9,Image 1,1,26448,
2.55099e+09,,Surface,9,Image 1,1,26451,
4.12578e+08,,Surface,9,Image 1,1,26452,
5.58089e+08,,Surface,9,Image 1,1,26453,
1.92426e+09,,Surface,9,Image 1,1,26456,
1.3024e+09,,Surface,9,Image 1,1,26457,
1.47397e+08,,Surface,9,Image 1,1,26458,
8.71277e+08,,Surface,9,Image 1,1,26459,
1.40949e+09,,Surface,9,Image 1,1,26460,
6.9793e+08,,Surface,9,Image 1,1,26461,
8.0856e+07,,Surface,9,Image 1,1,26462,
1.20304e+08,,Surface,9,Image 1,1,26463,
3.33369e+09,,Surface,9,Image 1,1,26464,
4.68372e+08,,Surface,9,Image 1,1,26465,
1.3103e+09,,Surface,9,Image 1,1,26466,
7.43866e+08,,Surface,9,Image 1,1,26467,
2.56568e+09,,Surface,9,Image 1,1,26468,
2.32704e+08,,Surface,9,Image 1,1,26469,
1.3641e+09,,Surface,9,Image 1,1,26471,
7.05219e+08,,Surface,9,Image 1,1,26472,
7.40374e+08,,Surface,9,Image 1,1,26473,
7.90877e+08,,Surface,9,Image 1,1,26474,
2.62063e+08,,Surface,9,Image 1,1,26475,
1.53844e+08,,Surface,9,Image 1,1,26476,
6.81365e+08,,Surface,9,Image 1,1,26477,
1.89353e+09,,Surface,9,Image 1,1,26478,
4.99596e+08,,Surface,9,Image 1,1,26480,
1.00114e+09,,Surface,9,Image 1,1,26481,
5.60487e+08,,Surface,9,Image 1,1,26482,
2.67366e+09,,Surface,9,Image 1,1,26483,
1.42548e+09,,Surface,9,Image 1,1,26484,
3.62592e+08,,Surface,9,Image 1,1,26485,
4.19879e+08,,Surface,9,Image 1,1,26486,
6.65006e+08,,Surface,9,Image 1,1,26487,
1.39301e+09,,Surface,9,Image 1,1,26488,
6.21326e+08,,Surface,9,Image 1,1,26489,
1.19125e+09,,Surface,9,Image 1,1,26490,
9.42464e+08,,Surface,9,Image 1,1,26491,
5.55796e+08,,Surface,9,Image 1,1,26492,
4.19133e+08,,Surface,9,Image 1,1,26493,
4.87269e+08,,Surface,9,Image 1,1,26494,
1.11319e+09,,Surface,9,Image 1,1,26495,
3.12839e+08,,Surface,9,Image 1,1,26497,
6.45759e+08,,Surface,9,Image 1,1,26498,
9.74418e+08,,Surface,9,Image 1,1,26499,
6.39073e+08,,Surface,9,Image 1,1,26502,
1.78108e+08,,Surface,9,Image 1,1,26503,
1.49085e+09,,Surface,9,Image 1,1,26504,
9.51925e+08,,Surface,9,Image 1,1,26506,
1.25341e+08,,Surface,9,Image 1,1,26507,
6.55412e+08,,Surface,9,Image 1,1,26509,
1.13833e+09,,Surface,9,Image 1,1,26510,
4.02295e+09,,Surface,9,Image 1,1,26512,
1.47167e+09,,Surface,9,Image 1,1,26513,
2.07855e+09,,Surface,9,Image 1,1,26514,
6.51463e+08,,Surface,9,Image 1,1,26515,
8.21468e+08,,Surface,9,Image 1,1,26516,
5.46238e+08,,Surface,9,Image 1,1,26517,
1.00575e+09,,Surface,9,Image 1,1,26518,
1.00023e+09,,Surface,9,Image 1,1,26521,
1.18665e+09,,Surface,9,Image 1,1,26522,
1.01433e+09,,Surface,9,Image 1,1,26523,
1.31118e+09,,Surface,9,Image 1,1,26524,
6.06653e+08,,Surface,9,Image 1,1,26525,
4.62477e+08,,Surface,9,Image 1,1,26526,
2.54042e+09,,Surface,9,Image 1,1,26527,
3.64753e+08,,Surface,9,Image 1,1,26528,
9.32154e+08,,Surface,9,Image 1,1,26529,
5.5294e+08,,Surface,9,Image 1,1,26530,
2.49943e+09,,Surface,9,Image 1,1,26531,
2.88884e+08,,Surface,9,Image 1,1,26532,
9.85923e+08,,Surface,9,Image 1,1,26533,
2.89976e+08,,Surface,9,Image 1,1,26534,
1.36259e+09,,Surface,9,Image 1,1,26535,
6.26917e+08,,Surface,9,Image 1,1,26536,
3.98701e+08,,Surface,9,Image 1,1,26537,
6.24827e+08,,Surface,9,Image 1,1,26538,
2.20195e+08,,Surface,9,Image 1,1,26539,
2.49014e+08,,Surface,9,Image 1,1,26541,
1.0362e+09,,Surface,9,Image 1,1,26542,
2.30138e+09,,Surface,9,Image 1,1,26543,
