
Intensity Sum of Square Ch=29 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
6.9978e+11,,Surface,29,Image 1,1,26713,
9.22909e+11,,Surface,29,Image 1,1,26714,
4.14576e+11,,Surface,29,Image 1,1,26716,
1.81718e+12,,Surface,29,Image 1,1,26717,
4.59278e+11,,Surface,29,Image 1,1,26718,
2.01678e+12,,Surface,29,Image 1,1,26719,
2.25365e+12,,Surface,29,Image 1,1,26720,
5.13066e+12,,Surface,29,Image 1,1,26722,
3.00934e+12,,Surface,29,Image 1,1,26723,
3.0234e+12,,Surface,29,Image 1,1,26724,
7.31192e+11,,Surface,29,Image 1,1,26725,
2.12886e+12,,Surface,29,Image 1,1,26726,
1.66893e+12,,Surface,29,Image 1,1,26727,
3.38064e+11,,Surface,29,Image 1,1,26728,
1.31855e+12,,Surface,29,Image 1,1,26729,
6.85381e+12,,Surface,29,Image 1,1,26730,
6.12735e+11,,Surface,29,Image 1,1,26731,
1.03989e+12,,Surface,29,Image 1,1,26732,
1.29334e+12,,Surface,29,Image 1,1,26733,
3.57588e+11,,Surface,29,Image 1,1,26734,
6.46911e+11,,Surface,29,Image 1,1,26735,
1.67241e+12,,Surface,29,Image 1,1,26736,
1.43301e+12,,Surface,29,Image 1,1,26737,
7.8539e+12,,Surface,29,Image 1,1,26739,
8.80162e+11,,Surface,29,Image 1,1,26740,
2.10062e+12,,Surface,29,Image 1,1,26741,
5.09957e+12,,Surface,29,Image 1,1,26742,
9.1755e+11,,Surface,29,Image 1,1,26743,
1.98262e+12,,Surface,29,Image 1,1,26745,
2.07303e+12,,Surface,29,Image 1,1,26746,
8.63812e+11,,Surface,29,Image 1,1,26747,
2.65549e+12,,Surface,29,Image 1,1,26748,
7.08532e+11,,Surface,29,Image 1,1,26749,
3.20336e+12,,Surface,29,Image 1,1,26750,
1.83158e+12,,Surface,29,Image 1,1,26751,
9.14653e+11,,Surface,29,Image 1,1,26752,
3.86607e+11,,Surface,29,Image 1,1,26753,
2.43761e+12,,Surface,29,Image 1,1,26754,
2.35512e+12,,Surface,29,Image 1,1,26755,
3.50758e+12,,Surface,29,Image 1,1,26756,
7.95701e+11,,Surface,29,Image 1,1,26758,
2.60711e+12,,Surface,29,Image 1,1,26759,
7.98297e+11,,Surface,29,Image 1,1,26760,
1.00807e+12,,Surface,29,Image 1,1,26761,
1.60085e+12,,Surface,29,Image 1,1,26762,
2.70633e+11,,Surface,29,Image 1,1,26763,
3.00307e+12,,Surface,29,Image 1,1,26764,
1.60829e+11,,Surface,29,Image 1,1,26765,
1.43911e+12,,Surface,29,Image 1,1,26766,
1.22489e+12,,Surface,29,Image 1,1,26767,
3.40002e+12,,Surface,29,Image 1,1,26768,
4.40662e+12,,Surface,29,Image 1,1,26771,
2.03428e+12,,Surface,29,Image 1,1,26772,
1.07091e+12,,Surface,29,Image 1,1,26773,
1.12061e+12,,Surface,29,Image 1,1,26774,
3.82905e+11,,Surface,29,Image 1,1,26776,
2.45357e+13,,Surface,29,Image 1,1,26777,
1.67795e+12,,Surface,29,Image 1,1,26778,
1.33608e+11,,Surface,29,Image 1,1,26779,
3.12334e+12,,Surface,29,Image 1,1,26780,
4.5173e+12,,Surface,29,Image 1,1,26781,
4.22162e+12,,Surface,29,Image 1,1,26783,
1.14732e+12,,Surface,29,Image 1,1,26784,
2.27994e+12,,Surface,29,Image 1,1,26785,
1.08941e+13,,Surface,29,Image 1,1,26786,
7.3332e+12,,Surface,29,Image 1,1,26787,
3.46734e+12,,Surface,29,Image 1,1,26788,
1.38273e+12,,Surface,29,Image 1,1,26789,
2.27953e+12,,Surface,29,Image 1,1,26790,
1.73499e+12,,Surface,29,Image 1,1,26791,
1.78208e+12,,Surface,29,Image 1,1,26792,
1.46521e+13,,Surface,29,Image 1,1,26793,
2.16609e+11,,Surface,29,Image 1,1,26794,
7.90674e+11,,Surface,29,Image 1,1,26795,
3.43811e+12,,Surface,29,Image 1,1,26796,
1.30542e+13,,Surface,29,Image 1,1,26797,
2.25221e+11,,Surface,29,Image 1,1,26798,
3.29488e+12,,Surface,29,Image 1,1,26799,
1.83131e+12,,Surface,29,Image 1,1,26800,
5.29277e+12,,Surface,29,Image 1,1,26801,
5.746e+12,,Surface,29,Image 1,1,26802,
4.85155e+11,,Surface,29,Image 1,1,26803,
6.06057e+12,,Surface,29,Image 1,1,26804,
2.41849e+12,,Surface,29,Image 1,1,26805,
7.90544e+12,,Surface,29,Image 1,1,26806,
9.42357e+11,,Surface,29,Image 1,1,26807,
7.1675e+12,,Surface,29,Image 1,1,26808,
1.23116e+12,,Surface,29,Image 1,1,26809,
4.71016e+11,,Surface,29,Image 1,1,26810,
1.77347e+12,,Surface,29,Image 1,1,26811,
7.03166e+11,,Surface,29,Image 1,1,26812,
4.50381e+11,,Surface,29,Image 1,1,26813,
6.19314e+12,,Surface,29,Image 1,1,26814,
5.90686e+11,,Surface,29,Image 1,1,26815,
