
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
51.7559,µm,Surface,Image 1,1,26636,
32.1959,µm,Surface,Image 1,1,26637,
6.30267,µm,Surface,Image 1,1,26638,
78.7629,µm,Surface,Image 1,1,26639,
43.5679,µm,Surface,Image 1,1,26640,
7.24072,µm,Surface,Image 1,1,26641,
100.493,µm,Surface,Image 1,1,26642,
82.6173,µm,Surface,Image 1,1,26643,
16.2686,µm,Surface,Image 1,1,26644,
80.4975,µm,Surface,Image 1,1,26645,
42.8484,µm,Surface,Image 1,1,26646,
34.4269,µm,Surface,Image 1,1,26647,
49.9637,µm,Surface,Image 1,1,26649,
75.3817,µm,Surface,Image 1,1,26652,
86.5924,µm,Surface,Image 1,1,26654,
57.6371,µm,Surface,Image 1,1,26655,
5.92065,µm,Surface,Image 1,1,26658,
13.2552,µm,Surface,Image 1,1,26659,
93.2103,µm,Surface,Image 1,1,26660,
134.707,µm,Surface,Image 1,1,26661,
36.6172,µm,Surface,Image 1,1,26662,
129.604,µm,Surface,Image 1,1,26663,
46.1824,µm,Surface,Image 1,1,26664,
21.375,µm,Surface,Image 1,1,26665,
83.9271,µm,Surface,Image 1,1,26666,
56.0978,µm,Surface,Image 1,1,26667,
23.1807,µm,Surface,Image 1,1,26668,
57.6235,µm,Surface,Image 1,1,26669,
54.4628,µm,Surface,Image 1,1,26670,
105.08,µm,Surface,Image 1,1,26671,
95.4886,µm,Surface,Image 1,1,26672,
124.275,µm,Surface,Image 1,1,26673,
33.4214,µm,Surface,Image 1,1,26674,
102.38,µm,Surface,Image 1,1,26675,
32.8109,µm,Surface,Image 1,1,26676,
47.7982,µm,Surface,Image 1,1,26677,
114.115,µm,Surface,Image 1,1,26678,
117.558,µm,Surface,Image 1,1,26679,
126.141,µm,Surface,Image 1,1,26681,
129.573,µm,Surface,Image 1,1,26682,
51.1653,µm,Surface,Image 1,1,26683,
115.969,µm,Surface,Image 1,1,26686,
81.8843,µm,Surface,Image 1,1,26688,
16.5421,µm,Surface,Image 1,1,26689,
118.443,µm,Surface,Image 1,1,26690,
28.0059,µm,Surface,Image 1,1,26691,
20.049,µm,Surface,Image 1,1,26692,
110.014,µm,Surface,Image 1,1,26694,
47.9172,µm,Surface,Image 1,1,26695,
122.193,µm,Surface,Image 1,1,26696,
34.9371,µm,Surface,Image 1,1,26697,
28.9276,µm,Surface,Image 1,1,26699,
87.4836,µm,Surface,Image 1,1,26700,
17.2458,µm,Surface,Image 1,1,26701,
67.1471,µm,Surface,Image 1,1,26702,
31.5014,µm,Surface,Image 1,1,26703,
57.8364,µm,Surface,Image 1,1,26704,
65.5654,µm,Surface,Image 1,1,26705,
46.4152,µm,Surface,Image 1,1,26706,
39.503,µm,Surface,Image 1,1,26707,
53.4571,µm,Surface,Image 1,1,26708,
114.029,µm,Surface,Image 1,1,26709,
15.6383,µm,Surface,Image 1,1,26710,
121.207,µm,Surface,Image 1,1,26711,
