
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
25.5912,µm,Surface,Position,1,2096,
17.5987,µm,Surface,Position,1,2097,
19.6392,µm,Surface,Position,1,2099,
23.3718,µm,Surface,Position,1,2101,
25.0781,µm,Surface,Position,1,2103,
14.7809,µm,Surface,Position,1,2106,
16.3941,µm,Surface,Position,1,2108,
19.9521,µm,Surface,Position,1,2113,
13.8069,µm,Surface,Position,1,2114,
15.5986,µm,Surface,Position,1,2115,
12.8806,µm,Surface,Position,1,2133,
12.3156,µm,Surface,Position,1,2138,
27.9265,µm,Surface,Position,1,2147,
17.5547,µm,Surface,Position,1,2150,
20.3274,µm,Surface,Position,1,2156,
13.9783,µm,Surface,Position,1,2158,
18.5105,µm,Surface,Position,1,2159,
12.1258,µm,Surface,Position,1,2160,
13.2835,µm,Surface,Position,1,2161,
15.5949,µm,Surface,Position,1,2164,
15.0569,µm,Surface,Position,1,2166,
24.7585,µm,Surface,Position,1,2168,
13.3259,µm,Surface,Position,1,2170,
16.8124,µm,Surface,Position,1,2171,
24.2947,µm,Surface,Position,1,2173,
26.5687,µm,Surface,Position,1,2174,
26.1043,µm,Surface,Position,1,2176,
17.9468,µm,Surface,Position,1,2181,
14.7659,µm,Surface,Position,1,2187,
14.279,µm,Surface,Position,1,2189,
13.6944,µm,Surface,Position,1,2193,
13.7704,µm,Surface,Position,1,2204,
24.5869,µm,Surface,Position,1,2210,
12.5924,µm,Surface,Position,1,2214,
21.5673,µm,Surface,Position,1,2216,
22.679,µm,Surface,Position,1,2225,
13.1437,µm,Surface,Position,1,2234,
15.0635,µm,Surface,Position,1,2235,
16.4979,µm,Surface,Position,1,2257,
15.5745,µm,Surface,Position,1,2258,
18.781,µm,Surface,Position,1,2259,
26.9155,µm,Surface,Position,1,2260,
13.0949,µm,Surface,Position,1,2263,
23.2497,µm,Surface,Position,1,2264,
27.6091,µm,Surface,Position,1,2265,
14.7124,µm,Surface,Position,1,2266,
20.9195,µm,Surface,Position,1,2275,
15.9206,µm,Surface,Position,1,2276,
19.2439,µm,Surface,Position,1,2284,
20.8837,µm,Surface,Position,1,2294,
16.6228,µm,Surface,Position,1,2299,
22.9128,µm,Surface,Position,1,2307,
16.2129,µm,Surface,Position,1,2310,
17.292,µm,Surface,Position,1,2314,
20.2171,µm,Surface,Position,1,2317,
12.7654,µm,Surface,Position,1,2318,
17.1669,µm,Surface,Position,1,2319,
22.3036,µm,Surface,Position,1,2320,
21.7416,µm,Surface,Position,1,2331,
12.7302,µm,Surface,Position,1,2332,
23.275,µm,Surface,Position,1,2337,
12.2321,µm,Surface,Position,1,2339,
13.3924,µm,Surface,Position,1,2354,
18.6317,µm,Surface,Position,1,2368,
18.0887,µm,Surface,Position,1,2369,
12.4079,µm,Surface,Position,1,2375,
18.8858,µm,Surface,Position,1,2380,
25.7101,µm,Surface,Position,1,2398,
13.1456,µm,Surface,Position,1,2403,
13.1759,µm,Surface,Position,1,2405,
13.9035,µm,Surface,Position,1,2409,
27.767,µm,Surface,Position,1,2420,
15.5677,µm,Surface,Position,1,2422,
12.4328,µm,Surface,Position,1,2426,
13.1826,µm,Surface,Position,1,2428,
23.7598,µm,Surface,Position,1,2434,
26.2483,µm,Surface,Position,1,2438,
25.0425,µm,Surface,Position,1,2439,
12.1671,µm,Surface,Position,1,2440,
21.709,µm,Surface,Position,1,2441,
15.5412,µm,Surface,Position,1,2442,
15.5,µm,Surface,Position,1,2444,
16.0821,µm,Surface,Position,1,2453,
23.3797,µm,Surface,Position,1,2458,
12.7328,µm,Surface,Position,1,2464,
13.412,µm,Surface,Position,1,2469,
16.3723,µm,Surface,Position,1,2476,
13.1385,µm,Surface,Position,1,2484,
12.8702,µm,Surface,Position,1,2489,
17.3173,µm,Surface,Position,1,2494,
22.8269,µm,Surface,Position,1,2495,
17.1269,µm,Surface,Position,1,2496,
24.7196,µm,Surface,Position,1,2497,
22.5872,µm,Surface,Position,1,2498,
25.4123,µm,Surface,Position,1,2499,
