
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,ID,
1,,Surface,1,384,
1,,Surface,1,388,
1,,Surface,1,389,
1,,Surface,1,390,
1,,Surface,1,401,
1,,Surface,1,406,
1,,Surface,1,409,
1,,Surface,1,410,
1,,Surface,1,411,
1,,Surface,1,412,
1,,Surface,1,418,
1,,Surface,1,424,
1,,Surface,1,426,
1,,Surface,1,433,
1,,Surface,1,439,
1,,Surface,1,449,
1,,Surface,1,452,
1,,Surface,1,453,
1,,Surface,1,456,
1,,Surface,1,457,
1,,Surface,1,458,
1,,Surface,1,459,
1,,Surface,1,465,
1,,Surface,1,466,
1,,Surface,1,470,
1,,Surface,1,474,
1,,Surface,1,479,
1,,Surface,1,481,
1,,Surface,1,482,
1,,Surface,1,485,
1,,Surface,1,489,
1,,Surface,1,492,
1,,Surface,1,497,
1,,Surface,1,498,
1,,Surface,1,503,
1,,Surface,1,504,
1,,Surface,1,505,
1,,Surface,1,507,
1,,Surface,1,508,
1,,Surface,1,524,
1,,Surface,1,530,
1,,Surface,1,532,
1,,Surface,1,533,
1,,Surface,1,537,
1,,Surface,1,540,
1,,Surface,1,541,
1,,Surface,1,542,
1,,Surface,1,544,
1,,Surface,1,547,
1,,Surface,1,549,
1,,Surface,1,550,
1,,Surface,1,551,
1,,Surface,1,558,
1,,Surface,1,561,
1,,Surface,1,571,
1,,Surface,1,572,
1,,Surface,1,573,
1,,Surface,1,576,
1,,Surface,1,581,
1,,Surface,1,588,
1,,Surface,1,589,
1,,Surface,1,592,
1,,Surface,1,599,
1,,Surface,1,601,
1,,Surface,1,604,
1,,Surface,1,606,
1,,Surface,1,607,
1,,Surface,1,611,
1,,Surface,1,614,
1,,Surface,1,615,
1,,Surface,1,616,
1,,Surface,1,617,
1,,Surface,1,619,
1,,Surface,1,627,
1,,Surface,1,631,
1,,Surface,1,632,
1,,Surface,1,639,
1,,Surface,1,644,
1,,Surface,1,652,
1,,Surface,1,655,
1,,Surface,1,657,
1,,Surface,1,658,
1,,Surface,1,665,
1,,Surface,1,682,
1,,Surface,1,687,
1,,Surface,1,693,
1,,Surface,1,699,
1,,Surface,1,700,
1,,Surface,1,708,
1,,Surface,1,710,
1,,Surface,1,725,
1,,Surface,1,728,
1,,Surface,1,729,
1,,Surface,1,730,
1,,Surface,1,731,
1,,Surface,1,733,
1,,Surface,1,735,
1,,Surface,1,736,
1,,Surface,1,742,
1,,Surface,1,748,
1,,Surface,1,750,
1,,Surface,1,753,
1,,Surface,1,756,
1,,Surface,1,760,
1,,Surface,1,764,
1,,Surface,1,766,
1,,Surface,1,771,
1,,Surface,1,772,
1,,Surface,1,782,
1,,Surface,1,783,
1,,Surface,1,784,
1,,Surface,1,793,
1,,Surface,1,794,
1,,Surface,1,800,
1,,Surface,1,802,
1,,Surface,1,805,
1,,Surface,1,810,
1,,Surface,1,817,
1,,Surface,1,821,
1,,Surface,1,822,
1,,Surface,1,827,
1,,Surface,1,831,
1,,Surface,1,834,
1,,Surface,1,839,
1,,Surface,1,850,
1,,Surface,1,855,
1,,Surface,1,868,
1,,Surface,1,874,
1,,Surface,1,875,
1,,Surface,1,882,
1,,Surface,1,883,
1,,Surface,1,885,
1,,Surface,1,891,
1,,Surface,1,892,
1,,Surface,1,895,
1,,Surface,1,896,
1,,Surface,1,897,
1,,Surface,1,901,
1,,Surface,1,905,
1,,Surface,1,911,
1,,Surface,1,912,
1,,Surface,1,924,
1,,Surface,1,925,
1,,Surface,1,926,
1,,Surface,1,935,
1,,Surface,1,936,
1,,Surface,1,946,
1,,Surface,1,950,
1,,Surface,1,955,
1,,Surface,1,957,
1,,Surface,1,962,
1,,Surface,1,966,
1,,Surface,1,977,
1,,Surface,1,979,
1,,Surface,1,986,
1,,Surface,1,991,
1,,Surface,1,993,
1,,Surface,1,1011,
1,,Surface,1,1013,
1,,Surface,1,1016,
1,,Surface,1,1017,
1,,Surface,1,1023,
1,,Surface,1,1024,
1,,Surface,1,1030,
1,,Surface,1,1033,
1,,Surface,1,1041,
1,,Surface,1,1043,
1,,Surface,1,1046,
1,,Surface,1,1048,
1,,Surface,1,1049,
1,,Surface,1,1051,
1,,Surface,1,1052,
1,,Surface,1,1053,
1,,Surface,1,1055,
1,,Surface,1,1056,
1,,Surface,1,1062,
1,,Surface,1,1065,
1,,Surface,1,1066,
1,,Surface,1,1070,
1,,Surface,1,1071,
1,,Surface,1,1074,
1,,Surface,1,1078,
1,,Surface,1,1087,
1,,Surface,1,1090,
1,,Surface,1,1093,
1,,Surface,1,1094,
1,,Surface,1,1095,
1,,Surface,1,1096,
1,,Surface,1,1101,
1,,Surface,1,1102,
1,,Surface,1,1104,
1,,Surface,1,1105,
1,,Surface,1,1106,
1,,Surface,1,1108,
1,,Surface,1,1109,
1,,Surface,1,1112,
1,,Surface,1,1118,
1,,Surface,1,1121,
1,,Surface,1,1131,
1,,Surface,1,1134,
1,,Surface,1,1137,
1,,Surface,1,1144,
1,,Surface,1,1145,
1,,Surface,1,1148,
1,,Surface,1,1163,
1,,Surface,1,1166,
1,,Surface,1,1169,
1,,Surface,1,1171,
1,,Surface,1,1173,
1,,Surface,1,1177,
1,,Surface,1,1184,
1,,Surface,1,1189,
1,,Surface,1,1191,
1,,Surface,1,1193,
1,,Surface,1,1198,
1,,Surface,1,1200,
1,,Surface,1,1202,
1,,Surface,1,1203,
1,,Surface,1,1212,
1,,Surface,1,1217,
1,,Surface,1,1223,
1,,Surface,1,1224,
1,,Surface,1,1226,
1,,Surface,1,1231,
1,,Surface,1,1236,
1,,Surface,1,1237,
1,,Surface,1,1240,
1,,Surface,1,1241,
1,,Surface,1,1242,
1,,Surface,1,1247,
