
Intensity Median Ch=13 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
0.25,,Surface,13,Image 1,1,1392,
124.5,,Surface,13,Image 1,1,1395,
0.5,,Surface,13,Image 1,1,1399,
726,,Surface,13,Image 1,1,1400,
0.25,,Surface,13,Image 1,1,1401,
17.75,,Surface,13,Image 1,1,1406,
0.25,,Surface,13,Image 1,1,1408,
25.25,,Surface,13,Image 1,1,1410,
0.25,,Surface,13,Image 1,1,1411,
0.25,,Surface,13,Image 1,1,1422,
0.25,,Surface,13,Image 1,1,1428,
22.75,,Surface,13,Image 1,1,1429,
0.25,,Surface,13,Image 1,1,1441,
0.25,,Surface,13,Image 1,1,1464,
0.25,,Surface,13,Image 1,1,1467,
0.25,,Surface,13,Image 1,1,1470,
27.25,,Surface,13,Image 1,1,1475,
43.5,,Surface,13,Image 1,1,1488,
0.03125,,Surface,13,Image 1,1,1494,
104.5,,Surface,13,Image 1,1,1501,
73.25,,Surface,13,Image 1,1,1502,
0.125,,Surface,13,Image 1,1,1503,
0.25,,Surface,13,Image 1,1,1504,
39.5,,Surface,13,Image 1,1,1508,
0.25,,Surface,13,Image 1,1,1510,
91.5,,Surface,13,Image 1,1,1512,
105.5,,Surface,13,Image 1,1,1515,
2.25,,Surface,13,Image 1,1,1516,
0.25,,Surface,13,Image 1,1,1517,
100.5,,Surface,13,Image 1,1,1518,
181.5,,Surface,13,Image 1,1,1521,
0.125,,Surface,13,Image 1,1,1525,
127.5,,Surface,13,Image 1,1,1527,
132.25,,Surface,13,Image 1,1,1528,
18.75,,Surface,13,Image 1,1,1529,
57.5,,Surface,13,Image 1,1,1534,
0.25,,Surface,13,Image 1,1,1535,
167.5,,Surface,13,Image 1,1,1537,
0.0625,,Surface,13,Image 1,1,1540,
33.25,,Surface,13,Image 1,1,1542,
309.5,,Surface,13,Image 1,1,1545,
84.5,,Surface,13,Image 1,1,1546,
0.125,,Surface,13,Image 1,1,1547,
1.25,,Surface,13,Image 1,1,1549,
217.25,,Surface,13,Image 1,1,1554,
106.25,,Surface,13,Image 1,1,1555,
57.25,,Surface,13,Image 1,1,1556,
0.25,,Surface,13,Image 1,1,1565,
221.5,,Surface,13,Image 1,1,1566,
106.5,,Surface,13,Image 1,1,1569,
183.25,,Surface,13,Image 1,1,1574,
77.5,,Surface,13,Image 1,1,1575,
45.75,,Surface,13,Image 1,1,1577,
0.125,,Surface,13,Image 1,1,1578,
0.25,,Surface,13,Image 1,1,1579,
175.5,,Surface,13,Image 1,1,1580,
0.25,,Surface,13,Image 1,1,1584,
0.25,,Surface,13,Image 1,1,1597,
0.25,,Surface,13,Image 1,1,1599,
0.5,,Surface,13,Image 1,1,1602,
75.5,,Surface,13,Image 1,1,1607,
126.25,,Surface,13,Image 1,1,1609,
158.5,,Surface,13,Image 1,1,1610,
0.25,,Surface,13,Image 1,1,1619,
0.25,,Surface,13,Image 1,1,1621,
0.25,,Surface,13,Image 1,1,1632,
27.625,,Surface,13,Image 1,1,1635,
0.5,,Surface,13,Image 1,1,1647,
0.25,,Surface,13,Image 1,1,1656,
0.5,,Surface,13,Image 1,1,1657,
0.125,,Surface,13,Image 1,1,1659,
0.25,,Surface,13,Image 1,1,1662,
26.25,,Surface,13,Image 1,1,1663,
31.5,,Surface,13,Image 1,1,1664,
217.5,,Surface,13,Image 1,1,1667,
0.5,,Surface,13,Image 1,1,1668,
79.5,,Surface,13,Image 1,1,1676,
0.125,,Surface,13,Image 1,1,1677,
209.75,,Surface,13,Image 1,1,1679,
1,,Surface,13,Image 1,1,1680,
0.25,,Surface,13,Image 1,1,1686,
18.5,,Surface,13,Image 1,1,1689,
0.25,,Surface,13,Image 1,1,1692,
0.25,,Surface,13,Image 1,1,1715,
74.5,,Surface,13,Image 1,1,1716,
446,,Surface,13,Image 1,1,1718,
0.25,,Surface,13,Image 1,1,1722,
0.25,,Surface,13,Image 1,1,1739,
0.25,,Surface,13,Image 1,1,1742,
0.5,,Surface,13,Image 1,1,1743,
17.25,,Surface,13,Image 1,1,1752,
190.5,,Surface,13,Image 1,1,1754,
0.25,,Surface,13,Image 1,1,1757,
0.25,,Surface,13,Image 1,1,1759,
101,,Surface,13,Image 1,1,1761,
0.25,,Surface,13,Image 1,1,1762,
36.25,,Surface,13,Image 1,1,1763,
150.25,,Surface,13,Image 1,1,1779,
47.25,,Surface,13,Image 1,1,1784,
117,,Surface,13,Image 1,1,1786,
0.5,,Surface,13,Image 1,1,1791,
141.5,,Surface,13,Image 1,1,1792,
0.125,,Surface,13,Image 1,1,1794,
0.25,,Surface,13,Image 1,1,1802,
0.25,,Surface,13,Image 1,1,1808,
87.5,,Surface,13,Image 1,1,1812,
0.5,,Surface,13,Image 1,1,1815,
0.25,,Surface,13,Image 1,1,1816,
0.25,,Surface,13,Image 1,1,1820,
150.5,,Surface,13,Image 1,1,1832,
52.25,,Surface,13,Image 1,1,1835,
0.5,,Surface,13,Image 1,1,1845,
76.5,,Surface,13,Image 1,1,1846,
12.75,,Surface,13,Image 1,1,1848,
22.5,,Surface,13,Image 1,1,1856,
733,,Surface,13,Image 1,1,1860,
0.125,,Surface,13,Image 1,1,1866,
0.125,,Surface,13,Image 1,1,1867,
102,,Surface,13,Image 1,1,1868,
0.125,,Surface,13,Image 1,1,1871,
4.75,,Surface,13,Image 1,1,1872,
114.5,,Surface,13,Image 1,1,1875,
2,,Surface,13,Image 1,1,1878,
0.25,,Surface,13,Image 1,1,1879,
0.5,,Surface,13,Image 1,1,1882,
0.5,,Surface,13,Image 1,1,1885,
0.0625,,Surface,13,Image 1,1,1886,
132.5,,Surface,13,Image 1,1,1887,
0.5,,Surface,13,Image 1,1,1890,
0.25,,Surface,13,Image 1,1,1891,
0.25,,Surface,13,Image 1,1,1892,
166.5,,Surface,13,Image 1,1,1897,
0.25,,Surface,13,Image 1,1,1901,
64.25,,Surface,13,Image 1,1,1904,
90.25,,Surface,13,Image 1,1,1906,
48.5,,Surface,13,Image 1,1,1907,
0.25,,Surface,13,Image 1,1,1917,
1585,,Surface,13,Image 1,1,1920,
278,,Surface,13,Image 1,1,1922,
0.25,,Surface,13,Image 1,1,1936,
91.5,,Surface,13,Image 1,1,1939,
0.5,,Surface,13,Image 1,1,1941,
6.5,,Surface,13,Image 1,1,1943,
106.25,,Surface,13,Image 1,1,1948,
180.5,,Surface,13,Image 1,1,1949,
109.5,,Surface,13,Image 1,1,1952,
0.25,,Surface,13,Image 1,1,1955,
0.25,,Surface,13,Image 1,1,1956,
0.5,,Surface,13,Image 1,1,1966,
0,,Surface,13,Image 1,1,1969,
0.25,,Surface,13,Image 1,1,1970,
178.5,,Surface,13,Image 1,1,1974,
0.25,,Surface,13,Image 1,1,1977,
34.25,,Surface,13,Image 1,1,1988,
105,,Surface,13,Image 1,1,1990,
119.5,,Surface,13,Image 1,1,1992,
84,,Surface,13,Image 1,1,1993,
74,,Surface,13,Image 1,1,1997,
0.25,,Surface,13,Image 1,1,2001,
0.25,,Surface,13,Image 1,1,2006,
0.25,,Surface,13,Image 1,1,2010,
0.25,,Surface,13,Image 1,1,2013,
127.25,,Surface,13,Image 1,1,2016,
23.5,,Surface,13,Image 1,1,2020,
116.75,,Surface,13,Image 1,1,2021,
0.25,,Surface,13,Image 1,1,2023,
163.5,,Surface,13,Image 1,1,2025,
211.5,,Surface,13,Image 1,1,2026,
8.5,,Surface,13,Image 1,1,2030,
91.25,,Surface,13,Image 1,1,2031,
0.125,,Surface,13,Image 1,1,2035,
0.25,,Surface,13,Image 1,1,2040,
0.25,,Surface,13,Image 1,1,2050,
0.5,,Surface,13,Image 1,1,2051,
77.25,,Surface,13,Image 1,1,2052,
0.5,,Surface,13,Image 1,1,2054,
0.25,,Surface,13,Image 1,1,2055,
71.25,,Surface,13,Image 1,1,2058,
60.75,,Surface,13,Image 1,1,2061,
0.25,,Surface,13,Image 1,1,2064,
123.75,,Surface,13,Image 1,1,2065,
145.5,,Surface,13,Image 1,1,2068,
115.5,,Surface,13,Image 1,1,2070,
0.25,,Surface,13,Image 1,1,2074,
0.25,,Surface,13,Image 1,1,2076,
80.75,,Surface,13,Image 1,1,2079,
14.5,,Surface,13,Image 1,1,2090,
143.75,,Surface,13,Image 1,1,2092,
110.5,,Surface,13,Image 1,1,2094,
0.25,,Surface,13,Image 1,1,2096,
610,,Surface,13,Image 1,1,2097,
188.75,,Surface,13,Image 1,1,2099,
0.5,,Surface,13,Image 1,1,2101,
0.25,,Surface,13,Image 1,1,2103,
0.125,,Surface,13,Image 1,1,2106,
0.25,,Surface,13,Image 1,1,2108,
0.25,,Surface,13,Image 1,1,2113,
0.25,,Surface,13,Image 1,1,2114,
0.5,,Surface,13,Image 1,1,2115,
0.25,,Surface,13,Image 1,1,2133,
0.5,,Surface,13,Image 1,1,2138,
0.25,,Surface,13,Image 1,1,2147,
8.25,,Surface,13,Image 1,1,2150,
84.25,,Surface,13,Image 1,1,2156,
0.25,,Surface,13,Image 1,1,2158,
1.25,,Surface,13,Image 1,1,2159,
0.0625,,Surface,13,Image 1,1,2160,
0.25,,Surface,13,Image 1,1,2161,
0.25,,Surface,13,Image 1,1,2164,
0.125,,Surface,13,Image 1,1,2166,
77.5,,Surface,13,Image 1,1,2168,
0.25,,Surface,13,Image 1,1,2170,
55.5,,Surface,13,Image 1,1,2171,
0.25,,Surface,13,Image 1,1,2173,
0.25,,Surface,13,Image 1,1,2174,
0.25,,Surface,13,Image 1,1,2176,
0.5,,Surface,13,Image 1,1,2181,
27.25,,Surface,13,Image 1,1,2187,
0.125,,Surface,13,Image 1,1,2189,
0.25,,Surface,13,Image 1,1,2193,
0.25,,Surface,13,Image 1,1,2204,
910,,Surface,13,Image 1,1,2210,
0.5,,Surface,13,Image 1,1,2214,
70.25,,Surface,13,Image 1,1,2216,
0.25,,Surface,13,Image 1,1,2225,
0.25,,Surface,13,Image 1,1,2234,
131,,Surface,13,Image 1,1,2235,
102.5,,Surface,13,Image 1,1,2257,
96.5,,Surface,13,Image 1,1,2258,
0.25,,Surface,13,Image 1,1,2259,
0.125,,Surface,13,Image 1,1,2260,
26.5,,Surface,13,Image 1,1,2263,
0.25,,Surface,13,Image 1,1,2264,
0.125,,Surface,13,Image 1,1,2265,
0.25,,Surface,13,Image 1,1,2266,
0,,Surface,13,Image 1,1,2275,
0.5,,Surface,13,Image 1,1,2276,
16.25,,Surface,13,Image 1,1,2284,
0.5,,Surface,13,Image 1,1,2294,
103.5,,Surface,13,Image 1,1,2299,
0.125,,Surface,13,Image 1,1,2307,
27.25,,Surface,13,Image 1,1,2310,
135.25,,Surface,13,Image 1,1,2314,
123.25,,Surface,13,Image 1,1,2317,
0.5,,Surface,13,Image 1,1,2318,
0,,Surface,13,Image 1,1,2319,
0.25,,Surface,13,Image 1,1,2320,
74.25,,Surface,13,Image 1,1,2331,
7.5,,Surface,13,Image 1,1,2332,
5.25,,Surface,13,Image 1,1,2337,
0.25,,Surface,13,Image 1,1,2339,
0.25,,Surface,13,Image 1,1,2354,
0.25,,Surface,13,Image 1,1,2368,
0.125,,Surface,13,Image 1,1,2369,
38,,Surface,13,Image 1,1,2375,
0.5,,Surface,13,Image 1,1,2380,
0.5,,Surface,13,Image 1,1,2398,
105.5,,Surface,13,Image 1,1,2403,
77.25,,Surface,13,Image 1,1,2405,
217.5,,Surface,13,Image 1,1,2409,
65.25,,Surface,13,Image 1,1,2420,
0.125,,Surface,13,Image 1,1,2422,
0.5,,Surface,13,Image 1,1,2426,
171.5,,Surface,13,Image 1,1,2428,
0.25,,Surface,13,Image 1,1,2434,
50.25,,Surface,13,Image 1,1,2438,
46.25,,Surface,13,Image 1,1,2439,
11.75,,Surface,13,Image 1,1,2440,
16.5,,Surface,13,Image 1,1,2441,
50.25,,Surface,13,Image 1,1,2442,
0.25,,Surface,13,Image 1,1,2444,
54.5,,Surface,13,Image 1,1,2453,
0.125,,Surface,13,Image 1,1,2458,
0.25,,Surface,13,Image 1,1,2464,
