
Intensity Sum of Square Ch=21 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
8.08721e+08,,Surface,21,Image 1,1,687,
4.41094e+07,,Surface,21,Image 1,1,693,
2.33736e+06,,Surface,21,Image 1,1,699,
1.5516e+07,,Surface,21,Image 1,1,700,
2.75366e+07,,Surface,21,Image 1,1,708,
1.00285e+07,,Surface,21,Image 1,1,710,
2.31182e+07,,Surface,21,Image 1,1,725,
5.93607e+07,,Surface,21,Image 1,1,728,
2.32482e+08,,Surface,21,Image 1,1,729,
5.66614e+07,,Surface,21,Image 1,1,730,
2.69688e+07,,Surface,21,Image 1,1,731,
3.61474e+07,,Surface,21,Image 1,1,733,
1.33796e+08,,Surface,21,Image 1,1,735,
3.1447e+07,,Surface,21,Image 1,1,736,
9.72004e+07,,Surface,21,Image 1,1,742,
4.46837e+07,,Surface,21,Image 1,1,748,
6.7311e+07,,Surface,21,Image 1,1,750,
2.17539e+07,,Surface,21,Image 1,1,753,
6.75838e+07,,Surface,21,Image 1,1,756,
1.01906e+06,,Surface,21,Image 1,1,760,
2.5771e+07,,Surface,21,Image 1,1,764,
7.54811e+07,,Surface,21,Image 1,1,766,
2.29599e+07,,Surface,21,Image 1,1,771,
1.52578e+10,,Surface,21,Image 1,1,772,
2.18942e+07,,Surface,21,Image 1,1,782,
1.53742e+07,,Surface,21,Image 1,1,783,
6.41684e+07,,Surface,21,Image 1,1,784,
7.62127e+07,,Surface,21,Image 1,1,793,
7.03956e+07,,Surface,21,Image 1,1,794,
8.12969e+06,,Surface,21,Image 1,1,800,
2.98095e+07,,Surface,21,Image 1,1,802,
3.02954e+08,,Surface,21,Image 1,1,805,
718308,,Surface,21,Image 1,1,810,
3.42159e+07,,Surface,21,Image 1,1,817,
4.81114e+07,,Surface,21,Image 1,1,821,
3.30741e+08,,Surface,21,Image 1,1,822,
1.01831e+07,,Surface,21,Image 1,1,827,
5.98439e+08,,Surface,21,Image 1,1,831,
2.10065e+06,,Surface,21,Image 1,1,834,
1.16347e+08,,Surface,21,Image 1,1,839,
4.05318e+06,,Surface,21,Image 1,1,850,
3.46956e+07,,Surface,21,Image 1,1,855,
4.84028e+07,,Surface,21,Image 1,1,868,
1.01924e+07,,Surface,21,Image 1,1,874,
2.52274e+07,,Surface,21,Image 1,1,875,
2.89476e+08,,Surface,21,Image 1,1,882,
4.04898e+06,,Surface,21,Image 1,1,883,
2.46102e+06,,Surface,21,Image 1,1,885,
2.22177e+06,,Surface,21,Image 1,1,891,
2.54187e+07,,Surface,21,Image 1,1,892,
5.44e+07,,Surface,21,Image 1,1,895,
5.08272e+07,,Surface,21,Image 1,1,896,
2.90514e+08,,Surface,21,Image 1,1,897,
1.43129e+08,,Surface,21,Image 1,1,901,
2.10951e+07,,Surface,21,Image 1,1,905,
9.7315e+06,,Surface,21,Image 1,1,911,
1.56329e+07,,Surface,21,Image 1,1,912,
1.02255e+08,,Surface,21,Image 1,1,924,
1.31879e+08,,Surface,21,Image 1,1,925,
1.1245e+07,,Surface,21,Image 1,1,926,
7.56959e+06,,Surface,21,Image 1,1,935,
8.69272e+06,,Surface,21,Image 1,1,936,
3.33794e+08,,Surface,21,Image 1,1,946,
1.10636e+07,,Surface,21,Image 1,1,950,
3.75061e+06,,Surface,21,Image 1,1,955,
1.35769e+08,,Surface,21,Image 1,1,957,
1.68145e+07,,Surface,21,Image 1,1,962,
8.20516e+06,,Surface,21,Image 1,1,966,
1.06885e+08,,Surface,21,Image 1,1,977,
6.56564e+06,,Surface,21,Image 1,1,979,
4.98703e+08,,Surface,21,Image 1,1,986,
2.32032e+07,,Surface,21,Image 1,1,991,
5.10799e+08,,Surface,21,Image 1,1,993,
4.86373e+07,,Surface,21,Image 1,1,1011,
3.13696e+07,,Surface,21,Image 1,1,1013,
6.48814e+06,,Surface,21,Image 1,1,1016,
4.77183e+06,,Surface,21,Image 1,1,1017,
1.26785e+06,,Surface,21,Image 1,1,1023,
1.42988e+08,,Surface,21,Image 1,1,1024,
4.21728e+07,,Surface,21,Image 1,1,1030,
2.08564e+08,,Surface,21,Image 1,1,1033,
1.21515e+07,,Surface,21,Image 1,1,1041,
1.01851e+07,,Surface,21,Image 1,1,1043,
3.44753e+06,,Surface,21,Image 1,1,1046,
2.9193e+07,,Surface,21,Image 1,1,1048,
1.45348e+08,,Surface,21,Image 1,1,1049,
1.30839e+07,,Surface,21,Image 1,1,1051,
9.78308e+06,,Surface,21,Image 1,1,1052,
6.19471e+07,,Surface,21,Image 1,1,1053,
2.91154e+07,,Surface,21,Image 1,1,1055,
1.34731e+07,,Surface,21,Image 1,1,1056,
6.54084e+06,,Surface,21,Image 1,1,1062,
4.9896e+08,,Surface,21,Image 1,1,1065,
3.08367e+07,,Surface,21,Image 1,1,1066,
2.83468e+07,,Surface,21,Image 1,1,1070,
1.42817e+08,,Surface,21,Image 1,1,1071,
2.40751e+08,,Surface,21,Image 1,1,1074,
3.87488e+06,,Surface,21,Image 1,1,1078,
1.02018e+08,,Surface,21,Image 1,1,1087,
6.20965e+08,,Surface,21,Image 1,1,1090,
2.72286e+08,,Surface,21,Image 1,1,1093,
1.75035e+08,,Surface,21,Image 1,1,1094,
1.506e+07,,Surface,21,Image 1,1,1095,
4.18226e+07,,Surface,21,Image 1,1,1096,
1.24849e+08,,Surface,21,Image 1,1,1101,
2.09458e+07,,Surface,21,Image 1,1,1102,
2.31941e+07,,Surface,21,Image 1,1,1104,
9.98905e+06,,Surface,21,Image 1,1,1105,
852889,,Surface,21,Image 1,1,1106,
5.21037e+08,,Surface,21,Image 1,1,1108,
1.62373e+07,,Surface,21,Image 1,1,1109,
5.99646e+06,,Surface,21,Image 1,1,1112,
1.44877e+08,,Surface,21,Image 1,1,1118,
1.71185e+10,,Surface,21,Image 1,1,1121,
2.60025e+07,,Surface,21,Image 1,1,1131,
1.20209e+08,,Surface,21,Image 1,1,1134,
7.71652e+06,,Surface,21,Image 1,1,1137,
5.82171e+08,,Surface,21,Image 1,1,1144,
1.49489e+08,,Surface,21,Image 1,1,1145,
7.56607e+07,,Surface,21,Image 1,1,1148,
916215,,Surface,21,Image 1,1,1163,
1.61129e+07,,Surface,21,Image 1,1,1166,
9.73054e+06,,Surface,21,Image 1,1,1169,
3.58416e+09,,Surface,21,Image 1,1,1171,
1.64505e+06,,Surface,21,Image 1,1,1173,
3.08528e+06,,Surface,21,Image 1,1,1177,
3.92779e+07,,Surface,21,Image 1,1,1184,
9.07983e+08,,Surface,21,Image 1,1,1189,
1.69421e+07,,Surface,21,Image 1,1,1191,
7.72966e+08,,Surface,21,Image 1,1,1193,
1.00223e+08,,Surface,21,Image 1,1,1198,
2.15094e+07,,Surface,21,Image 1,1,1200,
9.11046e+07,,Surface,21,Image 1,1,1202,
1.969e+10,,Surface,21,Image 1,1,1203,
6.35295e+07,,Surface,21,Image 1,1,1212,
2.88525e+07,,Surface,21,Image 1,1,1217,
8.23071e+06,,Surface,21,Image 1,1,1223,
1.73997e+09,,Surface,21,Image 1,1,1224,
4.33541e+08,,Surface,21,Image 1,1,1226,
4.79246e+08,,Surface,21,Image 1,1,1231,
8.16464e+07,,Surface,21,Image 1,1,1236,
3.98825e+07,,Surface,21,Image 1,1,1237,
4.61052e+08,,Surface,21,Image 1,1,1240,
6.80021e+08,,Surface,21,Image 1,1,1241,
3.72704e+06,,Surface,21,Image 1,1,1242,
1.98965e+07,,Surface,21,Image 1,1,1247,
