
Intensity Min Ch=22 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,22,Image 1,1,1024,
0,,Surface,22,Image 1,1,1030,
0,,Surface,22,Image 1,1,1033,
1400,,Surface,22,Image 1,1,1041,
0,,Surface,22,Image 1,1,1043,
0,,Surface,22,Image 1,1,1046,
0,,Surface,22,Image 1,1,1048,
0,,Surface,22,Image 1,1,1049,
0,,Surface,22,Image 1,1,1051,
0,,Surface,22,Image 1,1,1052,
0,,Surface,22,Image 1,1,1053,
0,,Surface,22,Image 1,1,1055,
0,,Surface,22,Image 1,1,1056,
237,,Surface,22,Image 1,1,1062,
0,,Surface,22,Image 1,1,1065,
0,,Surface,22,Image 1,1,1066,
932,,Surface,22,Image 1,1,1070,
20,,Surface,22,Image 1,1,1071,
0,,Surface,22,Image 1,1,1074,
2876,,Surface,22,Image 1,1,1078,
0,,Surface,22,Image 1,1,1087,
0,,Surface,22,Image 1,1,1090,
0,,Surface,22,Image 1,1,1093,
0,,Surface,22,Image 1,1,1094,
355,,Surface,22,Image 1,1,1095,
81,,Surface,22,Image 1,1,1096,
66,,Surface,22,Image 1,1,1101,
742,,Surface,22,Image 1,1,1102,
355,,Surface,22,Image 1,1,1104,
913,,Surface,22,Image 1,1,1105,
0,,Surface,22,Image 1,1,1106,
0,,Surface,22,Image 1,1,1108,
0,,Surface,22,Image 1,1,1109,
76,,Surface,22,Image 1,1,1112,
0,,Surface,22,Image 1,1,1118,
0,,Surface,22,Image 1,1,1121,
151,,Surface,22,Image 1,1,1131,
346,,Surface,22,Image 1,1,1134,
0,,Surface,22,Image 1,1,1137,
0,,Surface,22,Image 1,1,1144,
0,,Surface,22,Image 1,1,1145,
0,,Surface,22,Image 1,1,1148,
0,,Surface,22,Image 1,1,1163,
0,,Surface,22,Image 1,1,1166,
0,,Surface,22,Image 1,1,1169,
0,,Surface,22,Image 1,1,1171,
28,,Surface,22,Image 1,1,1173,
473,,Surface,22,Image 1,1,1177,
0,,Surface,22,Image 1,1,1184,
0,,Surface,22,Image 1,1,1189,
483,,Surface,22,Image 1,1,1191,
0,,Surface,22,Image 1,1,1193,
1692,,Surface,22,Image 1,1,1198,
0,,Surface,22,Image 1,1,1200,
0,,Surface,22,Image 1,1,1202,
0,,Surface,22,Image 1,1,1203,
0,,Surface,22,Image 1,1,1212,
0,,Surface,22,Image 1,1,1217,
0,,Surface,22,Image 1,1,1223,
0,,Surface,22,Image 1,1,1224,
0,,Surface,22,Image 1,1,1226,
0,,Surface,22,Image 1,1,1231,
0,,Surface,22,Image 1,1,1236,
331,,Surface,22,Image 1,1,1237,
0,,Surface,22,Image 1,1,1240,
0,,Surface,22,Image 1,1,1241,
0,,Surface,22,Image 1,1,1242,
0,,Surface,22,Image 1,1,1247,
0,,Surface,22,Image 1,1,1249,
0,,Surface,22,Image 1,1,1250,
0,,Surface,22,Image 1,1,1251,
0,,Surface,22,Image 1,1,1253,
0,,Surface,22,Image 1,1,1254,
913,,Surface,22,Image 1,1,1256,
347,,Surface,22,Image 1,1,1264,
0,,Surface,22,Image 1,1,1267,
336,,Surface,22,Image 1,1,1275,
0,,Surface,22,Image 1,1,1277,
0,,Surface,22,Image 1,1,1278,
0,,Surface,22,Image 1,1,1280,
670,,Surface,22,Image 1,1,1282,
1758,,Surface,22,Image 1,1,1283,
194,,Surface,22,Image 1,1,1285,
2410,,Surface,22,Image 1,1,1288,
0,,Surface,22,Image 1,1,1292,
1455,,Surface,22,Image 1,1,1297,
199,,Surface,22,Image 1,1,1300,
0,,Surface,22,Image 1,1,1303,
0,,Surface,22,Image 1,1,1306,
0,,Surface,22,Image 1,1,1307,
0,,Surface,22,Image 1,1,1310,
0,,Surface,22,Image 1,1,1312,
32,,Surface,22,Image 1,1,1321,
0,,Surface,22,Image 1,1,1323,
0,,Surface,22,Image 1,1,1332,
0,,Surface,22,Image 1,1,1334,
0,,Surface,22,Image 1,1,1341,
0,,Surface,22,Image 1,1,1348,
4761,,Surface,22,Image 1,1,1350,
823,,Surface,22,Image 1,1,1353,
0,,Surface,22,Image 1,1,1356,
2207,,Surface,22,Image 1,1,1358,
1040,,Surface,22,Image 1,1,1359,
444,,Surface,22,Image 1,1,1360,
0,,Surface,22,Image 1,1,1365,
0,,Surface,22,Image 1,1,1369,
47,,Surface,22,Image 1,1,1371,
0,,Surface,22,Image 1,1,1383,
1127,,Surface,22,Image 1,1,1388,
0,,Surface,22,Image 1,1,1392,
0,,Surface,22,Image 1,1,1395,
645,,Surface,22,Image 1,1,1399,
0,,Surface,22,Image 1,1,1400,
550,,Surface,22,Image 1,1,1401,
211,,Surface,22,Image 1,1,1406,
130,,Surface,22,Image 1,1,1408,
0,,Surface,22,Image 1,1,1410,
153,,Surface,22,Image 1,1,1411,
0,,Surface,22,Image 1,1,1422,
912,,Surface,22,Image 1,1,1428,
1432,,Surface,22,Image 1,1,1429,
348,,Surface,22,Image 1,1,1441,
0,,Surface,22,Image 1,1,1464,
439,,Surface,22,Image 1,1,1467,
0,,Surface,22,Image 1,1,1470,
0,,Surface,22,Image 1,1,1475,
0,,Surface,22,Image 1,1,1488,
0,,Surface,22,Image 1,1,1494,
0,,Surface,22,Image 1,1,1501,
0,,Surface,22,Image 1,1,1502,
0,,Surface,22,Image 1,1,1503,
343,,Surface,22,Image 1,1,1504,
473,,Surface,22,Image 1,1,1508,
29,,Surface,22,Image 1,1,1510,
0,,Surface,22,Image 1,1,1512,
0,,Surface,22,Image 1,1,1515,
1438,,Surface,22,Image 1,1,1516,
3298,,Surface,22,Image 1,1,1517,
0,,Surface,22,Image 1,1,1518,
0,,Surface,22,Image 1,1,1521,
0,,Surface,22,Image 1,1,1525,
