
Intensity Sum Ch=31 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7320,,Surface,31,Image 1,1,1104,
80424,,Surface,31,Image 1,1,1105,
993,,Surface,31,Image 1,1,1106,
4.47102e+06,,Surface,31,Image 1,1,1108,
6964,,Surface,31,Image 1,1,1109,
6088,,Surface,31,Image 1,1,1112,
3.95574e+06,,Surface,31,Image 1,1,1118,
54252,,Surface,31,Image 1,1,1121,
0,,Surface,31,Image 1,1,1131,
81561,,Surface,31,Image 1,1,1134,
3324,,Surface,31,Image 1,1,1137,
9.14075e+06,,Surface,31,Image 1,1,1144,
3.69357e+06,,Surface,31,Image 1,1,1145,
44047,,Surface,31,Image 1,1,1148,
458409,,Surface,31,Image 1,1,1163,
72625,,Surface,31,Image 1,1,1166,
109875,,Surface,31,Image 1,1,1169,
44473,,Surface,31,Image 1,1,1171,
141,,Surface,31,Image 1,1,1173,
1669,,Surface,31,Image 1,1,1177,
1.05864e+06,,Surface,31,Image 1,1,1184,
41558,,Surface,31,Image 1,1,1189,
78411,,Surface,31,Image 1,1,1191,
371909,,Surface,31,Image 1,1,1193,
64900,,Surface,31,Image 1,1,1198,
90947,,Surface,31,Image 1,1,1200,
996544,,Surface,31,Image 1,1,1202,
68886,,Surface,31,Image 1,1,1203,
3.99217e+06,,Surface,31,Image 1,1,1212,
70599,,Surface,31,Image 1,1,1217,
0,,Surface,31,Image 1,1,1223,
29177,,Surface,31,Image 1,1,1224,
3.09888e+06,,Surface,31,Image 1,1,1226,
3.58194e+06,,Surface,31,Image 1,1,1231,
14108,,Surface,31,Image 1,1,1236,
19105,,Surface,31,Image 1,1,1237,
22684,,Surface,31,Image 1,1,1240,
2.43049e+07,,Surface,31,Image 1,1,1241,
701,,Surface,31,Image 1,1,1242,
3,,Surface,31,Image 1,1,1247,
0,,Surface,31,Image 1,1,1249,
173300,,Surface,31,Image 1,1,1250,
142,,Surface,31,Image 1,1,1251,
47365,,Surface,31,Image 1,1,1253,
24463,,Surface,31,Image 1,1,1254,
