
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
96.4796,µm,Surface,Image 1,1,821,
67.5015,µm,Surface,Image 1,1,822,
128.011,µm,Surface,Image 1,1,827,
221.858,µm,Surface,Image 1,1,831,
103.068,µm,Surface,Image 1,1,834,
199.794,µm,Surface,Image 1,1,839,
152.699,µm,Surface,Image 1,1,850,
135.05,µm,Surface,Image 1,1,855,
146.042,µm,Surface,Image 1,1,868,
177.059,µm,Surface,Image 1,1,874,
104.321,µm,Surface,Image 1,1,875,
149.729,µm,Surface,Image 1,1,882,
129.729,µm,Surface,Image 1,1,883,
111.722,µm,Surface,Image 1,1,885,
230.354,µm,Surface,Image 1,1,891,
117.061,µm,Surface,Image 1,1,892,
115.173,µm,Surface,Image 1,1,895,
151.013,µm,Surface,Image 1,1,896,
234.358,µm,Surface,Image 1,1,897,
232.943,µm,Surface,Image 1,1,901,
239.841,µm,Surface,Image 1,1,905,
160.928,µm,Surface,Image 1,1,911,
302.584,µm,Surface,Image 1,1,912,
191.611,µm,Surface,Image 1,1,924,
169.361,µm,Surface,Image 1,1,925,
307.757,µm,Surface,Image 1,1,926,
227.718,µm,Surface,Image 1,1,935,
193.835,µm,Surface,Image 1,1,936,
268.097,µm,Surface,Image 1,1,946,
240.448,µm,Surface,Image 1,1,950,
266.984,µm,Surface,Image 1,1,955,
298.372,µm,Surface,Image 1,1,957,
197.073,µm,Surface,Image 1,1,962,
270.01,µm,Surface,Image 1,1,966,
335.462,µm,Surface,Image 1,1,977,
230.922,µm,Surface,Image 1,1,979,
319.948,µm,Surface,Image 1,1,986,
181.335,µm,Surface,Image 1,1,991,
212.847,µm,Surface,Image 1,1,993,
277.714,µm,Surface,Image 1,1,1011,
223.551,µm,Surface,Image 1,1,1013,
243.461,µm,Surface,Image 1,1,1016,
242.521,µm,Surface,Image 1,1,1017,
246.271,µm,Surface,Image 1,1,1023,
244.055,µm,Surface,Image 1,1,1024,
229.414,µm,Surface,Image 1,1,1030,
249.493,µm,Surface,Image 1,1,1033,
185.869,µm,Surface,Image 1,1,1041,
219.859,µm,Surface,Image 1,1,1043,
214.924,µm,Surface,Image 1,1,1046,
197.904,µm,Surface,Image 1,1,1048,
198.548,µm,Surface,Image 1,1,1049,
203.135,µm,Surface,Image 1,1,1051,
184.869,µm,Surface,Image 1,1,1052,
185.485,µm,Surface,Image 1,1,1053,
194.438,µm,Surface,Image 1,1,1055,
186.707,µm,Surface,Image 1,1,1056,
231.925,µm,Surface,Image 1,1,1062,
276.298,µm,Surface,Image 1,1,1065,
233.887,µm,Surface,Image 1,1,1066,
279.295,µm,Surface,Image 1,1,1070,
303.844,µm,Surface,Image 1,1,1071,
229.737,µm,Surface,Image 1,1,1074,
290.881,µm,Surface,Image 1,1,1078,
188.872,µm,Surface,Image 1,1,1087,
226.889,µm,Surface,Image 1,1,1090,
181.363,µm,Surface,Image 1,1,1093,
237.189,µm,Surface,Image 1,1,1094,
207.625,µm,Surface,Image 1,1,1095,
221.483,µm,Surface,Image 1,1,1096,
223.289,µm,Surface,Image 1,1,1101,
273.812,µm,Surface,Image 1,1,1102,
249.925,µm,Surface,Image 1,1,1104,
350.964,µm,Surface,Image 1,1,1105,
239.003,µm,Surface,Image 1,1,1106,
229.959,µm,Surface,Image 1,1,1108,
240.112,µm,Surface,Image 1,1,1109,
241.852,µm,Surface,Image 1,1,1112,
234.308,µm,Surface,Image 1,1,1118,
343.053,µm,Surface,Image 1,1,1121,
294.706,µm,Surface,Image 1,1,1131,
165.408,µm,Surface,Image 1,1,1134,
257.995,µm,Surface,Image 1,1,1137,
300.782,µm,Surface,Image 1,1,1144,
321.897,µm,Surface,Image 1,1,1145,
230.651,µm,Surface,Image 1,1,1148,
286.514,µm,Surface,Image 1,1,1163,
286.023,µm,Surface,Image 1,1,1166,
206.555,µm,Surface,Image 1,1,1169,
286.352,µm,Surface,Image 1,1,1171,
200.314,µm,Surface,Image 1,1,1173,
286.561,µm,Surface,Image 1,1,1177,
258.32,µm,Surface,Image 1,1,1184,
221.329,µm,Surface,Image 1,1,1189,
277.828,µm,Surface,Image 1,1,1191,
227.656,µm,Surface,Image 1,1,1193,
253.943,µm,Surface,Image 1,1,1198,
219.995,µm,Surface,Image 1,1,1200,
214.829,µm,Surface,Image 1,1,1202,
206.003,µm,Surface,Image 1,1,1203,
144.818,µm,Surface,Image 1,1,1212,
61.4631,µm,Surface,Image 1,1,1217,
98.6624,µm,Surface,Image 1,1,1223,
179.896,µm,Surface,Image 1,1,1224,
168.138,µm,Surface,Image 1,1,1226,
142.215,µm,Surface,Image 1,1,1231,
115.171,µm,Surface,Image 1,1,1236,
50.2656,µm,Surface,Image 1,1,1237,
194.217,µm,Surface,Image 1,1,1240,
158.924,µm,Surface,Image 1,1,1241,
59.8327,µm,Surface,Image 1,1,1242,
48.9923,µm,Surface,Image 1,1,1247,
52.612,µm,Surface,Image 1,1,1249,
76.1841,µm,Surface,Image 1,1,1250,
54.3903,µm,Surface,Image 1,1,1251,
62.2205,µm,Surface,Image 1,1,1253,
55.3957,µm,Surface,Image 1,1,1254,
137.648,µm,Surface,Image 1,1,1256,
143.099,µm,Surface,Image 1,1,1264,
98.3164,µm,Surface,Image 1,1,1267,
144.178,µm,Surface,Image 1,1,1275,
5.27357,µm,Surface,Image 1,1,1277,
6.74622,µm,Surface,Image 1,1,1278,
34.001,µm,Surface,Image 1,1,1280,
70.7545,µm,Surface,Image 1,1,1282,
71.8181,µm,Surface,Image 1,1,1283,
9.82163,µm,Surface,Image 1,1,1285,
119.14,µm,Surface,Image 1,1,1288,
41.4389,µm,Surface,Image 1,1,1292,
84.0484,µm,Surface,Image 1,1,1297,
55.4463,µm,Surface,Image 1,1,1300,
18.9632,µm,Surface,Image 1,1,1303,
28.6543,µm,Surface,Image 1,1,1306,
28.7162,µm,Surface,Image 1,1,1307,
80.7577,µm,Surface,Image 1,1,1310,
81.9962,µm,Surface,Image 1,1,1312,
40.7828,µm,Surface,Image 1,1,1321,
60.9733,µm,Surface,Image 1,1,1323,
25.3297,µm,Surface,Image 1,1,1332,
28.3896,µm,Surface,Image 1,1,1334,
20.0699,µm,Surface,Image 1,1,1341,
23.5915,µm,Surface,Image 1,1,1348,
22.3453,µm,Surface,Image 1,1,1350,
22.1317,µm,Surface,Image 1,1,1353,
79.1486,µm,Surface,Image 1,1,1356,
