
Intensity Max Ch=34 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
93,,Surface,34,Image 1,1,936,
307,,Surface,34,Image 1,1,946,
99,,Surface,34,Image 1,1,950,
86,,Surface,34,Image 1,1,955,
66,,Surface,34,Image 1,1,957,
138,,Surface,34,Image 1,1,962,
596,,Surface,34,Image 1,1,966,
496,,Surface,34,Image 1,1,977,
252,,Surface,34,Image 1,1,979,
186,,Surface,34,Image 1,1,986,
183,,Surface,34,Image 1,1,991,
181,,Surface,34,Image 1,1,993,
834,,Surface,34,Image 1,1,1011,
90,,Surface,34,Image 1,1,1013,
78,,Surface,34,Image 1,1,1016,
14,,Surface,34,Image 1,1,1017,
1120,,Surface,34,Image 1,1,1023,
300,,Surface,34,Image 1,1,1024,
663,,Surface,34,Image 1,1,1030,
43,,Surface,34,Image 1,1,1033,
217,,Surface,34,Image 1,1,1041,
1185,,Surface,34,Image 1,1,1043,
41,,Surface,34,Image 1,1,1046,
617,,Surface,34,Image 1,1,1048,
240,,Surface,34,Image 1,1,1049,
27,,Surface,34,Image 1,1,1051,
58,,Surface,34,Image 1,1,1052,
178,,Surface,34,Image 1,1,1053,
180,,Surface,34,Image 1,1,1055,
122,,Surface,34,Image 1,1,1056,
496,,Surface,34,Image 1,1,1062,
236,,Surface,34,Image 1,1,1065,
69,,Surface,34,Image 1,1,1066,
498,,Surface,34,Image 1,1,1070,
837,,Surface,34,Image 1,1,1071,
343,,Surface,34,Image 1,1,1074,
484,,Surface,34,Image 1,1,1078,
68,,Surface,34,Image 1,1,1087,
179,,Surface,34,Image 1,1,1090,
177,,Surface,34,Image 1,1,1093,
228,,Surface,34,Image 1,1,1094,
251,,Surface,34,Image 1,1,1095,
1912,,Surface,34,Image 1,1,1096,
1228,,Surface,34,Image 1,1,1101,
163,,Surface,34,Image 1,1,1102,
405,,Surface,34,Image 1,1,1104,
857,,Surface,34,Image 1,1,1105,
199,,Surface,34,Image 1,1,1106,
337,,Surface,34,Image 1,1,1108,
132,,Surface,34,Image 1,1,1109,
196,,Surface,34,Image 1,1,1112,
279,,Surface,34,Image 1,1,1118,
232,,Surface,34,Image 1,1,1121,
486,,Surface,34,Image 1,1,1131,
795,,Surface,34,Image 1,1,1134,
19,,Surface,34,Image 1,1,1137,
262,,Surface,34,Image 1,1,1144,
138,,Surface,34,Image 1,1,1145,
281,,Surface,34,Image 1,1,1148,
26,,Surface,34,Image 1,1,1163,
95,,Surface,34,Image 1,1,1166,
336,,Surface,34,Image 1,1,1169,
100,,Surface,34,Image 1,1,1171,
352,,Surface,34,Image 1,1,1173,
233,,Surface,34,Image 1,1,1177,
106,,Surface,34,Image 1,1,1184,
218,,Surface,34,Image 1,1,1189,
549,,Surface,34,Image 1,1,1191,
2247,,Surface,34,Image 1,1,1193,
909,,Surface,34,Image 1,1,1198,
158,,Surface,34,Image 1,1,1200,
152,,Surface,34,Image 1,1,1202,
318,,Surface,34,Image 1,1,1203,
623,,Surface,34,Image 1,1,1212,
107,,Surface,34,Image 1,1,1217,
142,,Surface,34,Image 1,1,1223,
187,,Surface,34,Image 1,1,1224,
258,,Surface,34,Image 1,1,1226,
213,,Surface,34,Image 1,1,1231,
100,,Surface,34,Image 1,1,1236,
416,,Surface,34,Image 1,1,1237,
196,,Surface,34,Image 1,1,1240,
221,,Surface,34,Image 1,1,1241,
65,,Surface,34,Image 1,1,1242,
45,,Surface,34,Image 1,1,1247,
44,,Surface,34,Image 1,1,1249,
54,,Surface,34,Image 1,1,1250,
115,,Surface,34,Image 1,1,1251,
206,,Surface,34,Image 1,1,1253,
163,,Surface,34,Image 1,1,1254,
264,,Surface,34,Image 1,1,1256,
393,,Surface,34,Image 1,1,1264,
263,,Surface,34,Image 1,1,1267,
1132,,Surface,34,Image 1,1,1275,
73,,Surface,34,Image 1,1,1277,
306,,Surface,34,Image 1,1,1278,
131,,Surface,34,Image 1,1,1280,
401,,Surface,34,Image 1,1,1282,
361,,Surface,34,Image 1,1,1283,
431,,Surface,34,Image 1,1,1285,
817,,Surface,34,Image 1,1,1288,
397,,Surface,34,Image 1,1,1292,
634,,Surface,34,Image 1,1,1297,
291,,Surface,34,Image 1,1,1300,
177,,Surface,34,Image 1,1,1303,
1008,,Surface,34,Image 1,1,1306,
1344,,Surface,34,Image 1,1,1307,
129,,Surface,34,Image 1,1,1310,
194,,Surface,34,Image 1,1,1312,
447,,Surface,34,Image 1,1,1321,
161,,Surface,34,Image 1,1,1323,
38,,Surface,34,Image 1,1,1332,
214,,Surface,34,Image 1,1,1334,
0,,Surface,34,Image 1,1,1341,
1561,,Surface,34,Image 1,1,1348,
675,,Surface,34,Image 1,1,1350,
