
Area
 ==================== 
Area,Unit,Category,Time,ID,
9.68473,µm^2,Surface,1,1184,
24.658,µm^2,Surface,1,1189,
5.23235,µm^2,Surface,1,1191,
17.3842,µm^2,Surface,1,1193,
7.07024,µm^2,Surface,1,1198,
8.76342,µm^2,Surface,1,1200,
12.9669,µm^2,Surface,1,1202,
38.0244,µm^2,Surface,1,1203,
19.0144,µm^2,Surface,1,1212,
2.94865,µm^2,Surface,1,1217,
2.29643,µm^2,Surface,1,1223,
12.0047,µm^2,Surface,1,1224,
21.3601,µm^2,Surface,1,1226,
20.1432,µm^2,Surface,1,1231,
9.22157,µm^2,Surface,1,1236,
4.80084,µm^2,Surface,1,1237,
21.8747,µm^2,Surface,1,1240,
31.3216,µm^2,Surface,1,1241,
3.63922,µm^2,Surface,1,1242,
4.91609,µm^2,Surface,1,1247,
4.82513,µm^2,Surface,1,1249,
2.24652,µm^2,Surface,1,1250,
8.99022,µm^2,Surface,1,1251,
23.1922,µm^2,Surface,1,1253,
8.30033,µm^2,Surface,1,1254,
3.64189,µm^2,Surface,1,1256,
2.68128,µm^2,Surface,1,1264,
5.17062,µm^2,Surface,1,1267,
9.57227,µm^2,Surface,1,1275,
3.35678,µm^2,Surface,1,1277,
21.0502,µm^2,Surface,1,1278,
9.56425,µm^2,Surface,1,1280,
3.76159,µm^2,Surface,1,1282,
3.99885,µm^2,Surface,1,1283,
6.27385,µm^2,Surface,1,1285,
4.80848,µm^2,Surface,1,1288,
18.9838,µm^2,Surface,1,1292,
3.97189,µm^2,Surface,1,1297,
10.595,µm^2,Surface,1,1300,
34.3294,µm^2,Surface,1,1303,
4.0131,µm^2,Surface,1,1306,
4.30428,µm^2,Surface,1,1307,
17.9622,µm^2,Surface,1,1310,
15.3355,µm^2,Surface,1,1312,
3.13515,µm^2,Surface,1,1321,
12.6007,µm^2,Surface,1,1323,
6.17726,µm^2,Surface,1,1332,
13.0409,µm^2,Surface,1,1334,
2.20023,µm^2,Surface,1,1341,
17.8533,µm^2,Surface,1,1348,
3.47109,µm^2,Surface,1,1350,
2.40718,µm^2,Surface,1,1353,
