
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
675.406,µm,Surface,Distance from Origin,1,794,
633.852,µm,Surface,Distance from Origin,1,800,
667.278,µm,Surface,Distance from Origin,1,802,
680.663,µm,Surface,Distance from Origin,1,805,
677.989,µm,Surface,Distance from Origin,1,810,
657.102,µm,Surface,Distance from Origin,1,817,
663.757,µm,Surface,Distance from Origin,1,821,
679.798,µm,Surface,Distance from Origin,1,822,
640.05,µm,Surface,Distance from Origin,1,827,
601.754,µm,Surface,Distance from Origin,1,831,
653.612,µm,Surface,Distance from Origin,1,834,
608.347,µm,Surface,Distance from Origin,1,839,
625.161,µm,Surface,Distance from Origin,1,850,
631.813,µm,Surface,Distance from Origin,1,855,
621.829,µm,Surface,Distance from Origin,1,868,
605.189,µm,Surface,Distance from Origin,1,874,
645.156,µm,Surface,Distance from Origin,1,875,
613.904,µm,Surface,Distance from Origin,1,882,
625.701,µm,Surface,Distance from Origin,1,883,
637.373,µm,Surface,Distance from Origin,1,885,
575.432,µm,Surface,Distance from Origin,1,891,
631.297,µm,Surface,Distance from Origin,1,892,
634.257,µm,Surface,Distance from Origin,1,895,
612.684,µm,Surface,Distance from Origin,1,896,
571.824,µm,Surface,Distance from Origin,1,897,
565.009,µm,Surface,Distance from Origin,1,901,
562.984,µm,Surface,Distance from Origin,1,905,
592.853,µm,Surface,Distance from Origin,1,911,
540.414,µm,Surface,Distance from Origin,1,912,
572.609,µm,Surface,Distance from Origin,1,924,
585.665,µm,Surface,Distance from Origin,1,925,
535.201,µm,Surface,Distance from Origin,1,926,
553.901,µm,Surface,Distance from Origin,1,935,
570.033,µm,Surface,Distance from Origin,1,936,
531.746,µm,Surface,Distance from Origin,1,946,
541.44,µm,Surface,Distance from Origin,1,950,
525.728,µm,Surface,Distance from Origin,1,955,
517.722,µm,Surface,Distance from Origin,1,957,
558.811,µm,Surface,Distance from Origin,1,962,
514.777,µm,Surface,Distance from Origin,1,966,
498.243,µm,Surface,Distance from Origin,1,977,
516.15,µm,Surface,Distance from Origin,1,979,
491.06,µm,Surface,Distance from Origin,1,986,
525.268,µm,Surface,Distance from Origin,1,991,
513.1,µm,Surface,Distance from Origin,1,993,
470.598,µm,Surface,Distance from Origin,1,1011,
492.009,µm,Surface,Distance from Origin,1,1013,
467.582,µm,Surface,Distance from Origin,1,1016,
467.755,µm,Surface,Distance from Origin,1,1017,
