
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
718.2,,Surface,11,Image 1,1,1875,
396.469,,Surface,11,Image 1,1,1878,
246.666,,Surface,11,Image 1,1,1879,
972.175,,Surface,11,Image 1,1,1882,
525.936,,Surface,11,Image 1,1,1885,
143.362,,Surface,11,Image 1,1,1886,
949.123,,Surface,11,Image 1,1,1887,
1291.07,,Surface,11,Image 1,1,1890,
367.861,,Surface,11,Image 1,1,1891,
765.654,,Surface,11,Image 1,1,1892,
66.2524,,Surface,11,Image 1,1,1897,
515.584,,Surface,11,Image 1,1,1901,
854.488,,Surface,11,Image 1,1,1904,
718.852,,Surface,11,Image 1,1,1906,
641.012,,Surface,11,Image 1,1,1907,
283.237,,Surface,11,Image 1,1,1917,
241.05,,Surface,11,Image 1,1,1920,
15.6306,,Surface,11,Image 1,1,1922,
216.361,,Surface,11,Image 1,1,1936,
1102.83,,Surface,11,Image 1,1,1939,
618.44,,Surface,11,Image 1,1,1941,
1009.16,,Surface,11,Image 1,1,1943,
184.316,,Surface,11,Image 1,1,1948,
553.089,,Surface,11,Image 1,1,1949,
577.019,,Surface,11,Image 1,1,1952,
360.461,,Surface,11,Image 1,1,1955,
539.078,,Surface,11,Image 1,1,1956,
543.674,,Surface,11,Image 1,1,1966,
259.109,,Surface,11,Image 1,1,1969,
512.406,,Surface,11,Image 1,1,1970,
917.462,,Surface,11,Image 1,1,1974,
214.212,,Surface,11,Image 1,1,1977,
604.627,,Surface,11,Image 1,1,1988,
726.952,,Surface,11,Image 1,1,1990,
531.677,,Surface,11,Image 1,1,1992,
295.121,,Surface,11,Image 1,1,1993,
589.761,,Surface,11,Image 1,1,1997,
581.682,,Surface,11,Image 1,1,2001,
423.959,,Surface,11,Image 1,1,2006,
530.393,,Surface,11,Image 1,1,2010,
377.636,,Surface,11,Image 1,1,2013,
555.359,,Surface,11,Image 1,1,2016,
196.792,,Surface,11,Image 1,1,2020,
450.34,,Surface,11,Image 1,1,2021,
302.193,,Surface,11,Image 1,1,2023,
864.531,,Surface,11,Image 1,1,2025,
62.4373,,Surface,11,Image 1,1,2026,
385.753,,Surface,11,Image 1,1,2030,
255.274,,Surface,11,Image 1,1,2031,
260.877,,Surface,11,Image 1,1,2035,
845.521,,Surface,11,Image 1,1,2040,
524.387,,Surface,11,Image 1,1,2050,
638.549,,Surface,11,Image 1,1,2051,
531.643,,Surface,11,Image 1,1,2052,
67.1839,,Surface,11,Image 1,1,2054,
275.697,,Surface,11,Image 1,1,2055,
25.9635,,Surface,11,Image 1,1,2058,
494.22,,Surface,11,Image 1,1,2061,
577.28,,Surface,11,Image 1,1,2064,
448.779,,Surface,11,Image 1,1,2065,
534.951,,Surface,11,Image 1,1,2068,
718.315,,Surface,11,Image 1,1,2070,
479.988,,Surface,11,Image 1,1,2074,
440.122,,Surface,11,Image 1,1,2076,
575.327,,Surface,11,Image 1,1,2079,
459.48,,Surface,11,Image 1,1,2090,
174.058,,Surface,11,Image 1,1,2092,
709.853,,Surface,11,Image 1,1,2094,
324.307,,Surface,11,Image 1,1,2096,
80.553,,Surface,11,Image 1,1,2097,
145.856,,Surface,11,Image 1,1,2099,
510.53,,Surface,11,Image 1,1,2101,
677.819,,Surface,11,Image 1,1,2103,
1154.12,,Surface,11,Image 1,1,2106,
389.537,,Surface,11,Image 1,1,2108,
539.649,,Surface,11,Image 1,1,2113,
1459.95,,Surface,11,Image 1,1,2114,
929.829,,Surface,11,Image 1,1,2115,
823.086,,Surface,11,Image 1,1,2133,
1870.49,,Surface,11,Image 1,1,2138,
524.755,,Surface,11,Image 1,1,2147,
629.635,,Surface,11,Image 1,1,2150,
813.957,,Surface,11,Image 1,1,2156,
976.568,,Surface,11,Image 1,1,2158,
1177.36,,Surface,11,Image 1,1,2159,
960.116,,Surface,11,Image 1,1,2160,
843.011,,Surface,11,Image 1,1,2161,
681.201,,Surface,11,Image 1,1,2164,
766.733,,Surface,11,Image 1,1,2166,
546.604,,Surface,11,Image 1,1,2168,
906.978,,Surface,11,Image 1,1,2170,
763.723,,Surface,11,Image 1,1,2171,
745.297,,Surface,11,Image 1,1,2173,
642.766,,Surface,11,Image 1,1,2174,
1018.57,,Surface,11,Image 1,1,2176,
584.838,,Surface,11,Image 1,1,2181,
689.025,,Surface,11,Image 1,1,2187,
120.945,,Surface,11,Image 1,1,2189,
76.3796,,Surface,11,Image 1,1,2193,
1529.08,,Surface,11,Image 1,1,2204,
62.0951,,Surface,11,Image 1,1,2210,
1096.09,,Surface,11,Image 1,1,2214,
402.312,,Surface,11,Image 1,1,2216,
772.271,,Surface,11,Image 1,1,2225,
647.021,,Surface,11,Image 1,1,2234,
818.031,,Surface,11,Image 1,1,2235,
854.881,,Surface,11,Image 1,1,2257,
1017,,Surface,11,Image 1,1,2258,
905.89,,Surface,11,Image 1,1,2259,
567.946,,Surface,11,Image 1,1,2260,
527.01,,Surface,11,Image 1,1,2263,
337.577,,Surface,11,Image 1,1,2264,
151.007,,Surface,11,Image 1,1,2265,
631.665,,Surface,11,Image 1,1,2266,
