
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
39.825,1.82676e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
40.095,1.82823e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
40.365,1.82964e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
40.635,1.83102e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
40.905,1.83236e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
41.175,1.83362e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
41.445,1.83486e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
41.715,1.83605e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
41.985,1.83717e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
42.255,1.83827e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
42.525,1.83932e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
42.795,1.84031e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
43.065,1.84128e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
43.335,1.84222e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
43.605,1.84309e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
43.875,1.84393e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
44.145,1.84474e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
