
Intensity Median Ch=27 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
700,,Surface,27,Image 1,1,458,
436,,Surface,27,Image 1,1,459,
444,,Surface,27,Image 1,1,462,
380,,Surface,27,Image 1,1,465,
270,,Surface,27,Image 1,1,469,
528,,Surface,27,Image 1,1,473,
436,,Surface,27,Image 1,1,476,
420,,Surface,27,Image 1,1,478,
450,,Surface,27,Image 1,1,480,
440,,Surface,27,Image 1,1,487,
408,,Surface,27,Image 1,1,488,
364,,Surface,27,Image 1,1,489,
360,,Surface,27,Image 1,1,492,
556,,Surface,27,Image 1,1,494,
456,,Surface,27,Image 1,1,495,
452,,Surface,27,Image 1,1,497,
202,,Surface,27,Image 1,1,498,
428,,Surface,27,Image 1,1,503,
298,,Surface,27,Image 1,1,504,
504,,Surface,27,Image 1,1,506,
484,,Surface,27,Image 1,1,509,
464,,Surface,27,Image 1,1,510,
306,,Surface,27,Image 1,1,511,
492,,Surface,27,Image 1,1,512,
388,,Surface,27,Image 1,1,514,
244,,Surface,27,Image 1,1,515,
356,,Surface,27,Image 1,1,516,
199,,Surface,27,Image 1,1,520,
174,,Surface,27,Image 1,1,521,
436,,Surface,27,Image 1,1,523,
684,,Surface,27,Image 1,1,524,
348,,Surface,27,Image 1,1,525,
808,,Surface,27,Image 1,1,526,
374,,Surface,27,Image 1,1,527,
340,,Surface,27,Image 1,1,528,
130,,Surface,27,Image 1,1,533,
420,,Surface,27,Image 1,1,534,
472,,Surface,27,Image 1,1,535,
476,,Surface,27,Image 1,1,536,
328,,Surface,27,Image 1,1,538,
648,,Surface,27,Image 1,1,539,
556,,Surface,27,Image 1,1,540,
428,,Surface,27,Image 1,1,541,
252,,Surface,27,Image 1,1,542,
370,,Surface,27,Image 1,1,545,
372,,Surface,27,Image 1,1,546,
338,,Surface,27,Image 1,1,548,
764,,Surface,27,Image 1,1,551,
436,,Surface,27,Image 1,1,552,
472,,Surface,27,Image 1,1,554,
380,,Surface,27,Image 1,1,556,
372,,Surface,27,Image 1,1,561,
340,,Surface,27,Image 1,1,562,
348,,Surface,27,Image 1,1,563,
484,,Surface,27,Image 1,1,565,
508,,Surface,27,Image 1,1,567,
202,,Surface,27,Image 1,1,568,
412,,Surface,27,Image 1,1,570,
484,,Surface,27,Image 1,1,572,
350,,Surface,27,Image 1,1,573,
332,,Surface,27,Image 1,1,574,
324,,Surface,27,Image 1,1,576,
408,,Surface,27,Image 1,1,580,
346,,Surface,27,Image 1,1,581,
392,,Surface,27,Image 1,1,582,
532,,Surface,27,Image 1,1,583,
460,,Surface,27,Image 1,1,584,
364,,Surface,27,Image 1,1,588,
268,,Surface,27,Image 1,1,590,
388,,Surface,27,Image 1,1,592,
588,,Surface,27,Image 1,1,594,
632,,Surface,27,Image 1,1,596,
668,,Surface,27,Image 1,1,601,
668,,Surface,27,Image 1,1,602,
412,,Surface,27,Image 1,1,603,
380,,Surface,27,Image 1,1,604,
472,,Surface,27,Image 1,1,607,
344,,Surface,27,Image 1,1,608,
328,,Surface,27,Image 1,1,609,
388,,Surface,27,Image 1,1,610,
270,,Surface,27,Image 1,1,611,
536,,Surface,27,Image 1,1,612,
253,,Surface,27,Image 1,1,613,
404,,Surface,27,Image 1,1,614,
516,,Surface,27,Image 1,1,616,
436,,Surface,27,Image 1,1,617,
410,,Surface,27,Image 1,1,619,
492,,Surface,27,Image 1,1,625,
330,,Surface,27,Image 1,1,627,
372,,Surface,27,Image 1,1,628,
394,,Surface,27,Image 1,1,629,
292,,Surface,27,Image 1,1,630,
756,,Surface,27,Image 1,1,631,
324,,Surface,27,Image 1,1,632,
214,,Surface,27,Image 1,1,634,
202,,Surface,27,Image 1,1,636,
194,,Surface,27,Image 1,1,638,
392,,Surface,27,Image 1,1,640,
428,,Surface,27,Image 1,1,641,
470,,Surface,27,Image 1,1,643,
648,,Surface,27,Image 1,1,644,
308,,Surface,27,Image 1,1,646,
242,,Surface,27,Image 1,1,647,
252,,Surface,27,Image 1,1,651,
294,,Surface,27,Image 1,1,652,
663.125,,Surface,27,Image 1,1,653,
396,,Surface,27,Image 1,1,654,
388,,Surface,27,Image 1,1,658,
308,,Surface,27,Image 1,1,660,
364,,Surface,27,Image 1,1,662,
692,,Surface,27,Image 1,1,663,
472,,Surface,27,Image 1,1,664,
976,,Surface,27,Image 1,1,666,
298,,Surface,27,Image 1,1,669,
366,,Surface,27,Image 1,1,672,
364,,Surface,27,Image 1,1,673,
302,,Surface,27,Image 1,1,674,
436,,Surface,27,Image 1,1,675,
260,,Surface,27,Image 1,1,676,
308,,Surface,27,Image 1,1,678,
266,,Surface,27,Image 1,1,679,
348,,Surface,27,Image 1,1,680,
380,,Surface,27,Image 1,1,682,
230,,Surface,27,Image 1,1,684,
824,,Surface,27,Image 1,1,685,
378,,Surface,27,Image 1,1,686,
500,,Surface,27,Image 1,1,687,
652,,Surface,27,Image 1,1,688,
20,,Surface,27,Image 1,1,690,
444,,Surface,27,Image 1,1,691,
396,,Surface,27,Image 1,1,693,
324,,Surface,27,Image 1,1,694,
388,,Surface,27,Image 1,1,697,
660,,Surface,27,Image 1,1,699,
468,,Surface,27,Image 1,1,700,
344,,Surface,27,Image 1,1,701,
222,,Surface,27,Image 1,1,702,
540,,Surface,27,Image 1,1,703,
250,,Surface,27,Image 1,1,706,
380,,Surface,27,Image 1,1,709,
632,,Surface,27,Image 1,1,710,
340,,Surface,27,Image 1,1,711,
412,,Surface,27,Image 1,1,712,
206,,Surface,27,Image 1,1,713,
332,,Surface,27,Image 1,1,717,
234,,Surface,27,Image 1,1,719,
238,,Surface,27,Image 1,1,720,
436,,Surface,27,Image 1,1,721,
504,,Surface,27,Image 1,1,723,
420,,Surface,27,Image 1,1,725,
712,,Surface,27,Image 1,1,728,
342,,Surface,27,Image 1,1,730,
516,,Surface,27,Image 1,1,731,
280,,Surface,27,Image 1,1,736,
350,,Surface,27,Image 1,1,737,
408,,Surface,27,Image 1,1,739,
358,,Surface,27,Image 1,1,741,
398,,Surface,27,Image 1,1,744,
270,,Surface,27,Image 1,1,747,
444,,Surface,27,Image 1,1,751,
556,,Surface,27,Image 1,1,752,
396,,Surface,27,Image 1,1,753,
300,,Surface,27,Image 1,1,754,
680,,Surface,27,Image 1,1,755,
414,,Surface,27,Image 1,1,757,
450,,Surface,27,Image 1,1,758,
378,,Surface,27,Image 1,1,759,
460,,Surface,27,Image 1,1,761,
444,,Surface,27,Image 1,1,766,
612,,Surface,27,Image 1,1,772,
524,,Surface,27,Image 1,1,773,
362,,Surface,27,Image 1,1,774,
378,,Surface,27,Image 1,1,775,
332,,Surface,27,Image 1,1,776,
456,,Surface,27,Image 1,1,780,
286,,Surface,27,Image 1,1,786,
406,,Surface,27,Image 1,1,787,
424,,Surface,27,Image 1,1,788,
0.125,,Surface,27,Image 1,1,791,
260,,Surface,27,Image 1,1,794,
284,,Surface,27,Image 1,1,797,
388,,Surface,27,Image 1,1,798,
532,,Surface,27,Image 1,1,799,
0.125,,Surface,27,Image 1,1,800,
636,,Surface,27,Image 1,1,801,
398,,Surface,27,Image 1,1,802,
314,,Surface,27,Image 1,1,803,
628,,Surface,27,Image 1,1,804,
292,,Surface,27,Image 1,1,805,
300,,Surface,27,Image 1,1,810,
600,,Surface,27,Image 1,1,811,
330,,Surface,27,Image 1,1,812,
380,,Surface,27,Image 1,1,813,
348,,Surface,27,Image 1,1,814,
214,,Surface,27,Image 1,1,816,
452,,Surface,27,Image 1,1,818,
228,,Surface,27,Image 1,1,819,
420,,Surface,27,Image 1,1,822,
138,,Surface,27,Image 1,1,823,
404,,Surface,27,Image 1,1,824,
454,,Surface,27,Image 1,1,825,
372,,Surface,27,Image 1,1,826,
428,,Surface,27,Image 1,1,827,
348,,Surface,27,Image 1,1,828,
560,,Surface,27,Image 1,1,831,
322,,Surface,27,Image 1,1,834,
260,,Surface,27,Image 1,1,835,
436,,Surface,27,Image 1,1,836,
380,,Surface,27,Image 1,1,838,
468,,Surface,27,Image 1,1,840,
446,,Surface,27,Image 1,1,841,
348,,Surface,27,Image 1,1,843,
0.25,,Surface,27,Image 1,1,844,
324,,Surface,27,Image 1,1,846,
432,,Surface,27,Image 1,1,848,
680,,Surface,27,Image 1,1,849,
102,,Surface,27,Image 1,1,851,
292,,Surface,27,Image 1,1,852,
436,,Surface,27,Image 1,1,853,
604,,Surface,27,Image 1,1,854,
488,,Surface,27,Image 1,1,855,
284,,Surface,27,Image 1,1,856,
536,,Surface,27,Image 1,1,857,
444,,Surface,27,Image 1,1,859,
102,,Surface,27,Image 1,1,861,
632,,Surface,27,Image 1,1,862,
292,,Surface,27,Image 1,1,863,
350,,Surface,27,Image 1,1,866,
340,,Surface,27,Image 1,1,867,
258,,Surface,27,Image 1,1,869,
292,,Surface,27,Image 1,1,871,
334,,Surface,27,Image 1,1,872,
644,,Surface,27,Image 1,1,873,
270,,Surface,27,Image 1,1,875,
284,,Surface,27,Image 1,1,877,
484,,Surface,27,Image 1,1,878,
356,,Surface,27,Image 1,1,879,
0.25,,Surface,27,Image 1,1,880,
376,,Surface,27,Image 1,1,881,
296,,Surface,27,Image 1,1,882,
332,,Surface,27,Image 1,1,886,
468,,Surface,27,Image 1,1,887,
300,,Surface,27,Image 1,1,888,
460,,Surface,27,Image 1,1,890,
520,,Surface,27,Image 1,1,891,
680,,Surface,27,Image 1,1,892,
318,,Surface,27,Image 1,1,893,
356,,Surface,27,Image 1,1,894,
330,,Surface,27,Image 1,1,895,
692,,Surface,27,Image 1,1,896,
436,,Surface,27,Image 1,1,898,
508,,Surface,27,Image 1,1,900,
372,,Surface,27,Image 1,1,902,
340,,Surface,27,Image 1,1,903,
430,,Surface,27,Image 1,1,905,
594,,Surface,27,Image 1,1,906,
428,,Surface,27,Image 1,1,911,
476,,Surface,27,Image 1,1,912,
222,,Surface,27,Image 1,1,914,
356,,Surface,27,Image 1,1,915,
360,,Surface,27,Image 1,1,917,
274,,Surface,27,Image 1,1,920,
166,,Surface,27,Image 1,1,921,
296,,Surface,27,Image 1,1,923,
392,,Surface,27,Image 1,1,924,
230,,Surface,27,Image 1,1,925,
308,,Surface,27,Image 1,1,926,
388,,Surface,27,Image 1,1,927,
452,,Surface,27,Image 1,1,929,
394,,Surface,27,Image 1,1,930,
284,,Surface,27,Image 1,1,932,
258,,Surface,27,Image 1,1,939,
296,,Surface,27,Image 1,1,942,
792,,Surface,27,Image 1,1,944,
340,,Surface,27,Image 1,1,945,
388,,Surface,27,Image 1,1,947,
428,,Surface,27,Image 1,1,948,
360,,Surface,27,Image 1,1,952,
78,,Surface,27,Image 1,1,955,
244,,Surface,27,Image 1,1,957,
161,,Surface,27,Image 1,1,958,
412,,Surface,27,Image 1,1,961,
884,,Surface,27,Image 1,1,963,
390,,Surface,27,Image 1,1,964,
404,,Surface,27,Image 1,1,966,
450,,Surface,27,Image 1,1,969,
239,,Surface,27,Image 1,1,972,
17,,Surface,27,Image 1,1,973,
436,,Surface,27,Image 1,1,974,
292,,Surface,27,Image 1,1,975,
378,,Surface,27,Image 1,1,976,
460,,Surface,27,Image 1,1,977,
68,,Surface,27,Image 1,1,978,
284,,Surface,27,Image 1,1,979,
0.125,,Surface,27,Image 1,1,980,
372,,Surface,27,Image 1,1,981,
728,,Surface,27,Image 1,1,982,
380,,Surface,27,Image 1,1,984,
632,,Surface,27,Image 1,1,985,
420,,Surface,27,Image 1,1,986,
308,,Surface,27,Image 1,1,987,
408,,Surface,27,Image 1,1,988,
792,,Surface,27,Image 1,1,989,
189,,Surface,27,Image 1,1,990,
540,,Surface,27,Image 1,1,992,
252,,Surface,27,Image 1,1,994,
252,,Surface,27,Image 1,1,996,
436,,Surface,27,Image 1,1,1000,
308,,Surface,27,Image 1,1,1002,
404,,Surface,27,Image 1,1,1003,
456,,Surface,27,Image 1,1,1004,
372,,Surface,27,Image 1,1,1006,
628,,Surface,27,Image 1,1,1008,
460,,Surface,27,Image 1,1,1009,
460,,Surface,27,Image 1,1,1010,
394,,Surface,27,Image 1,1,1014,
298,,Surface,27,Image 1,1,1017,
532,,Surface,27,Image 1,1,1018,
1,,Surface,27,Image 1,1,1019,
342,,Surface,27,Image 1,1,1020,
282,,Surface,27,Image 1,1,1021,
436,,Surface,27,Image 1,1,1023,
274,,Surface,27,Image 1,1,1024,
268,,Surface,27,Image 1,1,1032,
2,,Surface,27,Image 1,1,1034,
436,,Surface,27,Image 1,1,1035,
292,,Surface,27,Image 1,1,1036,
396,,Surface,27,Image 1,1,1037,
218,,Surface,27,Image 1,1,1038,
250,,Surface,27,Image 1,1,1039,
408,,Surface,27,Image 1,1,1040,
396,,Surface,27,Image 1,1,1041,
314,,Surface,27,Image 1,1,1045,
228,,Surface,27,Image 1,1,1049,
536,,Surface,27,Image 1,1,1052,
260,,Surface,27,Image 1,1,1053,
302,,Surface,27,Image 1,1,1056,
306,,Surface,27,Image 1,1,1057,
378,,Surface,27,Image 1,1,1058,
