
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
686.396,µm,Surface,Position,1,630,
513.75,µm,Surface,Position,1,631,
481.927,µm,Surface,Position,1,632,
666.714,µm,Surface,Position,1,634,
469.17,µm,Surface,Position,1,636,
654.219,µm,Surface,Position,1,638,
569.719,µm,Surface,Position,1,640,
530.65,µm,Surface,Position,1,641,
602.003,µm,Surface,Position,1,643,
627.915,µm,Surface,Position,1,644,
574.931,µm,Surface,Position,1,646,
614.294,µm,Surface,Position,1,647,
599.669,µm,Surface,Position,1,651,
489.94,µm,Surface,Position,1,652,
619,µm,Surface,Position,1,653,
496.506,µm,Surface,Position,1,654,
596.87,µm,Surface,Position,1,658,
561.929,µm,Surface,Position,1,660,
590.376,µm,Surface,Position,1,662,
628.769,µm,Surface,Position,1,663,
500.604,µm,Surface,Position,1,664,
542.753,µm,Surface,Position,1,666,
588.044,µm,Surface,Position,1,669,
648.007,µm,Surface,Position,1,672,
668.211,µm,Surface,Position,1,673,
683.684,µm,Surface,Position,1,674,
586.198,µm,Surface,Position,1,675,
526.456,µm,Surface,Position,1,676,
666.957,µm,Surface,Position,1,678,
681.1,µm,Surface,Position,1,679,
523.861,µm,Surface,Position,1,680,
521.827,µm,Surface,Position,1,682,
688.899,µm,Surface,Position,1,684,
593.219,µm,Surface,Position,1,685,
660.14,µm,Surface,Position,1,686,
541.458,µm,Surface,Position,1,687,
624.275,µm,Surface,Position,1,688,
579.732,µm,Surface,Position,1,690,
636.065,µm,Surface,Position,1,691,
629.072,µm,Surface,Position,1,693,
676.051,µm,Surface,Position,1,694,
486.598,µm,Surface,Position,1,697,
621.689,µm,Surface,Position,1,699,
490.67,µm,Surface,Position,1,700,
675.336,µm,Surface,Position,1,701,
469.93,µm,Surface,Position,1,702,
528.691,µm,Surface,Position,1,703,
610.127,µm,Surface,Position,1,706,
671.512,µm,Surface,Position,1,709,
697.294,µm,Surface,Position,1,710,
709.414,µm,Surface,Position,1,711,
654.901,µm,Surface,Position,1,712,
516.969,µm,Surface,Position,1,713,
674.344,µm,Surface,Position,1,717,
607.269,µm,Surface,Position,1,719,
639.169,µm,Surface,Position,1,720,
449.476,µm,Surface,Position,1,721,
588.904,µm,Surface,Position,1,723,
446.797,µm,Surface,Position,1,725,
637.418,µm,Surface,Position,1,728,
628.971,µm,Surface,Position,1,730,
467.16,µm,Surface,Position,1,731,
511.406,µm,Surface,Position,1,736,
500.572,µm,Surface,Position,1,737,
570.649,µm,Surface,Position,1,739,
529.536,µm,Surface,Position,1,741,
483.461,µm,Surface,Position,1,744,
474.357,µm,Surface,Position,1,747,
627.94,µm,Surface,Position,1,751,
558.748,µm,Surface,Position,1,752,
698.842,µm,Surface,Position,1,753,
537.714,µm,Surface,Position,1,754,
612.194,µm,Surface,Position,1,755,
680.038,µm,Surface,Position,1,757,
624.207,µm,Surface,Position,1,758,
441.701,µm,Surface,Position,1,759,
625.565,µm,Surface,Position,1,761,
700.326,µm,Surface,Position,1,766,
585.812,µm,Surface,Position,1,772,
633.229,µm,Surface,Position,1,773,
467.883,µm,Surface,Position,1,774,
693.837,µm,Surface,Position,1,775,
514.859,µm,Surface,Position,1,776,
619.589,µm,Surface,Position,1,780,
668.513,µm,Surface,Position,1,786,
585.715,µm,Surface,Position,1,787,
434.338,µm,Surface,Position,1,788,
501.243,µm,Surface,Position,1,791,
681.542,µm,Surface,Position,1,794,
449.58,µm,Surface,Position,1,797,
475.231,µm,Surface,Position,1,798,
427.49,µm,Surface,Position,1,799,
408.653,µm,Surface,Position,1,800,
449.299,µm,Surface,Position,1,801,
517.702,µm,Surface,Position,1,802,
630.598,µm,Surface,Position,1,803,
603.399,µm,Surface,Position,1,804,
699.371,µm,Surface,Position,1,805,
639.927,µm,Surface,Position,1,810,
575.591,µm,Surface,Position,1,811,
661.655,µm,Surface,Position,1,812,
618.012,µm,Surface,Position,1,813,
562.99,µm,Surface,Position,1,814,
701.683,µm,Surface,Position,1,816,
603.263,µm,Surface,Position,1,818,
513.481,µm,Surface,Position,1,819,
671.512,µm,Surface,Position,1,822,
