
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
861.895,µm,Surface,Distance from Origin,1,413,
868.075,µm,Surface,Distance from Origin,1,420,
858.54,µm,Surface,Distance from Origin,1,421,
870.538,µm,Surface,Distance from Origin,1,426,
862.291,µm,Surface,Distance from Origin,1,427,
862.745,µm,Surface,Distance from Origin,1,428,
858.037,µm,Surface,Distance from Origin,1,437,
865.927,µm,Surface,Distance from Origin,1,442,
872.648,µm,Surface,Distance from Origin,1,443,
867.183,µm,Surface,Distance from Origin,1,445,
870.066,µm,Surface,Distance from Origin,1,447,
870.482,µm,Surface,Distance from Origin,1,448,
877.258,µm,Surface,Distance from Origin,1,449,
876.049,µm,Surface,Distance from Origin,1,453,
863.943,µm,Surface,Distance from Origin,1,457,
875.292,µm,Surface,Distance from Origin,1,458,
869.159,µm,Surface,Distance from Origin,1,459,
876.497,µm,Surface,Distance from Origin,1,462,
868.208,µm,Surface,Distance from Origin,1,465,
873.901,µm,Surface,Distance from Origin,1,469,
886.458,µm,Surface,Distance from Origin,1,473,
821.837,µm,Surface,Distance from Origin,1,476,
824.94,µm,Surface,Distance from Origin,1,478,
838.541,µm,Surface,Distance from Origin,1,480,
838.693,µm,Surface,Distance from Origin,1,487,
829.479,µm,Surface,Distance from Origin,1,488,
844.045,µm,Surface,Distance from Origin,1,489,
837.344,µm,Surface,Distance from Origin,1,492,
827.717,µm,Surface,Distance from Origin,1,494,
823.516,µm,Surface,Distance from Origin,1,495,
835.717,µm,Surface,Distance from Origin,1,497,
833.923,µm,Surface,Distance from Origin,1,498,
831.155,µm,Surface,Distance from Origin,1,503,
836.699,µm,Surface,Distance from Origin,1,504,
837.641,µm,Surface,Distance from Origin,1,506,
832.729,µm,Surface,Distance from Origin,1,509,
835.073,µm,Surface,Distance from Origin,1,510,
847.15,µm,Surface,Distance from Origin,1,511,
829.963,µm,Surface,Distance from Origin,1,512,
825.765,µm,Surface,Distance from Origin,1,514,
847.607,µm,Surface,Distance from Origin,1,515,
823.255,µm,Surface,Distance from Origin,1,516,
835.851,µm,Surface,Distance from Origin,1,520,
850.645,µm,Surface,Distance from Origin,1,521,
833.391,µm,Surface,Distance from Origin,1,523,
829.769,µm,Surface,Distance from Origin,1,524,
824.667,µm,Surface,Distance from Origin,1,525,
832.639,µm,Surface,Distance from Origin,1,526,
826.547,µm,Surface,Distance from Origin,1,527,
838.261,µm,Surface,Distance from Origin,1,528,
842.841,µm,Surface,Distance from Origin,1,533,
833.081,µm,Surface,Distance from Origin,1,534,
840.984,µm,Surface,Distance from Origin,1,535,
827.741,µm,Surface,Distance from Origin,1,536,
836.103,µm,Surface,Distance from Origin,1,538,
835.717,µm,Surface,Distance from Origin,1,539,
839.489,µm,Surface,Distance from Origin,1,540,
845.916,µm,Surface,Distance from Origin,1,541,
845.836,µm,Surface,Distance from Origin,1,542,
842.558,µm,Surface,Distance from Origin,1,545,
832.135,µm,Surface,Distance from Origin,1,546,
839.939,µm,Surface,Distance from Origin,1,548,
846.363,µm,Surface,Distance from Origin,1,551,
839.153,µm,Surface,Distance from Origin,1,552,
844.337,µm,Surface,Distance from Origin,1,554,
840.12,µm,Surface,Distance from Origin,1,556,
836.802,µm,Surface,Distance from Origin,1,561,
841.672,µm,Surface,Distance from Origin,1,562,
839.161,µm,Surface,Distance from Origin,1,563,
834.538,µm,Surface,Distance from Origin,1,565,
843.414,µm,Surface,Distance from Origin,1,567,
833.525,µm,Surface,Distance from Origin,1,568,
831.392,µm,Surface,Distance from Origin,1,570,
850.016,µm,Surface,Distance from Origin,1,572,
831.62,µm,Surface,Distance from Origin,1,573,
842.906,µm,Surface,Distance from Origin,1,574,
835.379,µm,Surface,Distance from Origin,1,576,
850.045,µm,Surface,Distance from Origin,1,580,
851.334,µm,Surface,Distance from Origin,1,581,
842.801,µm,Surface,Distance from Origin,1,582,
839.857,µm,Surface,Distance from Origin,1,583,
845.988,µm,Surface,Distance from Origin,1,584,
847.304,µm,Surface,Distance from Origin,1,588,
844.998,µm,Surface,Distance from Origin,1,590,
841.491,µm,Surface,Distance from Origin,1,592,
840.622,µm,Surface,Distance from Origin,1,594,
841.936,µm,Surface,Distance from Origin,1,596,
844.886,µm,Surface,Distance from Origin,1,601,
845.465,µm,Surface,Distance from Origin,1,602,
842.746,µm,Surface,Distance from Origin,1,603,
848.525,µm,Surface,Distance from Origin,1,604,
856.178,µm,Surface,Distance from Origin,1,607,
845.183,µm,Surface,Distance from Origin,1,608,
851.762,µm,Surface,Distance from Origin,1,609,
855.817,µm,Surface,Distance from Origin,1,610,
837.034,µm,Surface,Distance from Origin,1,611,
848.946,µm,Surface,Distance from Origin,1,612,
833.763,µm,Surface,Distance from Origin,1,613,
852.1,µm,Surface,Distance from Origin,1,614,
