
Intensity Sum of Square Ch=33 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
1.71098e+12,,Surface,33,Image 1,1,349,
2.00783e+12,,Surface,33,Image 1,1,351,
3.26864e+12,,Surface,33,Image 1,1,355,
4.63506e+11,,Surface,33,Image 1,1,356,
9.65706e+11,,Surface,33,Image 1,1,361,
7.55756e+11,,Surface,33,Image 1,1,362,
1.38317e+12,,Surface,33,Image 1,1,363,
6.55948e+11,,Surface,33,Image 1,1,364,
1.31006e+12,,Surface,33,Image 1,1,365,
2.36272e+12,,Surface,33,Image 1,1,369,
4.76301e+12,,Surface,33,Image 1,1,371,
3.20123e+12,,Surface,33,Image 1,1,372,
2.36686e+12,,Surface,33,Image 1,1,373,
7.52652e+12,,Surface,33,Image 1,1,374,
1.5455e+12,,Surface,33,Image 1,1,376,
3.42335e+12,,Surface,33,Image 1,1,378,
1.02391e+12,,Surface,33,Image 1,1,379,
2.69153e+12,,Surface,33,Image 1,1,381,
6.99328e+12,,Surface,33,Image 1,1,383,
7.64897e+12,,Surface,33,Image 1,1,385,
2.48169e+12,,Surface,33,Image 1,1,386,
5.6293e+12,,Surface,33,Image 1,1,388,
2.55361e+12,,Surface,33,Image 1,1,389,
5.39815e+12,,Surface,33,Image 1,1,390,
7.72662e+11,,Surface,33,Image 1,1,393,
2.85923e+12,,Surface,33,Image 1,1,396,
1.55844e+12,,Surface,33,Image 1,1,397,
1.32486e+12,,Surface,33,Image 1,1,398,
2.86276e+12,,Surface,33,Image 1,1,399,
2.17377e+12,,Surface,33,Image 1,1,400,
8.1867e+12,,Surface,33,Image 1,1,401,
1.83115e+12,,Surface,33,Image 1,1,402,
6.81037e+11,,Surface,33,Image 1,1,405,
5.90818e+12,,Surface,33,Image 1,1,406,
6.21829e+12,,Surface,33,Image 1,1,413,
3.68441e+12,,Surface,33,Image 1,1,420,
3.42924e+12,,Surface,33,Image 1,1,421,
4.08568e+12,,Surface,33,Image 1,1,426,
5.54301e+12,,Surface,33,Image 1,1,427,
5.41501e+12,,Surface,33,Image 1,1,428,
1.80446e+12,,Surface,33,Image 1,1,437,
2.09615e+12,,Surface,33,Image 1,1,442,
5.22225e+12,,Surface,33,Image 1,1,443,
2.74439e+12,,Surface,33,Image 1,1,445,
4.39905e+12,,Surface,33,Image 1,1,447,
1.41089e+12,,Surface,33,Image 1,1,448,
4.45516e+12,,Surface,33,Image 1,1,449,
1.86436e+12,,Surface,33,Image 1,1,453,
2.42421e+12,,Surface,33,Image 1,1,457,
2.10251e+12,,Surface,33,Image 1,1,458,
2.71367e+12,,Surface,33,Image 1,1,459,
4.63554e+11,,Surface,33,Image 1,1,462,
2.2277e+12,,Surface,33,Image 1,1,465,
3.26033e+12,,Surface,33,Image 1,1,469,
1.57344e+12,,Surface,33,Image 1,1,473,
2.10228e+12,,Surface,33,Image 1,1,476,
5.34029e+12,,Surface,33,Image 1,1,478,
1.21727e+12,,Surface,33,Image 1,1,480,
1.15458e+12,,Surface,33,Image 1,1,487,
7.84079e+12,,Surface,33,Image 1,1,488,
3.75709e+12,,Surface,33,Image 1,1,489,
1.89087e+12,,Surface,33,Image 1,1,492,
4.65074e+12,,Surface,33,Image 1,1,494,
2.8997e+12,,Surface,33,Image 1,1,495,
1.97297e+12,,Surface,33,Image 1,1,497,
4.69783e+11,,Surface,33,Image 1,1,498,
1.49749e+12,,Surface,33,Image 1,1,503,
6.72671e+11,,Surface,33,Image 1,1,504,
1.52328e+12,,Surface,33,Image 1,1,506,
1.24166e+12,,Surface,33,Image 1,1,509,
1.96981e+12,,Surface,33,Image 1,1,510,
1.55824e+12,,Surface,33,Image 1,1,511,
2.25649e+12,,Surface,33,Image 1,1,512,
1.15485e+12,,Surface,33,Image 1,1,514,
8.6549e+11,,Surface,33,Image 1,1,515,
4.81546e+12,,Surface,33,Image 1,1,516,
5.75579e+11,,Surface,33,Image 1,1,520,
2.67983e+12,,Surface,33,Image 1,1,521,
5.84588e+12,,Surface,33,Image 1,1,523,
2.18407e+12,,Surface,33,Image 1,1,524,
3.04521e+12,,Surface,33,Image 1,1,525,
3.62925e+12,,Surface,33,Image 1,1,526,
1.16335e+12,,Surface,33,Image 1,1,527,
2.01495e+12,,Surface,33,Image 1,1,528,
7.89301e+11,,Surface,33,Image 1,1,533,
1.42242e+12,,Surface,33,Image 1,1,534,
1.98443e+12,,Surface,33,Image 1,1,535,
7.55925e+11,,Surface,33,Image 1,1,536,
8.86366e+12,,Surface,33,Image 1,1,538,
6.47252e+12,,Surface,33,Image 1,1,539,
1.14853e+12,,Surface,33,Image 1,1,540,
2.30611e+12,,Surface,33,Image 1,1,541,
1.08386e+12,,Surface,33,Image 1,1,542,
1.17209e+12,,Surface,33,Image 1,1,545,
1.03633e+12,,Surface,33,Image 1,1,546,
1.47734e+12,,Surface,33,Image 1,1,548,
1.19882e+12,,Surface,33,Image 1,1,551,
3.50053e+12,,Surface,33,Image 1,1,552,
2.02269e+12,,Surface,33,Image 1,1,554,
3.27028e+12,,Surface,33,Image 1,1,556,
4.15583e+12,,Surface,33,Image 1,1,561,
1.73619e+12,,Surface,33,Image 1,1,562,
3.94712e+12,,Surface,33,Image 1,1,563,
