
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
595.85,µm,Surface,Position,1,514,
704.569,µm,Surface,Position,1,515,
598.466,µm,Surface,Position,1,516,
473.698,µm,Surface,Position,1,520,
468.031,µm,Surface,Position,1,521,
569.17,µm,Surface,Position,1,523,
614.958,µm,Surface,Position,1,524,
604.723,µm,Surface,Position,1,525,
540.249,µm,Surface,Position,1,526,
619.448,µm,Surface,Position,1,527,
500.525,µm,Surface,Position,1,528,
479.939,µm,Surface,Position,1,533,
516.767,µm,Surface,Position,1,534,
526.723,µm,Surface,Position,1,535,
528.92,µm,Surface,Position,1,536,
613.431,µm,Surface,Position,1,538,
616.651,µm,Surface,Position,1,539,
675.565,µm,Surface,Position,1,540,
686.155,µm,Surface,Position,1,541,
705.674,µm,Surface,Position,1,542,
474.251,µm,Surface,Position,1,545,
646.201,µm,Surface,Position,1,546,
679.493,µm,Surface,Position,1,548,
463.154,µm,Surface,Position,1,551,
540.371,µm,Surface,Position,1,552,
690.787,µm,Surface,Position,1,554,
651.975,µm,Surface,Position,1,556,
564.83,µm,Surface,Position,1,561,
671.345,µm,Surface,Position,1,562,
627.2,µm,Surface,Position,1,563,
633.969,µm,Surface,Position,1,565,
516.345,µm,Surface,Position,1,567,
662.484,µm,Surface,Position,1,568,
574.846,µm,Surface,Position,1,570,
488.194,µm,Surface,Position,1,572,
568.241,µm,Surface,Position,1,573,
491.423,µm,Surface,Position,1,574,
629.049,µm,Surface,Position,1,576,
510.048,µm,Surface,Position,1,580,
483.293,µm,Surface,Position,1,581,
551.086,µm,Surface,Position,1,582,
581.09,µm,Surface,Position,1,583,
506.479,µm,Surface,Position,1,584,
513.149,µm,Surface,Position,1,588,
662.633,µm,Surface,Position,1,590,
666.339,µm,Surface,Position,1,592,
644.775,µm,Surface,Position,1,594,
589.625,µm,Surface,Position,1,596,
647.799,µm,Surface,Position,1,601,
571.363,µm,Surface,Position,1,602,
640.977,µm,Surface,Position,1,603,
534.661,µm,Surface,Position,1,604,
497.807,µm,Surface,Position,1,607,
605.223,µm,Surface,Position,1,608,
664.638,µm,Surface,Position,1,609,
479.287,µm,Surface,Position,1,610,
606.45,µm,Surface,Position,1,611,
653.704,µm,Surface,Position,1,612,
601.783,µm,Surface,Position,1,613,
693.19,µm,Surface,Position,1,614,
696.743,µm,Surface,Position,1,616,
530.137,µm,Surface,Position,1,617,
521.8,µm,Surface,Position,1,619,
533.658,µm,Surface,Position,1,625,
632.999,µm,Surface,Position,1,627,
709.596,µm,Surface,Position,1,628,
669.296,µm,Surface,Position,1,629,
454.86,µm,Surface,Position,1,630,
627.926,µm,Surface,Position,1,631,
650.937,µm,Surface,Position,1,632,
458.461,µm,Surface,Position,1,634,
661.633,µm,Surface,Position,1,636,
474.545,µm,Surface,Position,1,638,
575.042,µm,Surface,Position,1,640,
599.453,µm,Surface,Position,1,641,
529.81,µm,Surface,Position,1,643,
511.273,µm,Surface,Position,1,644,
569.492,µm,Surface,Position,1,646,
523.722,µm,Surface,Position,1,647,
541.74,µm,Surface,Position,1,651,
641.865,µm,Surface,Position,1,652,
506.808,µm,Surface,Position,1,653,
644.966,µm,Surface,Position,1,654,
549.634,µm,Surface,Position,1,658,
570.162,µm,Surface,Position,1,660,
559.422,µm,Surface,Position,1,662,
504.269,µm,Surface,Position,1,663,
648.257,µm,Surface,Position,1,664,
599.926,µm,Surface,Position,1,666,
547.608,µm,Surface,Position,1,669,
487.194,µm,Surface,Position,1,672,
480.619,µm,Surface,Position,1,673,
445.733,µm,Surface,Position,1,674,
555.626,µm,Surface,Position,1,675,
620.361,µm,Surface,Position,1,676,
465.526,µm,Surface,Position,1,678,
450.435,µm,Surface,Position,1,679,
611.546,µm,Surface,Position,1,680,
628.749,µm,Surface,Position,1,682,
464.856,µm,Surface,Position,1,684,
