
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
106,,Surface,2,Image 1,1,871,
100,,Surface,2,Image 1,1,872,
106,,Surface,2,Image 1,1,873,
83,,Surface,2,Image 1,1,875,
0,,Surface,2,Image 1,1,877,
83,,Surface,2,Image 1,1,878,
0,,Surface,2,Image 1,1,879,
108,,Surface,2,Image 1,1,880,
36,,Surface,2,Image 1,1,881,
103,,Surface,2,Image 1,1,882,
104,,Surface,2,Image 1,1,886,
101,,Surface,2,Image 1,1,887,
101,,Surface,2,Image 1,1,888,
102,,Surface,2,Image 1,1,890,
37,,Surface,2,Image 1,1,891,
98,,Surface,2,Image 1,1,892,
57,,Surface,2,Image 1,1,893,
105,,Surface,2,Image 1,1,894,
100,,Surface,2,Image 1,1,895,
49,,Surface,2,Image 1,1,896,
90,,Surface,2,Image 1,1,898,
100,,Surface,2,Image 1,1,900,
101,,Surface,2,Image 1,1,902,
99,,Surface,2,Image 1,1,903,
103,,Surface,2,Image 1,1,905,
111,,Surface,2,Image 1,1,906,
107,,Surface,2,Image 1,1,911,
109,,Surface,2,Image 1,1,912,
112,,Surface,2,Image 1,1,914,
117,,Surface,2,Image 1,1,915,
76,,Surface,2,Image 1,1,917,
101,,Surface,2,Image 1,1,920,
107,,Surface,2,Image 1,1,921,
0,,Surface,2,Image 1,1,923,
106,,Surface,2,Image 1,1,924,
108,,Surface,2,Image 1,1,925,
105,,Surface,2,Image 1,1,926,
83,,Surface,2,Image 1,1,927,
112,,Surface,2,Image 1,1,929,
108,,Surface,2,Image 1,1,930,
102,,Surface,2,Image 1,1,932,
59,,Surface,2,Image 1,1,939,
105,,Surface,2,Image 1,1,942,
0,,Surface,2,Image 1,1,944,
103,,Surface,2,Image 1,1,945,
106,,Surface,2,Image 1,1,947,
103,,Surface,2,Image 1,1,948,
98,,Surface,2,Image 1,1,952,
106,,Surface,2,Image 1,1,955,
101,,Surface,2,Image 1,1,957,
113,,Surface,2,Image 1,1,958,
0,,Surface,2,Image 1,1,961,
102,,Surface,2,Image 1,1,963,
95,,Surface,2,Image 1,1,964,
101,,Surface,2,Image 1,1,966,
105,,Surface,2,Image 1,1,969,
114,,Surface,2,Image 1,1,972,
107,,Surface,2,Image 1,1,973,
96,,Surface,2,Image 1,1,974,
106,,Surface,2,Image 1,1,975,
69,,Surface,2,Image 1,1,976,
96,,Surface,2,Image 1,1,977,
0,,Surface,2,Image 1,1,978,
97,,Surface,2,Image 1,1,979,
114,,Surface,2,Image 1,1,980,
61,,Surface,2,Image 1,1,981,
106,,Surface,2,Image 1,1,982,
98,,Surface,2,Image 1,1,984,
109,,Surface,2,Image 1,1,985,
110,,Surface,2,Image 1,1,986,
105,,Surface,2,Image 1,1,987,
106,,Surface,2,Image 1,1,988,
109,,Surface,2,Image 1,1,989,
102,,Surface,2,Image 1,1,990,
97,,Surface,2,Image 1,1,992,
106,,Surface,2,Image 1,1,994,
101,,Surface,2,Image 1,1,996,
80,,Surface,2,Image 1,1,1000,
92,,Surface,2,Image 1,1,1002,
108,,Surface,2,Image 1,1,1003,
99,,Surface,2,Image 1,1,1004,
101,,Surface,2,Image 1,1,1006,
111,,Surface,2,Image 1,1,1008,
105,,Surface,2,Image 1,1,1009,
110,,Surface,2,Image 1,1,1010,
118,,Surface,2,Image 1,1,1014,
98,,Surface,2,Image 1,1,1017,
108,,Surface,2,Image 1,1,1018,
100,,Surface,2,Image 1,1,1019,
110,,Surface,2,Image 1,1,1020,
106,,Surface,2,Image 1,1,1021,
41,,Surface,2,Image 1,1,1023,
103,,Surface,2,Image 1,1,1024,
105,,Surface,2,Image 1,1,1032,
104,,Surface,2,Image 1,1,1034,
106,,Surface,2,Image 1,1,1035,
105,,Surface,2,Image 1,1,1036,
98,,Surface,2,Image 1,1,1037,
110,,Surface,2,Image 1,1,1038,
101,,Surface,2,Image 1,1,1039,
97,,Surface,2,Image 1,1,1040,
0,,Surface,2,Image 1,1,1041,
94,,Surface,2,Image 1,1,1045,
112,,Surface,2,Image 1,1,1049,
70,,Surface,2,Image 1,1,1052,
110,,Surface,2,Image 1,1,1053,
102,,Surface,2,Image 1,1,1056,
105,,Surface,2,Image 1,1,1057,
114,,Surface,2,Image 1,1,1058,
102,,Surface,2,Image 1,1,1059,
102,,Surface,2,Image 1,1,1060,
111,,Surface,2,Image 1,1,1061,
108,,Surface,2,Image 1,1,1063,
108,,Surface,2,Image 1,1,1064,
44,,Surface,2,Image 1,1,1065,
107,,Surface,2,Image 1,1,1066,
105,,Surface,2,Image 1,1,1067,
80,,Surface,2,Image 1,1,1068,
112,,Surface,2,Image 1,1,1070,
39,,Surface,2,Image 1,1,1071,
113,,Surface,2,Image 1,1,1072,
107,,Surface,2,Image 1,1,1073,
91,,Surface,2,Image 1,1,1074,
110,,Surface,2,Image 1,1,1075,
97,,Surface,2,Image 1,1,1076,
104,,Surface,2,Image 1,1,1077,
104,,Surface,2,Image 1,1,1081,
113,,Surface,2,Image 1,1,1082,
103,,Surface,2,Image 1,1,1083,
88,,Surface,2,Image 1,1,1084,
112,,Surface,2,Image 1,1,1085,
100,,Surface,2,Image 1,1,1086,
107,,Surface,2,Image 1,1,1088,
107,,Surface,2,Image 1,1,1090,
40,,Surface,2,Image 1,1,1091,
107,,Surface,2,Image 1,1,1092,
101,,Surface,2,Image 1,1,1093,
116,,Surface,2,Image 1,1,1095,
105,,Surface,2,Image 1,1,1096,
103,,Surface,2,Image 1,1,1099,
33,,Surface,2,Image 1,1,1100,
0,,Surface,2,Image 1,1,1104,
110,,Surface,2,Image 1,1,1106,
104,,Surface,2,Image 1,1,1108,
112,,Surface,2,Image 1,1,1111,
114,,Surface,2,Image 1,1,1112,
111,,Surface,2,Image 1,1,1113,
33,,Surface,2,Image 1,1,1114,
109,,Surface,2,Image 1,1,1115,
100,,Surface,2,Image 1,1,1116,
107,,Surface,2,Image 1,1,1118,
92,,Surface,2,Image 1,1,1122,
130,,Surface,2,Image 1,1,1125,
116,,Surface,2,Image 1,1,1126,
103,,Surface,2,Image 1,1,1128,
104,,Surface,2,Image 1,1,1132,
99,,Surface,2,Image 1,1,1133,
116,,Surface,2,Image 1,1,1136,
107,,Surface,2,Image 1,1,1138,
104,,Surface,2,Image 1,1,1139,
105,,Surface,2,Image 1,1,1140,
107,,Surface,2,Image 1,1,1141,
100,,Surface,2,Image 1,1,1143,
83,,Surface,2,Image 1,1,1145,
110,,Surface,2,Image 1,1,1150,
102,,Surface,2,Image 1,1,1151,
102,,Surface,2,Image 1,1,1153,
94,,Surface,2,Image 1,1,1154,
97,,Surface,2,Image 1,1,1157,
111,,Surface,2,Image 1,1,1158,
112,,Surface,2,Image 1,1,1159,
99,,Surface,2,Image 1,1,1160,
104,,Surface,2,Image 1,1,1162,
107,,Surface,2,Image 1,1,1163,
104,,Surface,2,Image 1,1,1164,
68,,Surface,2,Image 1,1,1165,
60,,Surface,2,Image 1,1,1167,
109,,Surface,2,Image 1,1,1168,
104,,Surface,2,Image 1,1,1169,
106,,Surface,2,Image 1,1,1171,
0,,Surface,2,Image 1,1,1173,
100,,Surface,2,Image 1,1,1177,
110,,Surface,2,Image 1,1,1178,
87,,Surface,2,Image 1,1,1179,
102,,Surface,2,Image 1,1,1180,
96,,Surface,2,Image 1,1,1181,
92,,Surface,2,Image 1,1,1183,
112,,Surface,2,Image 1,1,1185,
106,,Surface,2,Image 1,1,1190,
105,,Surface,2,Image 1,1,1192,
112,,Surface,2,Image 1,1,1194,
106,,Surface,2,Image 1,1,1195,
109,,Surface,2,Image 1,1,1196,
104,,Surface,2,Image 1,1,1197,
115,,Surface,2,Image 1,1,1198,
0,,Surface,2,Image 1,1,1201,
97,,Surface,2,Image 1,1,1203,
106,,Surface,2,Image 1,1,1205,
90,,Surface,2,Image 1,1,1206,
63,,Surface,2,Image 1,1,1209,
99,,Surface,2,Image 1,1,1212,
111,,Surface,2,Image 1,1,1213,
120,,Surface,2,Image 1,1,1214,
97,,Surface,2,Image 1,1,1215,
