
Intensity Max Ch=28 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
9092,,Surface,28,Image 1,1,1217,
7843,,Surface,28,Image 1,1,1218,
14526,,Surface,28,Image 1,1,1224,
5795,,Surface,28,Image 1,1,1226,
10528,,Surface,28,Image 1,1,1232,
7193,,Surface,28,Image 1,1,1234,
15852,,Surface,28,Image 1,1,1237,
6938,,Surface,28,Image 1,1,1238,
12725,,Surface,28,Image 1,1,1242,
6142,,Surface,28,Image 1,1,1245,
6743,,Surface,28,Image 1,1,1247,
7134,,Surface,28,Image 1,1,1248,
16727,,Surface,28,Image 1,1,1251,
9163,,Surface,28,Image 1,1,1252,
7167,,Surface,28,Image 1,1,1253,
26063,,Surface,28,Image 1,1,1256,
14304,,Surface,28,Image 1,1,1257,
14134,,Surface,28,Image 1,1,1258,
6699,,Surface,28,Image 1,1,1260,
12771,,Surface,28,Image 1,1,1262,
8062,,Surface,28,Image 1,1,1263,
7616,,Surface,28,Image 1,1,1265,
6748,,Surface,28,Image 1,1,1266,
12071,,Surface,28,Image 1,1,1267,
5295,,Surface,28,Image 1,1,1268,
8589,,Surface,28,Image 1,1,1269,
8348,,Surface,28,Image 1,1,1271,
5191,,Surface,28,Image 1,1,1272,
16989,,Surface,28,Image 1,1,1273,
9132,,Surface,28,Image 1,1,1274,
