
Intensity Max Ch=33 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
5179,,Surface,33,Image 1,1,6959,
6985,,Surface,33,Image 1,1,6960,
9941,,Surface,33,Image 1,1,6961,
15144,,Surface,33,Image 1,1,6962,
9571,,Surface,33,Image 1,1,6963,
5620,,Surface,33,Image 1,1,6964,
818,,Surface,33,Image 1,1,6967,
3801,,Surface,33,Image 1,1,6969,
5874,,Surface,33,Image 1,1,6970,
11258,,Surface,33,Image 1,1,6971,
7468,,Surface,33,Image 1,1,6973,
1814,,Surface,33,Image 1,1,6974,
4888,,Surface,33,Image 1,1,6975,
10776,,Surface,33,Image 1,1,6976,
6103,,Surface,33,Image 1,1,6977,
10374,,Surface,33,Image 1,1,6978,
6009,,Surface,33,Image 1,1,6979,
9985,,Surface,33,Image 1,1,6980,
13221,,Surface,33,Image 1,1,6981,
3331,,Surface,33,Image 1,1,6982,
6905,,Surface,33,Image 1,1,6983,
10147,,Surface,33,Image 1,1,6984,
7840,,Surface,33,Image 1,1,6985,
1390,,Surface,33,Image 1,1,6986,
9093,,Surface,33,Image 1,1,6987,
4155,,Surface,33,Image 1,1,6988,
5056,,Surface,33,Image 1,1,6989,
5516,,Surface,33,Image 1,1,6990,
11119,,Surface,33,Image 1,1,6991,
8387,,Surface,33,Image 1,1,6992,
16303,,Surface,33,Image 1,1,6993,
8517,,Surface,33,Image 1,1,6994,
7402,,Surface,33,Image 1,1,6995,
8179,,Surface,33,Image 1,1,6996,
8131,,Surface,33,Image 1,1,6997,
4161,,Surface,33,Image 1,1,6998,
5554,,Surface,33,Image 1,1,6999,
15012,,Surface,33,Image 1,1,7000,
5543,,Surface,33,Image 1,1,7001,
4482,,Surface,33,Image 1,1,7002,
11155,,Surface,33,Image 1,1,7003,
7091,,Surface,33,Image 1,1,7004,
6049,,Surface,33,Image 1,1,7005,
5230,,Surface,33,Image 1,1,7006,
1974,,Surface,33,Image 1,1,7007,
7663,,Surface,33,Image 1,1,7008,
3738,,Surface,33,Image 1,1,7009,
7545,,Surface,33,Image 1,1,7011,
16891,,Surface,33,Image 1,1,7012,
8811,,Surface,33,Image 1,1,7013,
10094,,Surface,33,Image 1,1,7014,
11835,,Surface,33,Image 1,1,7015,
11010,,Surface,33,Image 1,1,7016,
1213,,Surface,33,Image 1,1,7017,
5555,,Surface,33,Image 1,1,7018,
11166,,Surface,33,Image 1,1,7019,
9478,,Surface,33,Image 1,1,7020,
12166,,Surface,33,Image 1,1,7021,
11743,,Surface,33,Image 1,1,7022,
6265,,Surface,33,Image 1,1,7023,
6488,,Surface,33,Image 1,1,7024,
6366,,Surface,33,Image 1,1,7025,
9440,,Surface,33,Image 1,1,7026,
12082,,Surface,33,Image 1,1,7027,
6946,,Surface,33,Image 1,1,7028,
11880,,Surface,33,Image 1,1,7029,
8112,,Surface,33,Image 1,1,7030,
7879,,Surface,33,Image 1,1,7031,
5303,,Surface,33,Image 1,1,7032,
2748,,Surface,33,Image 1,1,7033,
4866,,Surface,33,Image 1,1,7035,
14578,,Surface,33,Image 1,1,7036,
4073,,Surface,33,Image 1,1,7037,
6302,,Surface,33,Image 1,1,7038,
3681,,Surface,33,Image 1,1,7039,
15158,,Surface,33,Image 1,1,7040,
11712,,Surface,33,Image 1,1,7041,
10963,,Surface,33,Image 1,1,7042,
5990,,Surface,33,Image 1,1,7043,
6758,,Surface,33,Image 1,1,7044,
4560,,Surface,33,Image 1,1,7045,
2274,,Surface,33,Image 1,1,7046,
11775,,Surface,33,Image 1,1,7047,
11992,,Surface,33,Image 1,1,7048,
9382,,Surface,33,Image 1,1,7049,
9511,,Surface,33,Image 1,1,7050,
11919,,Surface,33,Image 1,1,7051,
8737,,Surface,33,Image 1,1,7052,
7932,,Surface,33,Image 1,1,7053,
7701,,Surface,33,Image 1,1,7056,
10297,,Surface,33,Image 1,1,7057,
8783,,Surface,33,Image 1,1,7058,
6505,,Surface,33,Image 1,1,7060,
3837,,Surface,33,Image 1,1,7061,
10985,,Surface,33,Image 1,1,7062,
4222,,Surface,33,Image 1,1,7063,
7051,,Surface,33,Image 1,1,7064,
761,,Surface,33,Image 1,1,7065,
7900,,Surface,33,Image 1,1,7066,
7380,,Surface,33,Image 1,1,7067,
6445,,Surface,33,Image 1,1,7068,
11298,,Surface,33,Image 1,1,7069,
6442,,Surface,33,Image 1,1,7070,
8494,,Surface,33,Image 1,1,7071,
10507,,Surface,33,Image 1,1,7072,
10445,,Surface,33,Image 1,1,7073,
8285,,Surface,33,Image 1,1,7075,
5744,,Surface,33,Image 1,1,7076,
9791,,Surface,33,Image 1,1,7077,
6764,,Surface,33,Image 1,1,7078,
1422,,Surface,33,Image 1,1,7079,
10134,,Surface,33,Image 1,1,7080,
14472,,Surface,33,Image 1,1,7081,
2721,,Surface,33,Image 1,1,7082,
10854,,Surface,33,Image 1,1,7083,
4559,,Surface,33,Image 1,1,7084,
4756,,Surface,33,Image 1,1,7085,
8159,,Surface,33,Image 1,1,7087,
6632,,Surface,33,Image 1,1,7088,
6219,,Surface,33,Image 1,1,7089,
5460,,Surface,33,Image 1,1,7090,
7230,,Surface,33,Image 1,1,7091,
7862,,Surface,33,Image 1,1,7092,
5987,,Surface,33,Image 1,1,7093,
6774,,Surface,33,Image 1,1,7094,
8639,,Surface,33,Image 1,1,7095,
10912,,Surface,33,Image 1,1,7096,
7153,,Surface,33,Image 1,1,7097,
6028,,Surface,33,Image 1,1,7098,
4423,,Surface,33,Image 1,1,7099,
12807,,Surface,33,Image 1,1,7101,
8181,,Surface,33,Image 1,1,7103,
1167,,Surface,33,Image 1,1,7104,
8453,,Surface,33,Image 1,1,7105,
5358,,Surface,33,Image 1,1,7106,
9898,,Surface,33,Image 1,1,7107,
7181,,Surface,33,Image 1,1,7108,
0,,Surface,33,Image 1,1,7109,
4569,,Surface,33,Image 1,1,7110,
10055,,Surface,33,Image 1,1,7112,
2305,,Surface,33,Image 1,1,7114,
7159,,Surface,33,Image 1,1,7115,
9734,,Surface,33,Image 1,1,7116,
10797,,Surface,33,Image 1,1,7117,
687,,Surface,33,Image 1,1,7119,
11336,,Surface,33,Image 1,1,7120,
11466,,Surface,33,Image 1,1,7121,
4026,,Surface,33,Image 1,1,7122,
9773,,Surface,33,Image 1,1,7123,
2605,,Surface,33,Image 1,1,7124,
10159,,Surface,33,Image 1,1,7125,
9837,,Surface,33,Image 1,1,7126,
5268,,Surface,33,Image 1,1,7127,
4021,,Surface,33,Image 1,1,7128,
11148,,Surface,33,Image 1,1,7130,
1996,,Surface,33,Image 1,1,7132,
6481,,Surface,33,Image 1,1,7133,
11364,,Surface,33,Image 1,1,7134,
5849,,Surface,33,Image 1,1,7136,
11175,,Surface,33,Image 1,1,7137,
9135,,Surface,33,Image 1,1,7138,
6758,,Surface,33,Image 1,1,7139,
12450,,Surface,33,Image 1,1,7140,
5044,,Surface,33,Image 1,1,7141,
1814,,Surface,33,Image 1,1,7142,
7672,,Surface,33,Image 1,1,7143,
9231,,Surface,33,Image 1,1,7144,
9658,,Surface,33,Image 1,1,7145,
3889,,Surface,33,Image 1,1,7146,
3433,,Surface,33,Image 1,1,7147,
12842,,Surface,33,Image 1,1,7148,
13115,,Surface,33,Image 1,1,7149,
6153,,Surface,33,Image 1,1,7151,
2901,,Surface,33,Image 1,1,7152,
2456,,Surface,33,Image 1,1,7154,
12806,,Surface,33,Image 1,1,7155,
10087,,Surface,33,Image 1,1,7156,
2765,,Surface,33,Image 1,1,7157,
7969,,Surface,33,Image 1,1,7158,
12527,,Surface,33,Image 1,1,7159,
2987,,Surface,33,Image 1,1,7161,
7565,,Surface,33,Image 1,1,7162,
9790,,Surface,33,Image 1,1,7163,
4978,,Surface,33,Image 1,1,7164,
10753,,Surface,33,Image 1,1,7165,
5728,,Surface,33,Image 1,1,7166,
0,,Surface,33,Image 1,1,7168,
10206,,Surface,33,Image 1,1,7169,
10004,,Surface,33,Image 1,1,7170,
3675,,Surface,33,Image 1,1,7171,
14519,,Surface,33,Image 1,1,7172,
13903,,Surface,33,Image 1,1,7173,
8862,,Surface,33,Image 1,1,7174,
7460,,Surface,33,Image 1,1,7175,
1152,,Surface,33,Image 1,1,7176,
8440,,Surface,33,Image 1,1,7177,
5560,,Surface,33,Image 1,1,7178,
13208,,Surface,33,Image 1,1,7179,
6805,,Surface,33,Image 1,1,7181,
5434,,Surface,33,Image 1,1,7182,
8963,,Surface,33,Image 1,1,7183,
7630,,Surface,33,Image 1,1,7184,
6927,,Surface,33,Image 1,1,7185,
6372,,Surface,33,Image 1,1,7187,
4450,,Surface,33,Image 1,1,7188,
6842,,Surface,33,Image 1,1,7189,
4949,,Surface,33,Image 1,1,7190,
4408,,Surface,33,Image 1,1,7191,
13536,,Surface,33,Image 1,1,7192,
16121,,Surface,33,Image 1,1,7193,
