
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
144.381,µm,Surface,Image 1,1,7068,
11.2793,µm,Surface,Image 1,1,7069,
59.9868,µm,Surface,Image 1,1,7070,
112.7,µm,Surface,Image 1,1,7071,
51.1599,µm,Surface,Image 1,1,7072,
117.115,µm,Surface,Image 1,1,7073,
13.5454,µm,Surface,Image 1,1,7075,
100.606,µm,Surface,Image 1,1,7076,
133.12,µm,Surface,Image 1,1,7077,
10.9741,µm,Surface,Image 1,1,7078,
53.5995,µm,Surface,Image 1,1,7079,
135.337,µm,Surface,Image 1,1,7080,
118.815,µm,Surface,Image 1,1,7081,
76.6374,µm,Surface,Image 1,1,7082,
49.7094,µm,Surface,Image 1,1,7083,
71.0549,µm,Surface,Image 1,1,7084,
124.423,µm,Surface,Image 1,1,7085,
119.885,µm,Surface,Image 1,1,7087,
107.31,µm,Surface,Image 1,1,7088,
14.9712,µm,Surface,Image 1,1,7089,
104.311,µm,Surface,Image 1,1,7090,
120.395,µm,Surface,Image 1,1,7091,
39.9885,µm,Surface,Image 1,1,7092,
42.4279,µm,Surface,Image 1,1,7093,
7.3316,µm,Surface,Image 1,1,7094,
100.624,µm,Surface,Image 1,1,7095,
7.91284,µm,Surface,Image 1,1,7096,
40.7852,µm,Surface,Image 1,1,7097,
94.8016,µm,Surface,Image 1,1,7098,
95.3504,µm,Surface,Image 1,1,7099,
116.663,µm,Surface,Image 1,1,7101,
92.1835,µm,Surface,Image 1,1,7103,
6.38867,µm,Surface,Image 1,1,7104,
87.5069,µm,Surface,Image 1,1,7105,
38.4437,µm,Surface,Image 1,1,7106,
139.889,µm,Surface,Image 1,1,7107,
49.9622,µm,Surface,Image 1,1,7108,
94.7292,µm,Surface,Image 1,1,7109,
137.698,µm,Surface,Image 1,1,7110,
136.847,µm,Surface,Image 1,1,7112,
30.629,µm,Surface,Image 1,1,7114,
111.173,µm,Surface,Image 1,1,7115,
115.503,µm,Surface,Image 1,1,7116,
102.443,µm,Surface,Image 1,1,7117,
42.4604,µm,Surface,Image 1,1,7119,
97.2073,µm,Surface,Image 1,1,7120,
131.097,µm,Surface,Image 1,1,7121,
133.433,µm,Surface,Image 1,1,7122,
142.125,µm,Surface,Image 1,1,7123,
98.5683,µm,Surface,Image 1,1,7124,
42.2985,µm,Surface,Image 1,1,7125,
102.325,µm,Surface,Image 1,1,7126,
80.7878,µm,Surface,Image 1,1,7127,
72.9687,µm,Surface,Image 1,1,7128,
155.932,µm,Surface,Image 1,1,7130,
41.032,µm,Surface,Image 1,1,7132,
40.5942,µm,Surface,Image 1,1,7133,
67.295,µm,Surface,Image 1,1,7134,
93.4333,µm,Surface,Image 1,1,7136,
55.4183,µm,Surface,Image 1,1,7137,
86.6404,µm,Surface,Image 1,1,7138,
114.167,µm,Surface,Image 1,1,7139,
19.7552,µm,Surface,Image 1,1,7140,
55.5387,µm,Surface,Image 1,1,7141,
114.181,µm,Surface,Image 1,1,7142,
97.048,µm,Surface,Image 1,1,7143,
82.8079,µm,Surface,Image 1,1,7144,
144.361,µm,Surface,Image 1,1,7145,
102.658,µm,Surface,Image 1,1,7146,
35.1223,µm,Surface,Image 1,1,7147,
74.4511,µm,Surface,Image 1,1,7148,
109.068,µm,Surface,Image 1,1,7149,
112.197,µm,Surface,Image 1,1,7151,
35.9205,µm,Surface,Image 1,1,7152,
112.081,µm,Surface,Image 1,1,7154,
123.874,µm,Surface,Image 1,1,7155,
75.4239,µm,Surface,Image 1,1,7156,
119.074,µm,Surface,Image 1,1,7157,
69.7934,µm,Surface,Image 1,1,7158,
5.65173,µm,Surface,Image 1,1,7159,
113.012,µm,Surface,Image 1,1,7161,
51.3356,µm,Surface,Image 1,1,7162,
106.833,µm,Surface,Image 1,1,7163,
76.3074,µm,Surface,Image 1,1,7164,
16.3751,µm,Surface,Image 1,1,7165,
35.123,µm,Surface,Image 1,1,7166,
105.142,µm,Surface,Image 1,1,7168,
67.7442,µm,Surface,Image 1,1,7169,
88.6363,µm,Surface,Image 1,1,7170,
126.351,µm,Surface,Image 1,1,7171,
119.187,µm,Surface,Image 1,1,7172,
116.456,µm,Surface,Image 1,1,7173,
100.123,µm,Surface,Image 1,1,7174,
84.6234,µm,Surface,Image 1,1,7175,
73.4415,µm,Surface,Image 1,1,7176,
139.709,µm,Surface,Image 1,1,7177,
86.6628,µm,Surface,Image 1,1,7178,
74.9359,µm,Surface,Image 1,1,7179,
43.7598,µm,Surface,Image 1,1,7181,
126.712,µm,Surface,Image 1,1,7182,
116.628,µm,Surface,Image 1,1,7183,
71.5338,µm,Surface,Image 1,1,7184,
88.4639,µm,Surface,Image 1,1,7185,
77.3743,µm,Surface,Image 1,1,7187,
82.2811,µm,Surface,Image 1,1,7188,
76.165,µm,Surface,Image 1,1,7189,
80.7878,µm,Surface,Image 1,1,7190,
144.445,µm,Surface,Image 1,1,7191,
14.7223,µm,Surface,Image 1,1,7192,
60.6163,µm,Surface,Image 1,1,7193,
43.8719,µm,Surface,Image 1,1,7194,
70.4268,µm,Surface,Image 1,1,7195,
131.443,µm,Surface,Image 1,1,7196,
