
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
2148,,Surface,9,Image 1,1,7030,
42,,Surface,9,Image 1,1,7031,
954,,Surface,9,Image 1,1,7032,
278,,Surface,9,Image 1,1,7033,
2,,Surface,9,Image 1,1,7035,
6504,,Surface,9,Image 1,1,7036,
1842,,Surface,9,Image 1,1,7037,
2336,,Surface,9,Image 1,1,7038,
752,,Surface,9,Image 1,1,7039,
1920,,Surface,9,Image 1,1,7040,
7792,,Surface,9,Image 1,1,7041,
2604,,Surface,9,Image 1,1,7042,
1672,,Surface,9,Image 1,1,7043,
1844,,Surface,9,Image 1,1,7044,
77,,Surface,9,Image 1,1,7045,
1834,,Surface,9,Image 1,1,7046,
2696,,Surface,9,Image 1,1,7047,
4428,,Surface,9,Image 1,1,7048,
6972,,Surface,9,Image 1,1,7049,
4582,,Surface,9,Image 1,1,7050,
4120,,Surface,9,Image 1,1,7051,
3040,,Surface,9,Image 1,1,7052,
1156,,Surface,9,Image 1,1,7053,
1684,,Surface,9,Image 1,1,7056,
5768,,Surface,9,Image 1,1,7057,
1828,,Surface,9,Image 1,1,7058,
1316,,Surface,9,Image 1,1,7060,
959,,Surface,9,Image 1,1,7061,
10016,,Surface,9,Image 1,1,7062,
1046,,Surface,9,Image 1,1,7063,
2772,,Surface,9,Image 1,1,7064,
1188,,Surface,9,Image 1,1,7065,
1920,,Surface,9,Image 1,1,7066,
844,,Surface,9,Image 1,1,7067,
2588,,Surface,9,Image 1,1,7068,
6368,,Surface,9,Image 1,1,7069,
876,,Surface,9,Image 1,1,7070,
1976,,Surface,9,Image 1,1,7071,
3164,,Surface,9,Image 1,1,7072,
1624,,Surface,9,Image 1,1,7073,
312,,Surface,9,Image 1,1,7075,
1010,,Surface,9,Image 1,1,7076,
116,,Surface,9,Image 1,1,7077,
3444,,Surface,9,Image 1,1,7078,
37.5,,Surface,9,Image 1,1,7079,
7320,,Surface,9,Image 1,1,7080,
6536,,Surface,9,Image 1,1,7081,
635,,Surface,9,Image 1,1,7082,
2840,,Surface,9,Image 1,1,7083,
0.5,,Surface,9,Image 1,1,7084,
412,,Surface,9,Image 1,1,7085,
3444,,Surface,9,Image 1,1,7087,
988,,Surface,9,Image 1,1,7088,
2596,,Surface,9,Image 1,1,7089,
2092,,Surface,9,Image 1,1,7090,
3116,,Surface,9,Image 1,1,7091,
3324,,Surface,9,Image 1,1,7092,
1418,,Surface,9,Image 1,1,7093,
3430,,Surface,9,Image 1,1,7094,
3380,,Surface,9,Image 1,1,7095,
3516,,Surface,9,Image 1,1,7096,
5036,,Surface,9,Image 1,1,7097,
1288,,Surface,9,Image 1,1,7098,
852,,Surface,9,Image 1,1,7099,
6316,,Surface,9,Image 1,1,7101,
2596,,Surface,9,Image 1,1,7103,
1,,Surface,9,Image 1,1,7104,
2428,,Surface,9,Image 1,1,7105,
2661,,Surface,9,Image 1,1,7106,
4868,,Surface,9,Image 1,1,7107,
5236,,Surface,9,Image 1,1,7108,
170,,Surface,9,Image 1,1,7109,
654,,Surface,9,Image 1,1,7110,
1944,,Surface,9,Image 1,1,7112,
392,,Surface,9,Image 1,1,7114,
2756,,Surface,9,Image 1,1,7115,
7008,,Surface,9,Image 1,1,7116,
1268,,Surface,9,Image 1,1,7117,
97,,Surface,9,Image 1,1,7119,
7348,,Surface,9,Image 1,1,7120,
4120,,Surface,9,Image 1,1,7121,
1752,,Surface,9,Image 1,1,7122,
3464,,Surface,9,Image 1,1,7123,
424,,Surface,9,Image 1,1,7124,
2700,,Surface,9,Image 1,1,7125,
3916,,Surface,9,Image 1,1,7126,
2060,,Surface,9,Image 1,1,7127,
4,,Surface,9,Image 1,1,7128,
3140,,Surface,9,Image 1,1,7130,
165.5,,Surface,9,Image 1,1,7132,
806,,Surface,9,Image 1,1,7133,
4180,,Surface,9,Image 1,1,7134,
1258,,Surface,9,Image 1,1,7136,
2196,,Surface,9,Image 1,1,7137,
7024,,Surface,9,Image 1,1,7138,
1796,,Surface,9,Image 1,1,7139,
2704,,Surface,9,Image 1,1,7140,
2554,,Surface,9,Image 1,1,7141,
380.5,,Surface,9,Image 1,1,7142,
920,,Surface,9,Image 1,1,7143,
3324,,Surface,9,Image 1,1,7144,
2472,,Surface,9,Image 1,1,7145,
1252,,Surface,9,Image 1,1,7146,
864,,Surface,9,Image 1,1,7147,
7320,,Surface,9,Image 1,1,7148,
4352,,Surface,9,Image 1,1,7149,
386,,Surface,9,Image 1,1,7151,
