
Intensity Sum of Square Ch=39 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
7.52009e+07,,Surface,39,Image 1,1,6898,
2.22755e+09,,Surface,39,Image 1,1,6899,
6.77981e+07,,Surface,39,Image 1,1,6900,
3.17926e+06,,Surface,39,Image 1,1,6901,
3.51303e+06,,Surface,39,Image 1,1,6902,
5.50003e+07,,Surface,39,Image 1,1,6904,
8.18168e+07,,Surface,39,Image 1,1,6905,
318144,,Surface,39,Image 1,1,6906,
1.7374e+09,,Surface,39,Image 1,1,6907,
1.31509e+09,,Surface,39,Image 1,1,6908,
1.10806e+07,,Surface,39,Image 1,1,6909,
1.15609e+07,,Surface,39,Image 1,1,6910,
1.70693e+06,,Surface,39,Image 1,1,6911,
8.0246e+06,,Surface,39,Image 1,1,6912,
6.77682e+06,,Surface,39,Image 1,1,6914,
9.0125e+07,,Surface,39,Image 1,1,6915,
2.00027e+09,,Surface,39,Image 1,1,6917,
1.85198e+07,,Surface,39,Image 1,1,6919,
2.00638e+07,,Surface,39,Image 1,1,6920,
4.60853e+08,,Surface,39,Image 1,1,6921,
6.00092e+08,,Surface,39,Image 1,1,6922,
1.18403e+08,,Surface,39,Image 1,1,6923,
4.27173e+06,,Surface,39,Image 1,1,6924,
2.07963e+08,,Surface,39,Image 1,1,6925,
4.45872e+08,,Surface,39,Image 1,1,6926,
2.02624e+08,,Surface,39,Image 1,1,6927,
8.65035e+08,,Surface,39,Image 1,1,6928,
1.73911e+08,,Surface,39,Image 1,1,6929,
1.53029e+07,,Surface,39,Image 1,1,6930,
2.91593e+07,,Surface,39,Image 1,1,6931,
5.9509e+08,,Surface,39,Image 1,1,6932,
1.07139e+09,,Surface,39,Image 1,1,6933,
8.82039e+08,,Surface,39,Image 1,1,6934,
4.27789e+08,,Surface,39,Image 1,1,6935,
5.10969e+08,,Surface,39,Image 1,1,6936,
1.5835e+09,,Surface,39,Image 1,1,6937,
2.68239e+08,,Surface,39,Image 1,1,6938,
5.32374e+09,,Surface,39,Image 1,1,6939,
6.19694e+07,,Surface,39,Image 1,1,6941,
2.63527e+08,,Surface,39,Image 1,1,6942,
9.08507e+07,,Surface,39,Image 1,1,6943,
2.99983e+09,,Surface,39,Image 1,1,6944,
5.38939e+09,,Surface,39,Image 1,1,6945,
893280,,Surface,39,Image 1,1,6946,
2.60383e+08,,Surface,39,Image 1,1,6947,
7.60874e+07,,Surface,39,Image 1,1,6948,
1.47641e+09,,Surface,39,Image 1,1,6949,
6.73458e+08,,Surface,39,Image 1,1,6950,
1.3644e+09,,Surface,39,Image 1,1,6951,
