
Intensity Mean Ch=11 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1007.99,,Surface,11,Image 1,1,6963,
369.827,,Surface,11,Image 1,1,6964,
166.485,,Surface,11,Image 1,1,6967,
317.512,,Surface,11,Image 1,1,6969,
565.499,,Surface,11,Image 1,1,6970,
1087.63,,Surface,11,Image 1,1,6971,
851.163,,Surface,11,Image 1,1,6973,
0,,Surface,11,Image 1,1,6974,
15.3354,,Surface,11,Image 1,1,6975,
410.003,,Surface,11,Image 1,1,6976,
711.344,,Surface,11,Image 1,1,6977,
182.98,,Surface,11,Image 1,1,6978,
60.6165,,Surface,11,Image 1,1,6979,
302.468,,Surface,11,Image 1,1,6980,
729.376,,Surface,11,Image 1,1,6981,
13.4908,,Surface,11,Image 1,1,6982,
20.6974,,Surface,11,Image 1,1,6983,
482.67,,Surface,11,Image 1,1,6984,
820.693,,Surface,11,Image 1,1,6985,
28.0234,,Surface,11,Image 1,1,6986,
97.2694,,Surface,11,Image 1,1,6987,
256.479,,Surface,11,Image 1,1,6988,
61.3958,,Surface,11,Image 1,1,6989,
19.6596,,Surface,11,Image 1,1,6990,
1281.55,,Surface,11,Image 1,1,6991,
229.687,,Surface,11,Image 1,1,6992,
361.058,,Surface,11,Image 1,1,6993,
699.218,,Surface,11,Image 1,1,6994,
558.736,,Surface,11,Image 1,1,6995,
211.062,,Surface,11,Image 1,1,6996,
184.791,,Surface,11,Image 1,1,6997,
31.7416,,Surface,11,Image 1,1,6998,
5.66164,,Surface,11,Image 1,1,6999,
526.654,,Surface,11,Image 1,1,7000,
127.545,,Surface,11,Image 1,1,7001,
127.333,,Surface,11,Image 1,1,7002,
503.506,,Surface,11,Image 1,1,7003,
72.1601,,Surface,11,Image 1,1,7004,
116.211,,Surface,11,Image 1,1,7005,
38.5067,,Surface,11,Image 1,1,7006,
168.639,,Surface,11,Image 1,1,7007,
620.064,,Surface,11,Image 1,1,7008,
212.479,,Surface,11,Image 1,1,7009,
50.4856,,Surface,11,Image 1,1,7011,
76.8469,,Surface,11,Image 1,1,7012,
68.538,,Surface,11,Image 1,1,7013,
1357.64,,Surface,11,Image 1,1,7014,
679.966,,Surface,11,Image 1,1,7015,
80.321,,Surface,11,Image 1,1,7016,
26.2094,,Surface,11,Image 1,1,7017,
134.155,,Surface,11,Image 1,1,7018,
414.377,,Surface,11,Image 1,1,7019,
162.785,,Surface,11,Image 1,1,7020,
256.855,,Surface,11,Image 1,1,7021,
586.573,,Surface,11,Image 1,1,7022,
785.946,,Surface,11,Image 1,1,7023,
294.79,,Surface,11,Image 1,1,7024,
158.164,,Surface,11,Image 1,1,7025,
994.621,,Surface,11,Image 1,1,7026,
505.835,,Surface,11,Image 1,1,7027,
159.674,,Surface,11,Image 1,1,7028,
335.179,,Surface,11,Image 1,1,7029,
345.428,,Surface,11,Image 1,1,7030,
237.757,,Surface,11,Image 1,1,7031,
37.2307,,Surface,11,Image 1,1,7032,
127.659,,Surface,11,Image 1,1,7033,
16.2663,,Surface,11,Image 1,1,7035,
1014.23,,Surface,11,Image 1,1,7036,
34.0139,,Surface,11,Image 1,1,7037,
97.2818,,Surface,11,Image 1,1,7038,
54.1688,,Surface,11,Image 1,1,7039,
113.71,,Surface,11,Image 1,1,7040,
384.833,,Surface,11,Image 1,1,7041,
120.53,,Surface,11,Image 1,1,7042,
439.621,,Surface,11,Image 1,1,7043,
234.048,,Surface,11,Image 1,1,7044,
28.5722,,Surface,11,Image 1,1,7045,
1.14761,,Surface,11,Image 1,1,7046,
92.6497,,Surface,11,Image 1,1,7047,
