
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
8.2045,7.67671e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
8.4735,8.10135e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
8.7425,8.52654e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.0115,8.94782e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.2805,9.36654e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.5495,9.77869e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
9.8185,1.01856e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.0875,1.05885e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.3565,1.09837e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.6255,1.13726e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.8945,1.17513e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.1635,1.21214e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.4325,1.24799e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.7015,1.28282e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.9705,1.31631e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.2395,1.34862e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.5085,1.37993e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.7775,1.40994e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.0465,1.43877e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.3155,1.46626e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.5845,1.49254e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.8535,1.51741e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.1225,1.54103e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.3915,1.56354e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.6605,1.58479e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.9295,1.60489e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
15.1985,1.62377e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
15.4675,1.64153e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
15.7365,1.65809e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
16.0055,1.67363e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
16.2745,1.68836e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
16.5435,1.70198e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
16.8125,1.71461e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
17.0815,1.72641e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
17.3505,1.7375e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
17.6195,1.74768e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
17.8885,1.75703e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
18.1575,1.76569e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
18.4265,1.77375e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
18.6955,1.78128e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
18.9645,1.78816e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.2335,1.79445e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.5025,1.80024e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
19.7715,1.8056e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.0405,1.81058e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.3095,1.81509e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.5785,1.81919e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
20.8475,1.82296e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
21.1165,1.82644e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
21.3855,1.82957e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
21.6545,1.8324e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
