
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
544.476,µm,Surface,Position,1,6953,
537.694,µm,Surface,Position,1,6954,
550.73,µm,Surface,Position,1,6955,
577.991,µm,Surface,Position,1,6956,
676.67,µm,Surface,Position,1,6957,
619.773,µm,Surface,Position,1,6958,
539.953,µm,Surface,Position,1,6959,
576.087,µm,Surface,Position,1,6960,
572.392,µm,Surface,Position,1,6961,
589.584,µm,Surface,Position,1,6962,
586.499,µm,Surface,Position,1,6963,
635.223,µm,Surface,Position,1,6964,
629.645,µm,Surface,Position,1,6967,
510.626,µm,Surface,Position,1,6969,
525.878,µm,Surface,Position,1,6970,
673.363,µm,Surface,Position,1,6971,
597.908,µm,Surface,Position,1,6973,
692.539,µm,Surface,Position,1,6974,
487.875,µm,Surface,Position,1,6975,
602.61,µm,Surface,Position,1,6976,
585.685,µm,Surface,Position,1,6977,
658.863,µm,Surface,Position,1,6978,
551.061,µm,Surface,Position,1,6979,
595.938,µm,Surface,Position,1,6980,
665.846,µm,Surface,Position,1,6981,
557.591,µm,Surface,Position,1,6982,
685.519,µm,Surface,Position,1,6983,
470.091,µm,Surface,Position,1,6984,
650.535,µm,Surface,Position,1,6985,
697.176,µm,Surface,Position,1,6986,
631.432,µm,Surface,Position,1,6987,
660.792,µm,Surface,Position,1,6988,
626.31,µm,Surface,Position,1,6989,
458.529,µm,Surface,Position,1,6990,
618.794,µm,Surface,Position,1,6991,
601.72,µm,Surface,Position,1,6992,
612.399,µm,Surface,Position,1,6993,
682.27,µm,Surface,Position,1,6994,
524.196,µm,Surface,Position,1,6995,
691.546,µm,Surface,Position,1,6996,
600.117,µm,Surface,Position,1,6997,
523.17,µm,Surface,Position,1,6998,
695.284,µm,Surface,Position,1,6999,
588.655,µm,Surface,Position,1,7000,
684.11,µm,Surface,Position,1,7001,
666.049,µm,Surface,Position,1,7002,
562.897,µm,Surface,Position,1,7003,
547.623,µm,Surface,Position,1,7004,
590.903,µm,Surface,Position,1,7005,
517.578,µm,Surface,Position,1,7006,
621.706,µm,Surface,Position,1,7007,
527.693,µm,Surface,Position,1,7008,
561.504,µm,Surface,Position,1,7009,
545.834,µm,Surface,Position,1,7011,
578.69,µm,Surface,Position,1,7012,
548.095,µm,Surface,Position,1,7013,
646.94,µm,Surface,Position,1,7014,
505.368,µm,Surface,Position,1,7015,
633.613,µm,Surface,Position,1,7016,
550.379,µm,Surface,Position,1,7017,
706.935,µm,Surface,Position,1,7018,
543.092,µm,Surface,Position,1,7019,
508.662,µm,Surface,Position,1,7020,
655.602,µm,Surface,Position,1,7021,
639.412,µm,Surface,Position,1,7022,
666.455,µm,Surface,Position,1,7023,
489.937,µm,Surface,Position,1,7024,
491.811,µm,Surface,Position,1,7025,
491.092,µm,Surface,Position,1,7026,
559.739,µm,Surface,Position,1,7027,
647.909,µm,Surface,Position,1,7028,
590.833,µm,Surface,Position,1,7029,
488.627,µm,Surface,Position,1,7030,
656.29,µm,Surface,Position,1,7031,
518.928,µm,Surface,Position,1,7032,
665.756,µm,Surface,Position,1,7033,
683.653,µm,Surface,Position,1,7035,
559.118,µm,Surface,Position,1,7036,
661.393,µm,Surface,Position,1,7037,
687.397,µm,Surface,Position,1,7038,
565.709,µm,Surface,Position,1,7039,
592.82,µm,Surface,Position,1,7040,
650.979,µm,Surface,Position,1,7041,
562.971,µm,Surface,Position,1,7042,
641.611,µm,Surface,Position,1,7043,
707.484,µm,Surface,Position,1,7044,
695.098,µm,Surface,Position,1,7045,
620.79,µm,Surface,Position,1,7046,
602.812,µm,Surface,Position,1,7047,
647.185,µm,Surface,Position,1,7048,
638.937,µm,Surface,Position,1,7049,
567.663,µm,Surface,Position,1,7050,
598.32,µm,Surface,Position,1,7051,
479.684,µm,Surface,Position,1,7052,
585.801,µm,Surface,Position,1,7053,
703.676,µm,Surface,Position,1,7056,
598.939,µm,Surface,Position,1,7057,
532.11,µm,Surface,Position,1,7058,
522.543,µm,Surface,Position,1,7060,
656.679,µm,Surface,Position,1,7061,
600.861,µm,Surface,Position,1,7062,
481.424,µm,Surface,Position,1,7063,
629.484,µm,Surface,Position,1,7064,
528.503,µm,Surface,Position,1,7065,
581.984,µm,Surface,Position,1,7066,
659.546,µm,Surface,Position,1,7067,
572.24,µm,Surface,Position,1,7068,
448.219,µm,Surface,Position,1,7069,
657.723,µm,Surface,Position,1,7070,
605.43,µm,Surface,Position,1,7071,
666.41,µm,Surface,Position,1,7072,
555.424,µm,Surface,Position,1,7073,
443.244,µm,Surface,Position,1,7075,
617.103,µm,Surface,Position,1,7076,
585.01,µm,Surface,Position,1,7077,
445.316,µm,Surface,Position,1,7078,
664.53,µm,Surface,Position,1,7079,
579.475,µm,Surface,Position,1,7080,
598.755,µm,Surface,Position,1,7081,
641.492,µm,Surface,Position,1,7082,
667.44,µm,Surface,Position,1,7083,
501.999,µm,Surface,Position,1,7084,
548.358,µm,Surface,Position,1,7085,
563.922,µm,Surface,Position,1,7087,
541.353,µm,Surface,Position,1,7088,
703.019,µm,Surface,Position,1,7089,
540.688,µm,Surface,Position,1,7090,
597.875,µm,Surface,Position,1,7091,
677.441,µm,Surface,Position,1,7092,
472.265,µm,Surface,Position,1,7093,
442.466,µm,Surface,Position,1,7094,
538.168,µm,Surface,Position,1,7095,
451.021,µm,Surface,Position,1,7096,
677.345,µm,Surface,Position,1,7097,
623.468,µm,Surface,Position,1,7098,
622.779,µm,Surface,Position,1,7099,
601.187,µm,Surface,Position,1,7101,
540.49,µm,Surface,Position,1,7103,
711.601,µm,Surface,Position,1,7104,
629.923,µm,Surface,Position,1,7105,
465.796,µm,Surface,Position,1,7106,
577.961,µm,Surface,Position,1,7107,
667.888,µm,Surface,Position,1,7108,
522.413,µm,Surface,Position,1,7109,
580.432,µm,Surface,Position,1,7110,
581.283,µm,Surface,Position,1,7112,
687.081,µm,Surface,Position,1,7114,
564.745,µm,Surface,Position,1,7115,
602.627,µm,Surface,Position,1,7116,
545.172,µm,Surface,Position,1,7117,
675.81,µm,Surface,Position,1,7119,
508.084,µm,Surface,Position,1,7120,
540.289,µm,Surface,Position,1,7121,
535.797,µm,Surface,Position,1,7122,
552.575,µm,Surface,Position,1,7123,
619.422,µm,Surface,Position,1,7124,
674.431,µm,Surface,Position,1,7125,
507.989,µm,Surface,Position,1,7126,
489.023,µm,Surface,Position,1,7127,
645.021,µm,Surface,Position,1,7128,
561.778,µm,Surface,Position,1,7130,
677.238,µm,Surface,Position,1,7132,
676.555,µm,Surface,Position,1,7133,
650.135,µm,Surface,Position,1,7134,
500.02,µm,Surface,Position,1,7136,
661.731,µm,Surface,Position,1,7137,
497.159,µm,Surface,Position,1,7138,
533.035,µm,Surface,Position,1,7139,
435.614,µm,Surface,Position,1,7140,
457.85,µm,Surface,Position,1,7141,
519.902,µm,Surface,Position,1,7142,
620.382,µm,Surface,Position,1,7143,
494.861,µm,Surface,Position,1,7144,
546.119,µm,Surface,Position,1,7145,
503.279,µm,Surface,Position,1,7146,
435.089,µm,Surface,Position,1,7147,
643.119,µm,Surface,Position,1,7148,
608.502,µm,Surface,Position,1,7149,
521.771,µm,Surface,Position,1,7151,
682.349,µm,Surface,Position,1,7152,
517.031,µm,Surface,Position,1,7154,
