
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
128,,Surface,2,Image 1,1,7242,
223,,Surface,2,Image 1,1,7243,
57,,Surface,2,Image 1,1,7244,
392,,Surface,2,Image 1,1,7245,
208,,Surface,2,Image 1,1,7246,
52,,Surface,2,Image 1,1,7247,
193,,Surface,2,Image 1,1,7248,
132,,Surface,2,Image 1,1,7250,
153,,Surface,2,Image 1,1,7251,
125,,Surface,2,Image 1,1,7254,
0,,Surface,2,Image 1,1,7255,
128,,Surface,2,Image 1,1,7256,
181,,Surface,2,Image 1,1,7257,
243,,Surface,2,Image 1,1,7258,
61,,Surface,2,Image 1,1,7259,
80,,Surface,2,Image 1,1,7260,
63,,Surface,2,Image 1,1,7261,
233,,Surface,2,Image 1,1,7262,
56,,Surface,2,Image 1,1,7263,
2,,Surface,2,Image 1,1,7264,
158,,Surface,2,Image 1,1,7265,
57,,Surface,2,Image 1,1,7266,
201,,Surface,2,Image 1,1,7267,
91,,Surface,2,Image 1,1,7268,
136,,Surface,2,Image 1,1,7269,
231,,Surface,2,Image 1,1,7270,
26,,Surface,2,Image 1,1,7271,
181,,Surface,2,Image 1,1,7272,
211,,Surface,2,Image 1,1,7273,
33,,Surface,2,Image 1,1,7274,
204,,Surface,2,Image 1,1,7275,
0,,Surface,2,Image 1,1,7276,
166,,Surface,2,Image 1,1,7277,
155,,Surface,2,Image 1,1,7278,
172,,Surface,2,Image 1,1,7279,
240,,Surface,2,Image 1,1,7280,
117,,Surface,2,Image 1,1,7281,
984,,Surface,2,Image 1,1,7282,
209,,Surface,2,Image 1,1,7283,
87,,Surface,2,Image 1,1,7285,
163,,Surface,2,Image 1,1,7286,
205,,Surface,2,Image 1,1,7287,
73,,Surface,2,Image 1,1,7288,
158,,Surface,2,Image 1,1,7289,
315,,Surface,2,Image 1,1,7290,
62,,Surface,2,Image 1,1,7291,
140,,Surface,2,Image 1,1,7292,
53,,Surface,2,Image 1,1,7293,
177,,Surface,2,Image 1,1,7294,
458,,Surface,2,Image 1,1,7295,
226,,Surface,2,Image 1,1,7296,
166,,Surface,2,Image 1,1,7297,
33,,Surface,2,Image 1,1,7298,
288,,Surface,2,Image 1,1,7299,
30,,Surface,2,Image 1,1,7300,
132,,Surface,2,Image 1,1,7301,
57,,Surface,2,Image 1,1,7302,
139,,Surface,2,Image 1,1,7303,
237,,Surface,2,Image 1,1,7304,
384,,Surface,2,Image 1,1,7305,
136,,Surface,2,Image 1,1,7306,
104,,Surface,2,Image 1,1,7307,
102,,Surface,2,Image 1,1,7308,
18,,Surface,2,Image 1,1,7309,
189,,Surface,2,Image 1,1,7310,
93,,Surface,2,Image 1,1,7311,
119,,Surface,2,Image 1,1,7312,
0,,Surface,2,Image 1,1,7313,
81,,Surface,2,Image 1,1,7314,
0,,Surface,2,Image 1,1,7315,
268,,Surface,2,Image 1,1,7316,
94,,Surface,2,Image 1,1,7318,
134,,Surface,2,Image 1,1,7319,
38,,Surface,2,Image 1,1,7320,
102,,Surface,2,Image 1,1,7321,
242,,Surface,2,Image 1,1,7322,
76,,Surface,2,Image 1,1,7323,
136,,Surface,2,Image 1,1,7324,
114,,Surface,2,Image 1,1,7325,
0,,Surface,2,Image 1,1,7326,
158,,Surface,2,Image 1,1,7327,
331,,Surface,2,Image 1,1,7328,
147,,Surface,2,Image 1,1,7329,
99,,Surface,2,Image 1,1,7330,
161,,Surface,2,Image 1,1,7331,
33,,Surface,2,Image 1,1,7332,
184,,Surface,2,Image 1,1,7333,
229,,Surface,2,Image 1,1,7334,
104,,Surface,2,Image 1,1,7335,
496,,Surface,2,Image 1,1,7336,
125,,Surface,2,Image 1,1,7337,
136,,Surface,2,Image 1,1,7338,
321,,Surface,2,Image 1,1,7339,
100,,Surface,2,Image 1,1,7340,
210,,Surface,2,Image 1,1,7341,
97,,Surface,2,Image 1,1,7342,
110,,Surface,2,Image 1,1,7343,
99,,Surface,2,Image 1,1,7344,
18,,Surface,2,Image 1,1,7345,
193,,Surface,2,Image 1,1,7346,
330,,Surface,2,Image 1,1,7347,
0,,Surface,2,Image 1,1,7348,
0,,Surface,2,Image 1,1,7349,
168,,Surface,2,Image 1,1,7350,
154,,Surface,2,Image 1,1,7351,
0,,Surface,2,Image 1,1,7353,
